str_yes|Oui.
; str_npc15_personalityclash2_speech_b|{s11} responded that Hippocrates was an 'antiquated know-nothing,' incomparable to the knowledgeable Galenus. Strategos, no true medic would have such disrespect for the great masters of the past. I do not believe you should employ such an obvious impostor.
; str_npc16_personalityclash2_speech_b|This awful woman has openly declared that she follows the pagan gods Odin and Thor, and that the teachings of Christ are nothing more than the babblings of weak men. She even made an absurd remark suggesting that I, a holy priest, brought us all bad luck with my 'gibberish preaching.' If you have no intention of leading all of your men to Hell, this Norse woman should be immediately sent to her afterlife by fire.
; str_npc1_personalitymatch_speech|Warlord, {s11} didn't do badly in that last fight at all. He's a good egg, that one.
; str_npc2_personalitymatch_speech|{reg59?Madame:Sir}, I just wanted to tell you that {s11} may be a rough sort, and I'll venture a complete drunkard as well, but I'm proud to call him my companion.
; str_npc3_personalitymatch_speech|Hello, {reg59?madame:sir}! I had just wanted to tell you that {s11} is a most gallant and brave warrior. Did you see him in our last battle?
; str_npc4_personalitymatch_speech|I just wanted to say a word in praise of {s11}. He did well in that last battle.
; str_npc5_personalitymatch_speech|That was a fine battle, {playername}! {s11} is a good companion to have by our side in a fight.
; str_npc6_personalitymatch_speech|Sometimes I am troubled by all this bloodshed, but I know that proud warlords must be humbled and cruel bandits tamed if we are to restore peace.
; str_npc7_personalitymatch_speech|Warlord, I was just talking to {s11}. He might be an outspoken man, but he holds no prejudice for me being a woman or a Pict.
; str_npc8_personalitymatch_speech|A fine battle that was, warlord. I have to say, I greatly enjoy the company of {s11}, for he is a fine commander of men.
; str_npc9_personalitymatch_speech|Warlord, {s11} acquitted herself well in that fight back there. A fine, modest maiden she is, if I dare say so myself.
; str_npc10_personalitymatch_speech|Dryhten! I wish you joy in your victory! Say, I really like the company of that Solveig. I see that she is extremely devoted to the safety of our shield wall.
; str_npc11_personalitymatch_speech|Oh {reg59?my pretty:handsome}, I could not praise you more for having women of such quality as {s11} within our shield wall. I do not care that she is a Frisian, supposedly weak and once a slave to the Danish.
; str_npc12_personalitymatch_speech|A bloody business, warlord, a bloody business -- although a necessary one, of course. {s11}, I believe, shares my ambivalence about this constant fighting, at least against non-Visigoths, as he always insists on saying.
; str_npc13_personalitymatch_speech|It is a pleasure going into battle with a fine Frisian noble like {s11} by my side.
; str_npc14_personalitymatch_speech|You have earned your name today, oh valorous one! And {s11}, too! I like that one. He knows the great poems and plays of the ancient Greeks, which appeals to an artistic soul like my own.
; str_npc15_personalitymatch_speech|Strategos. I was just having a word with {s11} after our last battle, and it strikes me that the man has a good head on his shoulders.
; str_npc16_personalitymatch_speech|I must tell you that, even though {s11} behaves in a rough, unmannered way, I can see that, in his heart, he has, maybe unknown to himself, a good Christian soul.
; str_npc1_personalitymatch_speech_b|{s11} is awesome! He is always joking, proud and brave, and knows how to seduce girls, I'll warrant. I'm glad to have him with us.
; str_npc2_personalitymatch_speech_b|Based on how he did in that last fight, I'd say that I'd trust my back to him any day. He also knows how to share tales and legends by the camp fire after a fine battle. I already promised to take him to a Nordic mead hall someday.
; str_npc3_personalitymatch_speech_b|I also confess that I find him a truly delightful companion, a man of both wit and manners. Perhaps, perhaps... Ah, but I say too much. Good day, {reg59?madame:sir}.
; str_npc4_personalitymatch_speech_b|You chose well to enlist him in our shield wall. He knows a thing or two about a fight.
; str_npc5_personalitymatch_speech_b|It is clear from his battle prowess that he is a true descendant of a brave warrior. He honors, in the battlefield, the greatness of his lineage.
; str_npc6_personalitymatch_speech_b|I must say that {s11} is a source of great comfort to me. I told him of my sin, and he said to me that Christ would forgive my transgression, if I repent and truly desire such forgiveness. He is wise, and I am glad that he is with us.
; str_npc7_personalitymatch_speech_b|He preaches to me just like to anyone else, and told me that even if my body is covered by war tattoos, God can still see the good intentions within my heart. I am not sure I completely liked what he said, for I am a warrior, not a simple housemaid, but, still, I feel I can trust that priest and his teachings.
; str_npc8_personalitymatch_speech_b|We are both veterans, and, as such, can both easily perceive the many tactical flaws the warriors of this land commit during battle. Our shield wall is much stronger with him in it.
; str_npc9_personalitymatch_speech_b|Were she not a mere slave, I might ask for her hand. It is a pity that she is not a free, pure woman, but speaking with her is a pleasant way to pass time on the march.
; str_npc10_personalitymatch_speech_b|Actually, I see that she is extremely devoted to you. Please, Dryhten, don't let it embarrass you! A devoted woman like that can be more valuable than a hundred warriors.
; str_npc11_personalitymatch_speech_b|She is clearly a survivor that has profound respect and obedience to you. This, of course, makes me extremely happy. If only all of our people were like her, someone who has overcome a troubled past in the house of the jarl of Kennemer. Those experiences, the difficult ones, are those that bring out the best in people, don't you think?
; str_npc12_personalitymatch_speech_b|It saddens him deeply to take the lives of his fellow men, however just the cause. He and I have talked together of a brighter future, of the need to unite these petty warring kingdoms of Englaland, so that we may bring this time of troubles to an end.
; str_npc13_personalitymatch_speech_b|He has a warrior's heart, even though it requires much more to learn the art of war. Though he may not be as fast on his feet as some, he knows the wisdom of holding together in a disciplined battle-line. You showed good sense in bringing him into this shield wall.
; str_npc14_personalitymatch_speech_b|The tales from his homeland that he likes to recite by the campfire also teach a lot about battles and warfare in general. I especially enjoy the heroic deeds that happened during the war with Troy. Soon, our shield wall will be a legend as glorious and famous as the heroes of Agamemnon's time.
; str_npc15_personalitymatch_speech_b|Even though he seems to be nothing more than a proud leader of men, he understands that war, like any other affair, requires careful planning and preparation and a firm grasp of strategic principals. A fine proof of that is how interested he got in the military aspects of the siege of Troy, as I was telling him that tale the other day.
; str_npc16_personalitymatch_speech_b|{s11} is an intelligent man with great wisdom. I like to listen to him at the camp fire, and he listens to me when I speak of Christ. The truth is that we have very interesting discussions. You should join us someday.
; str_npc1_retirement_speech|I'm a bit tired of marching up and down the land, shedding my blood for someone else's cause. The loot is good, but I think I've got enough of that, now. I'm going to head back to my father's cave, near Hadrian's Wall. Sorry, but this life of adventure and danger is over for me.
; str_npc2_retirement_speech|I'm getting a bit tired of the warrior's life. I'm going to invest my share of our loot in mead and women. I would like to thank you again for taking me on, and wish you the best of luck.
; str_npc3_retirement_speech|I am afraid I have something to tell you. I have decided that the warrior's life, even if better than a slave's one, is not for me. One final time, I thank you for freeing me, but it is time for me to find myself a more peaceful way of life. I think I have enough money to return to my father, Thonkrik, to start a new life as a merchant. I hope you will not be angry, {reg59?madame:sir}.
; str_npc4_retirement_speech|I have fought with you honorably, but I am not altogether satisfied with your leadership. Farewell.
; str_npc5_retirement_speech|{reg59?Madame:Sir}, since I joined your shield wall, I have fought for you fiercely and loyally, but you have not rewarded my service with the kind of leadership position that I deserve. So I will hope that my exile sentence has somehow been revoked and go home.
; str_npc6_retirement_speech|I joined this shield wall in the hope that you would lead me out of darkness, and indeed, I have found a measure of peace here, but I have some qualms about your leadership. Mostly, I have begun to suspect that my path to redemption can be found elsewhere.
; str_npc7_retirement_speech|I am tired of this squalid life of endless warfare, seeing weak men debased by fear, greed, lust, and a hundred other faults. I have money in my purse. I am going north, back to Alban, to assemble my own raiding party of Scots and Picts. I shall give rest to neither Briton nor Saxon, but you shall still have my peace.
; str_npc8_retirement_speech|I have fought in your shield wall and done well by it, but your decisions are not always to my liking. Anyway, I have another task. I will take what plunder I have won and raise a shield wall of my own. Then I will sail to Friese, where I shall recover my land. I wish you well.
; str_npc9_retirement_speech|We have fought well together and earned much glory, but I have some reservations about your leadership. At any rate, I have to kill that witch-snake spouse of my father. I will be leaving you. Perhaps we will meet again.
; str_npc10_retirement_speech|I've had enough of tramping up and down the length and breadth of these lands. I've earned enough to buy a small bit of land somewhere far from the hateful Welsh, so I think I'll give that a try. So long, and best of luck to you.
; str_npc11_retirement_speech|You have been very kind to me this whole time, but I... I am unable to endure the pain of {reg59?envy:love}. I beg your pardon, but I can no longer have you in my sight, since I know I forever can be nothing more than a lesser light before you. {reg59?:Moreover, as I am a skjaldmo, I have to preserve my virginity. }So I'll be off, although I don't know to where. Farewell, {reg59?my pretty:handsome}.
; str_npc12_retirement_speech|I've done all right in your shield wall. I've filled my belly, put some silver in my purse, and broadened my knowledge of wounds and injury. I can't complain about that, but I think right now that service in this shield wall is holding me back. I have a duty to share my findings with other doctors, and for that, I need to hire scribes that have an excellent understanding of Latin. These are rare in Englaland, so I will be going to Rome.
; str_npc13_retirement_speech|I would like to inform you that I wish to sever our relationship. I intend to seek alternative employment; perhaps join my fate to that of the Rus.
; str_npc14_retirement_speech|As the lustre of your name grows ever brighter, I fear that my own reputation will pale in comparison, as the moon is outshone by the sun. I have decided to strike out on my own. The very best of luck to you!
; str_npc15_retirement_speech|I appreciate that you took me on, but I'm not altogether happy about how things have worked out. I'm going to head off elsewhere -- maybe go home to Konstantinoupolis, maybe find another job. I haven't quite decided yet.
; str_npc16_retirement_speech|You and your men are a lost cause to the faith. I see that your souls are already taken by the Devil, since many of you uphold the ways of the old false pagan gods. Even my word was unable to change you and your evil ways, so I can only hope that God will have mercy upon you despite your terrible sins. I leave now.
; str_npc1_rehire_speech|Warlord, it's good to see you again. I know we had our differences, but now I recognize that those were some of the best days I've known. And, to tell you the truth, I've had a bit of difficulty finding work. Listen, if you're willing to have me back, I'd be willing to sign up with your shield wall again.
; str_npc2_rehire_speech|{reg59?Madame:Sir}! It's good to see you again! Actually, I confess, I've been looking for you. I spent all my money and need more. I guess I'm just destined to fight for a living. People tell me that you, on the other hand, have done very well for yourself. So tell me, {reg59?madame:sir}, will you have me back?
; str_npc3_rehire_speech|Well, hello {reg59?madame:sir}! It is very good to see you again. I have not fared so well since we parted, I am afraid. My savings from the time we travelled together, which I hoped would give me a start in trading, have not been enough to start a decent business. And, I must say, I fear being turned again into a slave. Perhaps I am better suited to war than to commerce, to share a meal over a campfire with rough fellows than to drink mead. {reg59?Madame:Sir}, I must ask you -- will you take me back?
; str_npc4_rehire_speech|It's been a while. You've done well for yourself, I hear. I know there's been some bad blood between us, but I'd be honored to fight in your ranks once again.
; str_npc5_rehire_speech|{playername}! Your fame grows ever greater -- even as far as my homeland, beyond the mountains. I'd returned there, hoping that my exile would have been forgotten. Well, it hadn't. Even before I set foot in my valley, I received word from my family that there were warriors looking for me in case I crossed the kingdom's border. So I've returned, hoping you might forget any harsh words I may have spoken, to see if I could fight with you once again.
; str_npc6_rehire_speech|It is good to see you, {playername}. Everywhere I go, men are in awe of your deeds. I have not had it so well since I left. Wherever I go, I feel my former demons returning. My soul is in turmoil. For reasons that I cannot fully explain, I had found peace in your company. Will you allow me to serve with you once again?
; str_npc7_rehire_speech|Warlord! It is good to see you. Unfortunately, even with all the money I saved from my share of the loot, the absurd taunt of being a traitor and a woman was still directed at me. No Pictish warrior would consider joining a war band lead by me. Dammit, that's just the way life goes, I guess. Will you have me back?
; str_npc8_rehire_speech|Greetings to you, {playername}. I was wondering if the harsh words between us in the past could be forgotten. I could not find thirty men to crew a ship, and those whom I gathered quickly got bored and wandered off -- not, I will add, before they drank away such silver as I had accumulated. Then I thought back to the battles we fought together. Those were good days, and profitable ones, too.
; str_npc9_rehire_speech|My dear, dear {reg59?lady:man}! It is so good to see you! I sought service with the lords of this land, but was grievously disappointed. Half of them ask me to carry gifts to fellow lords, as if I were a simple errand boy, or to beat down lazy peasants, as if I were a farm overseer. One even asked me to murder one of his rivals! Those are no kind of activities for a brave warrior like me! So I have been seeking you, to see if you might wish me to join you again.
; str_npc10_rehire_speech|Dryhten! It's good to see you again! It turns out I'm not much of a farmer. Too soft on the hired hands, I figure. I let them rob me blind. I guess fighting is what I know best, even if accompanied by Britons and Mercians. So tell me, Dryhten, are you still looking for good men?
; str_npc11_rehire_speech|{reg59?My pretty:Handsome}, I've thought a lot since we parted. Now I know in my heart that, even if sometimes we cannot get what we most desire, it is better to live close by than far away from it. Perhaps there is hope left, after all, that your company will be good for me. So, {reg59?my pretty:handsome}, will you take me back?
; str_npc12_rehire_speech|Warlord! It's a fine thing to see an honest face like yours, for this world is so full of lies! I went Rome to publish my findings, hired some scribes and made a handful of codices. Then I waited for the commissions, but it turns out that the philosophers don't care about real medical knowledge and instead prefer to discuss quasi-magical theories. I'll keep trying, but first need to replenish the money in my bag. Are you looking for a physician?
; str_npc13_rehire_speech|It is so good to see you. When last we parted, I practically swore that I would not serve you again. Perhaps I judged you too harshly. I have tried serving in other jarls' armies. Believe me; what I have seen of them restores my opinion of your leadership. If you will have me in your shield wall, I will fight for you again.
; str_npc14_rehire_speech|Well, hello there, valorous one! I have been hoping to see you again. Everywhere I go, I hear tales and songs of your deeds. I admit that I felt a twinge of regret that we had parted ways and, I'll confess it, a twinge of jealousy as well. I thought that I might once more fight by your side and thus bask in the reflection of your glory. Perhaps we might ride together again for a little while.
; str_npc15_rehire_speech|Why hello, strategos! I can't say I'm displeased to see you again. You see, I could not find a ship to take me to the continent, and so I took on another contract before I left, and, sure enough, when it came time to collect the pay, the lord had nothing but talk and excuses and petty little complaints about my handiwork. I can't say I was always happy in your shield wall, but at least you put silver directly into my purse after every battle. Are you still offering work?
; str_npc16_rehire_speech|I am here to offer another chance to you and your men. An angel came to me in a dream, and told me the future of your immortal soul. The angel said that your only chance of eventually going to Heaven lies entirely upon my work as a preacher. You are my responsibility. So, I beg you to accept me again in your shield wall. Maybe this time you will pay heed to the word of God.
; str_npc1_home_intro|Warlord, perhaps you didn't know this about Hadrian's Wall. Near here is a cave where I was born eighteen years ago. This is a special place that we should stop and visit, for it has long history. Romans, those legendary warriors, dwelt here.
; str_npc2_home_intro|Ribe! That's where I was born twenty years ago. Son of a king and yet a slave, but the best skald in all Danmark.
; str_npc3_home_intro|Can you smell that? It is the smell of evil. It is the smell of Kennemer. How I hate that place! I spent the worst years of my life there. Just being around this site makes me nauseous.
; str_npc4_home_intro|Perhaps you didn't know about Dun Onlaigh, a magnificent Dal Riata fortress.
; str_npc5_home_intro|Oh, perhaps you didn't know this about Din Tagell, one of the mightiest forts of Cornubia. I served in the shield wall of its lord, as a dryhten, long before I was forced into exile.
; str_npc6_home_intro|Perhaps you don't know about Cantwareburh, in the kingdom of West Seaxe. This is the city where the ship, the Woden Ric, should have brought me, but the Viking attack near the coast of Friese changed all that. Changed my fate forever.
; str_npc7_home_intro|Pay attention, and be careful. We are now in Alban, near Dun Taruo. The kingdom of Alban is the most powerful in the north.
; str_npc8_home_intro|We are in the kingdom of Friese, where Dorestad is the main town. Years ago, we Frisians were subjects of the Franks, but later, a Dane became king. Well, really, Frisians do not recognize these kings, but have to accept their power. We prefer to live.
; str_npc9_home_intro|Behold the horizon, for there lies the fortress of Rendlaesham, seat of power of the kings of East Engle.
; str_npc10_home_intro|Look, the trading town of Lundenwic, home to the Saxons of East Seaxna. This beautiful site has a glorious past and, I might bet, a bright future.
; str_npc11_home_intro|That smell is of salt and the sweat of the people that work the sea. It is the warmth of home... Tunsberg.
; str_npc12_home_intro|Perhaps you don't know about Heidabyr, if that interests you.
; str_npc13_home_intro|East, past the land of the Norwegians, are my people, the Sviar, a warlike and strong people. Our destiny is to rule others.
; str_npc14_home_intro|Ah, Caiseal! Such a lovely spot, at the foot of the Eriu. The region of Mhumhain, or Munster, is certainly the most poetic and beautiful part of what Romans called Hibernia.
; str_npc15_home_intro|Do you see that small settlement over there? It is Hordaland.
; str_npc16_home_intro|Oh my God! That is Witan Ceaster. I lived near here, in a village. My parents, travelers, could not take care of me and gave me to the monks of Witan Ceaster.
; str_npc1_home_description|My name, Caio, has passed from generation to generation. The first who had it was an ancestor of mine, descended from a man named Virio, who was the grandson of a man who had served defending the wall.
; str_npc2_home_description|People say that the Danish are a bunch of bloodthirsty men, but they have a good head for trade, if you ask me. People up and down the coast produce pottery, textiles and leather. Ribe is also famous for its women, if you understand what I mean.
; str_npc3_home_description|Kennemer is a Danish fort now, but it was not always so. In fact, before the Danish, the Franks ruled from there. We Frisians did not like the Franks as much. They imposed their religion, Christianity, and their lords are very controlling. So when the Danish first came, we did not mind. These masters are a little more indulgent, allowing use more freedom as long as we pay tribute.
; str_npc4_home_description|You know I do not talk much, but I would say that I am proud to be a Scot of the Dal Riata. You've heard many stories about the Scots, or maybe none. People thought we were just pirates who looted the coast, and cursed us for it. Then came the Norwegians, who are worse.
; str_npc5_home_description|Cornubia used to be a strong kingdom called Dumnonia. People from Dumnonia usually call themselves 'Defnas,' which simply means 'men of Dumnonia.' Our land was famous for the high quality of tin extracted from its many mines. Now our kingdom is small and poor.
; str_npc6_home_description|You know that Cantwareburh was the capital of the kingdom of Cent until very recently. I read about this before I came here, and I talked to a Saxon scholar who had been invited to Asturias. In my kingdom, we call everybody here 'Saxons,' but, really, in Cent lived Jutes, people who preceded the Saxons from across the sea.
; str_npc7_home_description|The Kingdom of Alban is simply a merger of two people: the Dal Riata, people who migrated generations ago from Hibernia, and us Picts. Our nobles and kings have become so mixed that we are now one kingdom. The common people have their differences yet, for there are many years of war between us.
; str_npc8_home_description|Frisians are a reserved people. They like to be left alone to their affairs, and the Danish are better lords than the Franks. As long as we pay taxes and accept their authority, they leave us alone.
; str_npc9_home_description|The kings of East Engle are from the Wuffing dynasty, descended from the legendary king Wuffa. Their origins lie with the Geats, as in the tale of Beowulf. They were the most powerful of the Anglo-Saxon kingdoms back in the day, but not any more. Now they are just servants of the Danish.
; str_npc10_home_description|Here once stood Londinium, the Roman capital of Britannia. Lundenwic lies very close to the ruins of Londinium, of which now remains a fort usually called Lundenburh. Its name means 'trading town of Londinium,' or simply, as we Saxons say, 'London.'
; str_npc11_home_description|I'm from here, you know. I think I have managed to become such a fine warrior by your side because war runs thick in the blood of every man and woman of Northvegr. These are times of war in this land. The jarls fight each other constantly.
; str_npc12_home_description|Heidabyr is not the oldest site in Danmark, but it is becoming important. Actually, it was founded a few generations ago by Rerik merchants. The fled here when their city was destroyed by King Gotrik.
; str_npc13_home_description|While the Danes and Norwegians focus on the west, the Svia look east to the land of the Slavs and beyond, even to the rich trading city of Mikligard.
; str_npc14_home_description|This is the home of the best bards from these lands. Even small boys and girls from this kingdom sing better than the bards from the rest of world. Many of the people also respect the old traditions and gods, and thus Munster is the most prosperous land in all of Eriu.
; str_npc15_home_description|Hordaland is one of the small kingdoms in Northvegr. It is led by Eirik Konungr, who was my master. I know him well. He's a tough man, violent and loving nothing more than the independence of his kingdom. So he doesn't like the vow of Harald Tanglehair to unify Northvegr under one king.
; str_npc16_home_description|Witan Ceaster is the capital of the Saxons of West Seaxe. West Seaxe is now the most powerful kingdom in Britannia or Englaland, as our land is called. With Mierce weakened, West Seaxe is the only kingdom that can stop the Danish.
; str_npc1_home_description_2|Since then, it has passed from father to son. My father, the old Roman that you met, is called Caio. The name will not be lost, for all my brothers are also called Caio. My mother called us Caio Maior, Caio Secundo, and Caio Minor in order to distinguish us.
; str_npc2_home_description_2|Someday I'll buy a farm near Ribe. I will marry two or three women and dedicate myself to making children. Or maybe not. I may soon get bored of it...
; str_npc3_home_description_2|But now it seems that the Danish may be worse, in fact, than the Franks. Many Frisians have rebelled against their dominion. The Danish are people who take what they want, regardless of who is harmed, and they value their strength above our laws. I hate them! They made me a slave!
; str_npc4_home_description_2|The truth is that, for many Gaels, to become Scots was a way out of poverty, especially in such a closed society like Eriu. We joined a brotherhood and threw ourselves to the dangers of the sea. Looting and robbery were our ways. It was not very different from what others are doing today, but we were never as bloody as the Norwegians.
; str_npc5_home_description_2|We only have the memories and history. Do you know that Din Tagell was the place where they say the man, Arthur, whom the bards sing about, was born?
; str_npc6_home_description_2|The Jutes conquered this land from the Britons after Rome left Britannia. Curiously, the Danish, who are the Jutes' relatives, or perhaps their descendants, are now their enemies and attack this land. I remember long afternoons with the Saxon scholar, an old man named Bedda, who informed me of this part of the world and prepared me for my trip.
; str_npc7_home_description_2|The Picts are fine shepherds and hunters, but these Dal Riata are a clan of pirates, Scots. But I should not say that, since we are now fighting on the same side and for the king himself.
; str_npc8_home_description_2|Many of us prefer our own government, without the interference from either the Franks or Danish, but this is impossible as long as we are divided and unable to raise an army. Our aethelings, our noblemen, prefer to serve the Danish. Without an aetheling to lead us, the frilings, the freemen, are unable to organize. Perhaps our fate is to be dominated by other people forever.
; str_npc9_home_description_2|They harbor a great hatred against the rival kingdoms. Curiously enough, their territory is one of the few parts of Britannia where rainfall is sparse and the climate is dry. I am not really sure if you will ever want to fight their warriors for such a piece of land. I don't think it'd be worth it.
; str_npc10_home_description_2|The mouth of the river Fleet serves Lundenwic as a harbour for both trade and fishing. Merchants from all the nations of Europe are slowly flocking to Lundenwic in search of good commercial opportunities. And here, the old gods are still very well respected, but I should not say any more about that...
; str_npc11_home_description_2|A young lord from Tunsberg, Harald Tanglehair, intends to rule over all Northvegr. He is smart and ruthless -- like you, {reg59?my pretty:handsome}! Then, he says, he will finally comb his head and marry Gyda Eiriksdottir, but of course he'd have to kill her father first. Anyway, Tunsberg is an important center of commerce, and I'm sure you'll find many trade goods and news from all over the world. Shall we go?
; str_npc12_home_description_2|I am sure that King Gotrik's name sounds familiar to you, no? He was a famous man because, fearing an invasion of the Franks from the south, he built an enormous structure to defend Danmark. We called it the Danavirki. It is an important linear defensive earthwork constructed across the neck of the Danmark peninsula.
; str_npc13_home_description_2|Anyway, I will not bore you with long talks. We could talk until the time that Midgardr ends and Ragnarok comes, ha!
; str_npc14_home_description_2|Their nobility, of which I am also part, I must admit, is also the noblest of the nobilities. This is because all of us have at least one drop of the blood of the nine goddesses that bless our homeland within us. These goddesses are: Anann, Aine, Grian, Cliodhna, Aimend, Mor Muman, Bebinn, Aibell, and the infamous, but extremely beautiful Queen Mongfind. Settle here, oh valorous one, and someday one of those goddesses might come to your bed in the dark of the night, just as Mongfind came to me twelve winters ago.
; str_npc15_home_description_2|Eirik is the father of Gyda, the beautiful girl who put the thought of unifying Northvegr in Harald's head. Now the silly boy will not allow comb to touch his head until he wins her hand. She's a regular Helen of Troy. Perhaps you should go there to see her for yourself.
; str_npc16_home_description_2|I grew up in Witan Ceaster, played in its muddy streets when not forced to study, and I loved running around the stalls when we went to the market. Witan Ceaster was an important town in Roman times, I read, but it was almost abandoned later until King Cenwalh built its first church. He was also the king who brought Christianity to West Seaxe, for which he repudiated his first wife, the sister of pagan King Penda of Mierce.
; str_npc1_home_recap|I'm from near Hadrian's Wall, where I lived in a cave.
; str_npc2_home_recap|I was born in Ribe, in Danmark. I'm a warrior, the son of a king and a slave.
; str_npc3_home_recap|I used to live as a slave in {s20}, but I spent my childhood in Doccinga, where I was really happy. I just hope my father, Thonkrik, does not think badly of me, as I have had to live as a slave... They would have killed me if I had not obeyed the jarl's orders. A parent should never know how low his children have fallen.
; str_npc4_home_recap|I am a Scot and a Dal Riata.
; str_npc5_home_recap|I was born in Cornubia, but have been forever exiled from my homeland. Only with your shield wall am I allowed to travel there -- without, that is, using a disguise.
; str_npc6_home_recap|I am from Cantabria, in the Kingdom of Asturias, as you know. It is in the north of Hispania. We are warlike people who, when not killing Muslims, are dedicated to killing each other, supporting one king or another. Our current king is Aldefonsus, son of Ordonius. Ordonius was a good king, but he died recently. I hope his son is a worthy successor.
; str_npc7_home_recap|I was born in Dun Taruo, in the Kingdom of Alban.
; str_npc8_home_recap|I was born in Friese and never thought I would leave it. My father was a friling, a free man with a plot of land. I inherited the land but sold it when my family all died. Now I have nothing but the strength of my hands.
; str_npc9_home_recap|I am from the continent, and my people call themselves Franks.
; str_npc10_home_recap|I am a Saxon, not an Angle, from Lundenwic.
; str_npc11_home_recap|Why, {reg59?my pretty:handsome}? I am from Tunsberg, in Northvegr.
; str_npc12_home_recap|I am the younger son of a hersir in Odinsve. I traveled to Frankia and Rome in search of medical lore.
; str_npc13_home_recap|I am a Svia. My people are destined to reign over all the east. The Danish will be destroyed quickly if their kings still covet our land.
; str_npc14_home_recap|Oh, from the most magnificent region of Mhumhain, in the southern part of Hibernia, land of bards and goddesses.
; str_npc15_home_recap|I come from Konstantinoupolis, the most beautiful and largest city in the world. The largest towns here are but small villages compared to Konstantinoupolis. Heck, one could practically fit in the Hagia Sofia, the main church there. You should travel there someday.
; str_npc16_home_recap|I lived in Witan Ceaster for many years. That city brings back great memories, but I know my place is not there.
; str_npc1_honorific|Warlord
; str_npc2_honorific|{reg59?Madame:Sir}
; str_npc3_honorific|{reg59?Madame:Sir}
; str_npc4_honorific|{reg59?Madame:Sir}
; str_npc5_honorific|{reg59?Madame:Sir}
; str_npc6_honorific|Dux
; str_npc7_honorific|Leader
str_npc8_honorific|{playername}
; str_npc9_honorific|My good {reg59?lady:sir}
; str_npc10_honorific|Dryhten
; str_npc11_honorific|{reg59?My pretty:Handsome} -- I mean warlord
; str_npc12_honorific|Warlord
; str_npc13_honorific|Warlord
; str_npc14_honorific|Captain
; str_npc15_honorific|Strategos
; str_npc16_honorific|{reg59?Madame:Sir}
; str_npc1_kingsupport_1|That's a great idea, Warlord. All these men and landed nobles who rule now, with their prisons and gibbets and scaffolds, whip, brand or hang any man who might be driven by the crying of his children to steal a loaf of bread, or maybe a horse. This land deserves something better.
; str_npc2_kingsupport_1|Well, warlord, I'd support you. I think you'd give this world the kind of enlightened rule that it has long needed.
; str_npc3_kingsupport_1|Well, my {reg59?lady:lord}, I would worry for you. Our histories tell us that power tends to corrupt, but in the end, I am comforted by the mercy and judgment you have shown as lord of this shield wall.
; str_npc4_kingsupport_1|I think that you would be the kind of {reg59?queen:king} that well-born warriors such as I would be proud to follow into battle.
; str_npc5_kingsupport_1|A fine idea! You have shown that you know how to govern men. Mind that you govern them justly, though...
; str_npc6_kingsupport_1|I cannot judge the legal merits of your claim. However, I think that, unlike the other kings here, you have the capacity to unify this land. That would put a stop to these endless wars between kingdom and kingdom, noble and noble, and brother and brother, that have brought us all into disgrace in the eyes of the gods.
; str_npc7_kingsupport_1|Aye, you'll do well. You know how to treat trackers, Picts, and women.
; str_npc8_kingsupport_1|The Saga of Beowulf tells us that a man who does deeds greater than those of the other men of his time may claim a throne for himself. I'd say that you could make that claim.
; str_npc9_kingsupport_1|Very good, Dryhten. I'm a Frank by blood, but Dagobert didn't support me when I was cheated of my inheritance. So I don't owe him anything, and I would be more than happy to have you as my {reg59?queen:king}.
; str_npc10_kingsupport_1|Well, warlord, I suppose Englaland really needs a powerful king. The Welsh and Angles are but weaklings and idiots, while the Saxons, incomprehensibly, can't seem to unite to conquer the whole land.
; str_npc11_kingsupport_1|Why, that's a fine idea, {reg59?my pretty:handsome}! I suppose I shall have to learn to call you 'King' or 'Konungr,' then... Which I'd be more than happy to do if you called me 'Royal {reg59?Companion:Consort}.'
; str_npc12_kingsupport_1|I am sure that you would make a fine king, warlord. I flatter myself that I am a good judge of character, and you have demonstrated a capacity for compassion that far exceeds that of these others who call themselves monarchs.
; str_npc13_kingsupport_1|Well, {reg59?madame:sir}, the heavens have instituted a hierarchy in this world. Normally, I would have no truck with usurpation, but I also think that the kings of this land are a weak and sorry lot, not worthy the name of king. Circumstance leaves the crown free to be taken by a better ruler, such as you.
; str_npc14_kingsupport_1|That would be a fine thing, {reg59?my lady:sir}! Many are the tales of kings that proved their worthiness to wear a crown through valor and courage. Perhaps you know the tale of Cu Chulainn, whose bravery and feats of arms are unparalleled in Hibernia and Britannia. A splendid tale!
; str_npc15_kingsupport_1|Well, you pay your men on time, when you can, generally speaking. That's the best qualification for kingship there is, in my book. You also show some respect for the rights of others.
; str_npc16_kingsupport_1|It seems to me that you hear my words and that your soul stirs before Christ's teachings. Yes, I am sure that God not only approves but is planning your ascension as a rightful king over the sinful people of these lands.
; str_npc1_kingsupport_2|Sure would, warlord, but let me tell you what might bring others to your cause -- particularly us poor folk. They tell us that in the old days, the great Roman lords -- they were called governors, or maybe senators, I can't remember -- would, upon ascending to power, issue amnesty for all but the worst prisoners in the land's dungeons, giving people a second chance to make something of themselves.
; str_npc2_kingsupport_2|Most of the lords of this land, well, let's just say that they never held a pening that they didn't keep as rent or loot. You, on the other hand, have some experience of commerce and trade, due to acting as warlord and managing your domains. If you like, warlord, I reckon I could find some support for you among the men of this realm.
