qstr_Breaking_camp...|Lager wird abgebrochen ...
; qstr_Leave_Friese._Your_rel|Leave Friese. Your relationship with the jarl has ended badly. You are now enemies. He will send assassins after you, and he will not have compassion if he finds you in his way.
; qstr_No_you_are_a_fool._T|No, you are a fool. These men were going to take and fortify the village, then wait for more troops from Danmark. Now that's impossible. You've ended my dreams. Sigurd 'Snake in the Eye' will think I'm a traitor and he will want my head because of you. To honor services provided, I will give you a few days head start. Then you will have assassins after you, for I will put a price on your head. You'll have to sleep with one eye open and a knife under your pillow.^If you do not leave Friese or we meet in person, I will kill you with my bare hands.
; qstr_Investigate_events_i|Investigate events in {s3}.
; qstr_Help_defend_{s3}.|Help defend {s3}.
; qstr_The_king_does_not_be|The king does not believe you. You need evidence of treason. Maybe Thonkrik from {s3} can help you.
; qstr_It_seems_you_will_not|It seems you will not have the help of the king. You'll have to talk to {s11} 'Snake in the Eye' directly.
; qstr_{s10}_won_t_support_y|{s10} won't support you with {s9}.
; qstr_I_did_not_want_to_ki|I did not want to kill Atli, but I had no alternative. (Phlegmatic)
; qstr_I_am_aware_of_the_se|I am aware of the seriousness of this danger. You do not need to remind me. (Melancholic)
; qstr_I_did_this_for_you._|I did this for you. Without me, the letter would be Sigurd's, to take the throne. (Choleric)
; qstr_Come_on_sire_I_left_|Come on, sire, I left no witnesses. The Assembly will not blame me for anything. (Sanguine)
qstr_I_see._Well_it_is_yo|Ich verstehe. Nun, es ist euer Nacken.
; qstr_Well_if_Ulf_doesn_t_|Well, if Ulf doesn't testify against you and some jarls support you, you might have a chance.
qstr_Mark_my_words_{reg59|Merkt Euch meine Worte, {reg59?Frau:Mann}. Wenn Sigurd den Thron besteigt, wird Eurer Leben nichts mehr wert sein. Erzähl mir nicht was Ihr für mich tut, während Ihr in Wahrheit nur Eure eigenen Interessen schützt.
; qstr_Remember_that_I_am_t|Remember that I am the king when you address me.
; qstr_It_seems_that_everyt|It seems that everything is ready for your trial. {s10} will send a messenger to warn you as soon as your presence is required by the Assembly.
qstr_{s9}_wants_you_back_|{s9} will Sie zurück mit {s11}.
; qstr_{s9}_wants_you_to_me|{s9} wants you to meet {s11} of West Seaxe in {s3} and give him a letter calling for a truce.
qstr___You_perceive_that_|--Ihr erkennt das Eure Neuigkeiten ihn zutiefst beunruhigt haben.--
; qstr_I_guess_you_ve_weigh|I guess you've weighed all the options before making your decision. (Phlegmatic)
qstr_So_all_is_not_lost!_|Also ist nicht alles verloren! (Melancholisch)
; qstr_Retreat_is_dishonora|Retreat is dishonorable. Were I running this army, I would lead it to victory. (Choleric)
; qstr_Come_come._Retreat?_|Come, come. Retreat? Are you a coward? (Sanguine)
; qstr_We_must_be_realistic|We must be realistic. Otherwise, we may lose everything we've got.
; qstr_You_need_not_be_so_d|You need not be so dramatic. Nothing has been lost, dammit! I'm just posing the most logical strategy.
; qstr_Well_I_happen_to_lik|Well, I happen to like people with guts. Listen carefully, because I think this will interest you.
; qstr_No_I_d_rather_be_a_c|No, I'd rather be a clever man than a dead one. And watch your words! Remember that you're talking to one of the sons of Ragnar. If all of Northhymbre could not answer for insulting our family, what chance do you think you would have?
; qstr_{s9}_wants_you_hunt_|{s9} wants you hunt and destroy the West Seaxe foraging party near {s3}.
; qstr_{s9}_wants_you_deliv|{s9} wants you deliver a message to his brothers in {s3}, advising them that no reinforcements from Danmark are coming and that Bjorn will request a meeting with the Saxons for a truce and retreat from Mierce.
; qstr___You_perceive_your_|--You perceive your news has disturbed him deeply. He snorts like a bull before answering.--
; qstr___He_looks_into_your_|--He looks into your eyes with deep concern and then calls a servant to read the letter aloud to the end. Then Rathbarth looks at you and smiles.--
; qstr___He_bites_his_lower|--He bites his lower lip a few seconds, thinking.--
; qstr_Note_1:_You_gave_the|Note 1: You gave the letter to Ragnar's sons. {s9} thanked you, and now you're helping him.
; qstr___He_rests_a_hand_on|--He rests a hand on your shoulder.--
; qstr___He_laughs_loudly._|--He laughs loudly.--
; qstr_{s9}_wants_you_find_|{s9} wants you find and speak with {s3} of the {s4} to give him your oath of homage. Then, he wants you to return for an assignment.
; qstr_As_he_rejoins_his_br|As he rejoins his brothers to decide what to do about the letter of Bodo, {s11} has asked you to go to the Kingdom of Alban, conquer {s3} and keep it twenty days to weaken the Picts and secure the rear of the Danish in Northhymbre.
qstr___He_takes_a_deep_bre|--Er atmet tief ein.--
qstr___He_smiles_pleased.|--Er lächelt, zufrieden.--
; qstr_The_time_to_meet_wit|The time to meet with the troops from the Kingdom of Asturias has arrived. Bodo's letter indicates that they will dock at {s3}, and {s11} wants you go there and meet with them. There is a traitor. Use him to gain favor with the Asturian troops and bring them to the side of the sons of Ragnar. But if you fail to convince them, {s11} wants them destroyed.^^But before you leave Englaland, you must go to {s3} and talk to the old captain at the port, as {s11} has gathered men and ships to help you in Douar-an-Enez.
; qstr_The_king_wants_no_le|The king wants no letters. You have been sent to speak to his brother, {s11}.
; qstr___He_takes_the_letter_|--He takes the letter from your hands, and you see his fingers are stained with ink. Aelfred reads the letter slowly, absorbing with interest all that it contains. After reading it, without saying anything, Aelfred calls Bodo and takes him aside a few meters, where they talk a long time. --
; qstr_Note_1:_You_gave_the_|Note 1: You gave the letter to West Seaxe. {s9} thanked you, and now you're helping him.
; qstr___For_a_moment_he_sh|--For a moment, he shows surprise.--
; qstr___He_studies_you_slo|--He studies you slowly, like examining a horse.--
; qstr_{s9}_wants_you_to_fi|{s9} wants you to find and speak with {s3} of the {s4}, to give him your oath of homage. Then, he wants you to return for an assignment.
; qstr_{s11}_has_asked_you_|{s11} has asked you to go to the land of the Welsh. You are to conquer {s3} and keep it twenty days.
; qstr_The_time_to_meet_with|The time to meet with the troops from the Kingdom of Asturias has arrived. Bodo's letter indicates that they will dock at {s3}, and {s11} wants you go there and meet with them. There is a traitor. You have to expose him and destroy him diplomatically, without breaking relations with the Asturians.^^{s11} has gathered men and ships to help you in Douar-an-Enez. You must go to {s3} and talk to the old captain at the port.
; qstr___He_snaps_his_finge|--He snaps his fingers.--
; qstr_You_must_enter_the_s|You must enter the service of {s11}, ready for the battle ahead.
; qstr___He_looks_at_you_co|--He looks at you condescendingly.--
; qstr___He_scratches_his_c|--He scratches his chin thoughtfully. He is a very thin young man of only twenty years, but already commands respect.--
qstr_{s13}_asked_you_to_ga|{s13} bat Euch, {reg3} Stück Vieh zusammen zu treiben und sie erst nach Aescesdun und dann zu ihm zu bringen. 
qstr_{s13}_asked_you_to_gat|{s13} bat Euch, {reg3} Stück Vieh zusammen zu treiben und sie erst nach Aescesdun und dann zu ihm zu bringen.
; qstr___He_puts_his_hand_on_|--He puts his hand on your shoulder and looks into your eyes.--
; qstr_You_ve_joined_your_a|You've joined your army to that of {s11}, which awaits the arrival of the great Danish army. It seems that the fate of West Seaxe will be decided soon.
qstr___He_pats_your_back.|--Er tätschelt euch den Rücken.--
; qstr_You_must_enter_the_se|You must enter the service of {s11} and prepare for the battle ahead.
qstr___Halfdan_laughs_lou|--Halfdan lacht laut auf.--
; qstr___He_confidently_tou|--He confidently tousles your hair.--
qstr_{s13}_asked_you_to_gath|{s13} bat Euch, {reg3} Stück Vieh zusammen zu treiben und sie erst nach Readingum und dann zu ihm zu bringen.
qstr___He_hugs_you_tightl|--Er umarmt euch, wie ein Bär.--
; qstr_You_ve_joined_your_ar|You've joined your army to that of {s11}, which is ready to march on the Saxons in Aescesdun. It seems that the fate of West Seaxe will be decided soon.
; qstr_{s9}_told_you_that_S|{s9} told you that Sven Bull Neck has gone to Readingum, where he has taken over. It's time to finish what started on the Woden Ric. Sven Bull Neck cannot escape again. Go to Readingum.
; qstr_You_already_have_my_|You already have my permission to do this. Please do not keep bothering me with the same matter.
qstr_You_are_an_enemy_of_|Sie sind ein Feind meines Königreiches.
qstr_You_must_earn_my_tru|Wenn sie Männer in meinem Land rekrutieren möchten, müssen Sie mein Vertrauen verdienen. Unsere Beziehungen ist schlecht.
qstr_I_don_t_know_if_I_tr|Ich weiß nicht, ob ich  Euch genug vertraue um Männer aus meinem Land Euch in die Schlacht zu folgen. Beweisen sie sich zuerst, dann kommen sie  wieder und Fragen. ^^ (150 oder mehr Beziehung)
qstr_No._I_do_not_know_wh|Nein.,ich weiß nicht, wer Ihr seid. Sie müssen mein Vertrauen verdienen, wenn sie Männer in mein Land. ^^(150 oder mehr Ruhm und 5 oder mehr positive Beziehung) rekrutieren möchten
qstr_Well_I_ve_come_to_kn|Nun, ich bin gekommen, um Euch kennen zu lernen, und es freut mich dass dies möglich ist. Daher gebe ich hiermit bekannt, dass wenn ein Mann Euch folgen will, es ihm erlaubt ist, dass zu tun. Unter der Voraussetzung natürlich, dass er frei von Verpflichtungen gegenüber einem anderen Herrn ist.
qstr_you|Ihr
qstr_You_are_challenging_|Ihr fordert mich zu einem Duell heraus? Wie amüsant! Wie Ihr wünscht, {playername}, es wird mir eine Freude sein, Euren Schädel zu spalten.
qstr_{s16}_and_{s17}|{s16} und {s17}
qstr_Very_well_I_will_acc|Nun gut, Ich werde Euch wieder in meine Reihen aufnehmen, wenn Ihr bereit seit, Euren feierlichen Schwur zu erneuern.
qstr_A_pardon_will_only_b|Eine Begnadigung ist nur möglich, wenn Ihr gewillt seid, mir {s17} zu überlassen. Stimmt Ihr meinen Bedingungen zu?
qstr_No._There_is_no_chan|Nein. Zwischen uns kann kein Friede herrschenich bin nicht interessiert.
qstr_I_may_be_able_to_hel|Ich kann Ihnen in einer heiklen Situation helfen können. Haben Sie {reg7} Peningas für mich?
qstr_I_have_heard_of_your|Ich habe Ihre Misshandlung von meinen Untertanen, {Playername} gehört. Ich bin mir ziemlich sicher, dass Leute sich noch erinnern was Sie getan haben... ^ ^ aber das gehört alles der Vergangenheit an, also gib mir das Geld.  {reg7} Peningas?
; qstr_{playername}_your_tr|{playername}, your treatment of my subjects was atrocious in the past, but such is war. I'm willing to help you in this matter. Hand me that purse with {reg7} peningas, and I'll take care of the business.
; qstr_{playername}_we_all_|{playername}, we all make mistakes in our lives, and while your treatment of my subjects was bad, I don't hold grudges. I will help you to restore people's believe in you as a just ruler. Allow me to take that purse with {reg7} peningas, and I'll take care of the business.
qstr_Rumor_has_it_that_{s|Es wird gemunkelt, dass {s35} nur das Geld nahm und nicht einmal die Mühe hatte, sich mit Leuten zu unterhalten.
qstr_Rumor_has_it_that_{s3|Es wird gemunkelt, dass {s35} das Geld für sich behält.
qstr_{s34}|{s34}
qstr_Your_efforts_to_brib|Ihre Bemühungen, die Einheimischen Bevölkerung zu bestechen war erfolglos.
qstr_Our_marshal_{s1}|Unser Marschall, {s1}
qstr_We_are_not_at_war_wi|Wir befinden uns mit niemandem im Krieg.
qstr_go_on_the_offensive_|geht nun in die Offensive.
qstr_act_to_defend_our_la|ergreift Maßnahmen zur Verteidigung unserer Ländereien.
qstr_take_more_time_to_ga|nehmt Euch mehr Zeit, die Armee zu versammeln.
qstr_You_promised_to_help|Ihr verspracht, {s13} zu helfen, den Thron von {s14} zu erringen.
qstr_What_do_you_say_to_e|Was haltet Ihr davon, als Söldnerhauptmann in die Dienste von {s9} zu treten? Ich habe keine Zweifel, dass Ihr der Aufgabe gewachsen seid.
qstr_{s8}_asked_you_to_tr|{s8} bittet sie die Spur einer Gruppe von herrenlose Männer aufzuspüren, die sein Dorf {s9} geplündert haben.
qstr_{s9}_asked_you_to_ta|{s9} bat Euch, eine Nachricht zu {s13} zu bringen. {s13} war vermutlich in {s4}, als Euch dieser Quest anbetraut wurde.
qstr_{s9}_asked_you_to_tak|{s9} bat Euch, eine Nachricht von {s15} nach {s13} zu bringen. {s13} war vermutlich in {s4}, als Euch dieser Quest anbetraut wurde.
qstr_{s11}_asked_you_to_e|{s11} bat Euch, seine {s17} {s13} nach {s14} zu eskortieren.
qstr_{s11}_asked_you_to_r|{s11} fragt sie, plündert das Kloster {s14}, in der Nähe von {s34}, und bringt ihn {reg33} Pfennige.
qstr_{s11}_asked_you_to_es|{s11} bat Euch, seine {s17} {s13} nach {s14} zu eskortieren.
qstr_{s13}_asked_you_to_d|{s13} bat Euch, Euch der Banditen anzunehmen, die das Dorf {s15} besetzen und ihm dann Bericht zu erstatten.
qstr_{s9}_asked_you_to_ra|{s9} bat Euch, {reg1} {s14} auszuheben und sie ihm zu bringen.
qstr_{s9}_asked_you_to_co|{s9} bat Euch, Steuern von {s3} einzutreiben. Er bot Euch ein Fünftel allen Geldes, das Ihr dort eintreibt.
qstr_{s9}_asked_you_to_hu|{s9} bat Euch, einen Flüchtigen namens {s4} zu schnappen. Man glaubt, dass er sich momentan in {s3} aufhält.
qstr_{s9}_asked_you_to_as|{s9} bat Euch, einen Kaufmann in {s3} zu ermorden.
qstr_{s9}_has_asked_you_t|{s9} hat bat Euch, Euch mit einem Spion in {s13} zu treffen.
qstr_{s11}_asked_you_to_f|{s11} bat Euch, dem Spion zu folgen, der {s12} verlassen wird. Ihr müsst darauf achten, nicht vom Spion entdeckt zu werden, da er sonst Verdacht schöpfen und umkehren könnte. Sobald der Spion sich mit seinem Komplizen trifft, müsst Ihr sie beide überfallen und nach {s11} zurückbringen.
qstr_{s11}_asked_you_to_c|{s11} bat Euch, einen Fürst aus {s13}, egal welchen, gefangen zu nehmen, und ihn dann für sichere Verwahrung nach {s11} zurück zu schleifen.
qstr_{s9}_asked_you_to_le|{s9} bat Euch, ihm Euren Gefährten {s3} für eine Woche zu leihen.
qstr_{s9}_asked_you_to_col|{s9} bat Euch, die Summe von {reg4} Pfennige einzutreiben, die {s3} ihm schuldet. {s3} war in {s4}, als man Euch dieser Quest übertrug.
qstr_{s11}_gave_you_a_fak|{s11} gab Euch einen gefälschten Brief, um {s13} dazu zu bringen, seinen Vasall {s16} zu verbannen. Ihr sollt nach {s14} reisen, den Brief einem Eurer {s15} geben und in als Boten in die Stadt senden, im Glauben, seine Befehle seien echt.
qstr_{s9}_has_requested_y|{s9} verlangte von Euch, ihm {reg1} {s3} als Gefangene zu bringen.
qstr_Lend_your_experience|Verleiht Euren erfahrenen Wundarzt {s3} an {s1}.
qstr_Oh_Dear!_We_have_bee|Oh, Lieber! Wir haben einen jungen bekommen!
qstr_Oh_Dear!_We_have_rec|Oh, Lieber! Wir haben eine Mädchen bekommen!
qstr_Oh_Dear!_Twins_are_b|Oh, Lieber! Zwillinge sind uns geschenkt.
; qstr_Oh_dear_{playername}|Oh dear {playername}, I'm so tired. (She smiles at you). Be patient, for the child must be carried for nine months.
qstr_I_m_thinking_of_a_na|Ich denke an einen Namen für das Kind. Wenn wir einen jungen haben, wird sein Name {Playername} sein, aber wenn wir ein Mädchen haben, wird ihr Name wie ich heißen.
; qstr_I_m_fine._I_will_not|I'm fine. I will not pay any attention to the banter of the servants. The child isn't the son of our swineherd.
; qstr_Time_flies_away_from|Time flies away from war, fear and the rigors of travel... In nine months, you will have a child.
qstr_Then_take_it_with_my|Nehmt es, zusammen mit meiner ewigen Dankbarkeit. Ihr seid ein edler {reg59?woman:man}. Ich werde nie vergessen, dass Ihr mir in meiner Not zu Hilfe kamt.
qstr_Forgive_me_{playerna|Vergebt mir, {playername}, aber ich muss darauf bestehen, dass Ihr es annehmt. Das Geld bedeutet mir so wenig, und ich schulde Euch so viel. Hier, nehmt es, und lasst uns fürderhin nicht mehr davon sprechen.
qstr_{playername}_what_a_|{playername}, was ein edler Mensch Ihr seid, doch ich kann Euch nicht erlauben, dies zu verweigern. Ich schulde Euch mehr, als Worte ausdrücken können, und ich bin sicher, Ihr könnt für dieses Geld besseren Nutzen finden als ich.
; qstr_I_know_you_re_at_war|I know, you're at war with his kingdom, so you may have a problem giving him my message, or perhaps your bravery would desert you.
qstr_{s11}_asked_you_to_d|{s11} bat Euch, eine Nachricht zu {s13} im Kerker von {s14} zu überbringen.
; qstr_Oh_{playername}_my_h|Oh, {playername}, my husband is too busy with the affairs of the state. Would you be so kind to bring me {reg25} {reg1?pieces:piece} of {s17}?
; qstr_Oh_{playername}_coul|Oh, {playername}, could you do me a little favor? I saw a trader the other day, selling some novelties out by the gate. Unfortunately, I can't spend money freely. Would you be so kind and bring me {reg25} {reg1?pieces:piece} of {s17}?
qstr_{s11}_asked_you_to_b|{s11} a
; qstr_Oh_{playername}_my_hu|Oh, {playername}, my husband, {s15}, is too busy with the affairs of the state, and I would like to have a surprise party set up in his honor. Would you be so kind as to bring me {reg25} {reg1?bottles:bottle} of {s17} and 2 pieces of cheese?
; qstr_Oh_{playername}_could|Oh, {playername}, could you do me a little favor? I have some of my lady friends here visiting, and I would like to have a small party in their honor. Unfortunately, I can't spend money freely. Would you be so kind and bring me {reg25} {reg1?bottles:bottle} of {s17} and 2 pieces of cheese?
; qstr_{s11}_asked_you_to_br|{s11} asked you to bring her {reg25} {reg1?bottles:bottle} of {s17} and 2 pieces of cheese.
qstr_{s11}_asked_you_to_re|{s11} bat Euch, ihre {s17}, {s13}, aus {s14} zu befreien, indem Ihr mit ihm die Kleider aus tauscht und seinen Platz im Kerker einnehmt.
qstr_{s11}_asked_you_to_res|{s11} bat Euch, ihre {s17}, {s13}, aus {s14} zu befreien.
; qstr_{s12}_asked_you_to_d|{s12} asked you to deliver a message to {s13}, who is imprisoned at {s14}.
qstr_You_agreed_to_challe|Ihr willigt ein, {s13} zur Verteidigung von {s11}s Ehre zum Duell heraus zu fordern.
; qstr_{s11}_asked_you_to_di|{s11} asked you to discretely eliminate her 'ghost' ex-lover, who is believed to be in {s33}.
qstr_{s5}__Persuasion_str|{s5} (Überzeugungskraft: {reg5})
qstr_Persuasion_Attempt|Überzeugungsversuch
; qstr_I_think_your_dilemma|I think your dilemma can be solved for {reg22} peningas.
qstr_Thank_you_for_the_wa|Danke für die Warnung. {reg22} Peningas werden mich alles vergessen lassen.
; qstr_Pay_{reg22}_peningas|Pay {reg22} peningas for your rudeness or else...
qstr_{reg22}_peningas_is_|{reg22} Peningas ist der Preis für mein Schweigen. Ansonsten...
; qstr_I_understand_you_wer|I understand you were forced to do it, but I'm entitled to compensation, and I think {reg22} peningas will be acceptable. I would hate to tell on you, but I have no choice either.
qstr_Prepare_to_die_you_i|Bereitet Euch darauf vor zu sterben, Ihr unverschämter Gauner!
qstr_Ah_a_duel._Well_if_y|Ach, ein Duell. Nun, wenn Ihr darauf besteht, {playername}, werde ich Euch den Gefallen tun.
qstr_Hmm_are_you_sure?_I_|Hmm, seid Ihr sicher? Ich glaube nicht, dass Ihr unsere Beziehung völlig ruinieren wollt...
qstr_Hmm_isn_t_this_all_a|Hmm, ist das nicht ein bisschen zu voreilig? Vielleicht könnten Ihr und ich das Problem in einer etwas einträglicheren Art und Weise lösen...
; qstr_I_always_knew_{playe|I always knew, {playername}, that you were of such poor moral fiber. Truly, only the lowest of the low would attempt to besmirch and blackmail someone so clearly superior to {reg59?him:her}. But, alas, however serious this accusation, it is hardly worth my time to answer.
; qstr_{playername}_is_it_w|{playername}, is it worth it to come to blows over this? I admitted that was wrong of me to do such a thing. What else do you want?
; qstr_I_can_pay_you_{reg22|I can pay you {reg22} peningas for your troubles and not a penny more!
; qstr_Given_my_poor_financ|Given my poor finances, I think {reg22} peningas for your troubles would be enough.
; qstr_I_only_have_mere_{re|I only have mere {reg22} peningas. Take them and leave me alone.
; qstr_I_have_no_money_to_p|I have no money to pay you.
; qstr_Bless_you_{playernam|Bless you, {playername}. This is an honorable decision, and I will remember it.
; qstr_This_is_not_only_an_|This is not only an honorable decision but a sign of your political maturity, {playername}.
; qstr_Well_thank_you_{play|Well, thank you, {playername}. I surely appreciate your kindness.
; qstr_Maybe_I_was_wrong_ab|Maybe I was wrong about you, {playername}. Only time will tell.
; qstr_Welcome_to_Maedelste|Welcome to Maedelstede, where foreigners are welcome -- especially if they bring silver.
; qstr_My_mead_hall_is_the_|My mead hall is the biggest in town. You are welcome here.
; qstr_Make_yourselves_comf|Make yourselves comfortable. I will give you drink and accommodation.
; qstr_has_put_together_a_b|has put together a bounty on some bandits who have raided one of his villages.
; qstr_This_is_not_that_sim|This is not that simple, but I can give it a try. I think 300 peningas should suffice. What faction are you talking about?
; qstr_Aha_my_favorite_one.|Aha, my favorite one. I think 150 peningas should suffice. Can you tell me what the lord's faction is?
; qstr_Doable_since_so_many|Doable, since so many lords are only too eager to pull their swords out. Two hundred and fifty peningas will be plenty, I think. What is the first lord's faction?
qstr_You_get_an_elite_Sax|Ihr habt ein Eliteschwert der Sachsen erhalten.
qstr_You_get_a_Long_Seax.|Ihr habt eine Langsax erhalten.
qstr_You_get_a_beautiful_|Ihr habt eine wunderschöne Langaxt erhalten.
qstr_You_get_a_great_long|Ihr habt einen großartigen Langbogen erhalten.
qstr_You_get_an_expensive|Ihr habt einen aufwändigen Kettenpanzer erhalten.
qstr_You_get_an_expensive_|Ihr habt ein aufwändiges Kettenhemd erhalten.
qstr_You_get_an_expensive_h|Ihr habt einen aufwändigen Helm erhalten.
qstr_A_villager_from_{s7}|Ein Dorfbewohner aus {s7} bat Euch inständig, ihr Dorf vor den Banditen zu retten, die sich dort eingenistet haben.
; qstr_Hey_what_do_you_want|Hey, what do you want? We're drinking.
; qstr_Are_you_looking_for_|Are you looking for men who are willing to risk their skin for glory and wealth?
; qstr_There_is_food_and_dr|There is food and drink for all. Do you want to join in?
qstr_You_chose_well_{reg5|Wohl gewählt, {mein Herr/meine Dame}. Meine Jungs wissen, wie man sein Wort hält und seinen Lohn verdient.
qstr_Well_done_{reg59?mad|Gut gemacht, {mein Herr/meine Dame}. Lasst Geld und Wein weiter fließen, und Ihr braucht in Calradia niemanden zu fürchten.
qstr_We_are_at_your_servi|Wir stehen zu Euren Diensten, {mein Herr/meine Dame}. Zeigt uns die, die eine Lektion brauchen, und wir übernehmen den Rest.
; qstr_Oh..._well..._I_do_n|Oh... well... I do not know ... I'm probably fine. (Phlegmatic)
; qstr_Even_bad_dreams_spea|Even bad dreams speak to us. I like to listen. Perhaps learn something. (Melancholic)
; qstr_Yes_I_had_a_nightmar|Yes, I had a nightmare, but now I'm awake. All that matters is what's ahead. (Choleric)
; qstr_All_is_well._Believe|All is well. Believe me, it was just a stupid nightmare! (Sanguine)
qstr_No_need_to_get_shy!_|Kein Grund schüchtern zu sein! Wie dem auch sei, es ist gut Euch wieder auf den Beinen zu sehen, mein Freund.
; qstr_I_prefer_not_to_drea|I prefer not to dream. They bring too many memories and longings. Well, it's good to see you up and about, friend.
; qstr_Yes_we_are_finally_n|Yes, we are finally near Friese. There, after all these days, we will part, for my journey continues on towards West Seaxe. For now, it's good to see you up and about, friend.
; qstr_I_agree_completely._|I agree completely. Fortunately, I usually do not remember my dreams when I wake. Well, it's good to see you up and about, friend.
; qstr___She_has_aged_sever|--She has aged several years since her illness began. She's so frail that she looks like she would break if you touched her. This is not the woman you know; just a vague memory of her, but she's still your mother.--
qstr___She_smiles_and_look|--Sie lacht und sieht euch mit Liebe an--
; qstr___She_looks_past_you|--She looks past you--
; qstr___She_opens_her_eyes|--She opens her eyes, looks at you. Her hands shake--
; qstr___She_shifts_her_gaz|--She shifts her gaze to the sea. She is crying.--
; qstr___He_smiles_and_show|--He smiles and shows you the rudder.--
; qstr___He_stares_at_you_f|--He stares at you for a second, then lets out a chuckle.--
qstr___He_nods.__|--Er nickt.--
; qstr___You_notice_his_han|--You notice his hands shaking from nervousness.--
; qstr___Now_he_looks_scare|--Now he looks scared.--
; qstr___He_scratches_his_b|--He scratches his back and then smiles.--
; qstr___He_touches_the_hil|--He touches the hilt of his sword.--
; qstr_After_traveling_for_|After traveling for several days, you came to Douar-an-Enez and met with the Asturians. But while you were trying to convince them to join Ragnar's sons, Bodo took command and ordered an attack on your fleet. You must return to your fleet and fight!
; qstr_After_traveling_for_s|After traveling for several days, you came to Douar-an-Enez and met with the Asturians. You unmasked the traitor, Silo, but it was too late! The Danish are attacking your fleet. You must hurry and save your men!
qstr_You_are_now_a_Christ|Ihr seid nun ein Christ.
; qstr_The_priest_is_happy_|The priest is happy about donations, but clearly is annoyed that you are trying to buy him off. Perhaps it's time to let it go, for a while.
qstr_You_are_now_a_pagan_|Ihr seid jetzt ein Heide, ein Anhänger von Odin und anderen nordischen Göttern.
; qstr_The_priest_is_happy_a|The priest is happy about being paid to talk, but clearly is annoyed that you are trying to buy him off. Perhaps it's time to let it go for a while.
; qstr___The_abbot_looks_yo|--The abbot looks you up and down, unconvinced.--
; qstr_Welcome_then._Listen|Welcome, then. Listen to me: we need your support.
; qstr_In_nomine_pater_the_|In nomine pater, the jarl insults us by sending a pagan. Okay, if that's how he wants to play this... Now, listen.
; qstr_Then_welcome_{player|Then welcome {playername}. I'll explain what's going on.
; qstr___The_abbot_after_ru|--The abbot, after rummaging through his books, draws out a letter to show you.--
; qstr___The_document_seems|--The document seems quite believable, with good penmanship, where a man named Frethwi gives the monastery several parcels of land. It is signed by several witnesses.--^^
; qstr___You_look_at_the_te|--You look at the text. It is all very nice, with the letters nicely aligned, but, without accompanying illustrations, you do not understand anything.--^^
; qstr_Note_1:_You_chose_to|Note 1: You chose to give the land to the monastery near {s3}.
; qstr_Note_1:_You_chose_no|Note 1: You chose not to give the land to the monastery near {s3}.
; qstr___The_abbot_opens_hi|--The abbot opens his eyes wide.--
; qstr_Note:_You_returned__|Note: You returned 'The Cathach of Colum Cille' to Gleann Da Loch.
qstr_The_abbot_of_Finian_|- Er sieht besorgt aus.
; qstr_So_you_re_{playernam|So you're {playername}. I've heard about you. Personally, I dislike the reports of your sinfulness, but I wasn't the one making the decision. Here is one thousand peningas. Now listen...
; qstr_So_you_re_{playername|So you're {playername}. I've heard about you. You're someone who loves the people and treats others with kindness. You deserve this one thousand peningas. Now listen, for my patron has a mission for you...
; qstr_So_you_re_{playername}|So you're {playername}. I cannot deny that your reputation precedes you. I have heard of you from many travelers. For better or worse, you seem destined to leave your mark on the world. Here is one thousand peningas. Now listen, for my patron has a mission for you...
; qstr_So_you_re_{playername}.|So you're {playername}. I do not know much about you, and I'm not particularly interested to learn. However, my patron gave me a list, and it included your name. Here is one thousand peningas. Now listen, for my patron has a mission for you...
; qstr_The_abbot_of_Finian_h|The abbot of Finian has asked you travel to {s3} and kill a man called 'The Snake.' Go to the mead hall and meet him.
; qstr_You_are_working_for_|You are working for the anonymous patron of the abbot of Finian.
; qstr_The_abbot_of_Finian_ha|The abbot of Finian has asked you travel to {s3} and learn the whereabouts of Flaithbertach's grandchildren from the mayor called Donngal.
; qstr_The_abbot_of_Finian_has|The abbot of Finian has asked you travel to {s3} and investigate what kind of evil is attacking fishermen. Enter the village and look for a man there called Caliacas.
; qstr_You_have_finished_th|You have finished the missions given to you by the abbot of Finian. It's time to talk with Mael Bresail, his patron, who is awaiting you in {s3}.
; qstr_You_need_to_learn_th|You need to learn the location of Mael Bresail, but the abbot of Finian refuses to give it to you. Maybe you should come back with more silver or increase your powers of persuasion or intimidation.
; qstr_The_abbot_of_Finian_t|The abbot of Finian told you that Mael Bresail hides in Cornubia, on a site built for his mother near {s3}.
; qstr_The_abbot_of_{s3}_as|The abbot of {s3} asked you to bring them {reg33} pallets of timber.
; qstr_Of_course_my_{reg59?|Of course, my {reg59?daughter:son}. We have a big batch of our wine.
; qstr_We_have_some_wine_st|We have some wine still available.
; qstr___A_huge_creature_is|--A huge creature is looking down on you, seemingly unintimidated by your presence or your equipment.--
; qstr___You_see_a_short_th|--You see a short, thin man with a strange face in front of you.--
; qstr___The_Swedish_Viking|--The Swedish Viking looks you up and down, studying you.--
; qstr___The_man_flattening|--The man, flattening the floor with his feet, suddenly turns towards you when you approach him. At first, he seems surprised, but quickly flashes a smile.--
; qstr_I_was_just_leaving._|I was just leaving. (Phlegmatic)
; qstr_I_think_we_are_both_|I think we are both too old for games like this. (Melancholic)
; qstr_Heh_I_ve_played_game|Heh, I've played games with worse odds. Proceed. (Choleric)
