str_yes|Ja.
str_npc15_home_description_2|Eirik ist der Vater von Gyda, dem schönen Mädchen, das die Idee der Einigung Northvegrs in Haralds Kopf pflanzte. Jetzt will der dumme Junge keinem Kamm mehr erlauben seinen Kopf zu berühren, bis er ihre Hand gewinnt. Sie ist eine wirkliche Helena von Troia. Vielleicht solltest du dort hingehen, um sie selbst zu sehen.
str_npc16_home_description_2|Ich wuchs in Witan Ceaster auf, spielte auf ihren schlammigen Straßen so ich nicht zum Lernen gezwungen wurde; und ich liebte es um ihre Stände zu laufen, wenn wir zum Markt gingen. Witan Ceaster war eine wichtige Stadt in römischer Zeit, hab ich gelesen, aber Sie war  schon fast aufgegeben, ehe König Cenwalh Ihre erste Kirche baute. Er war ebenso der König der das Christentum nach West Sachsen brachte, für das er gar seine erste Frau verleugnete, die Schwester des heidnischen Königs Penda von Mierce.
str_npc1_home_recap|Ich komme aus der Nähe des Hadrianswalls, wo ich in einer Höhle lebte.
str_npc2_home_recap|Ich wurde in Ribe, Dänemark geboren. Ich bin ein Krieger, der Sohn eines Königs und ein Sklave.
str_npc3_home_recap|Ich lebte als Sklave in {s20}, aber ich verbrachte meine Kindheit in Doccinga, wo ich wirklich glücklich war. Ich hoffe, mein Vater, Thonkrik, denkt nicht schlecht von mirweil ich als Sklave leben mußte... Sie hätten mich getötet, hätte ich nicht den Befehlen des Jarls gehorcht. Eltern sollten nie erfahren müssen, wie tief ihr Kind gefallen war.
str_npc4_home_recap|Ich bin ein Schotte und ein Dalriada.
str_npc5_home_recap|Ich bin in Cornubia geboren, aber bin für immer aus meiner Heimat verbannt. Nur in deinem Schildwall bin ich in der Lage hinzureisen -- ohne müßte ich mich verkleiden.
str_npc6_home_recap|Ich bin aus Cantabria, im Königreich Asturien, wie du weißt. es ist im Norden von Hispania. Wir sind ein kriegslüsternes Volk, dazu bestimmt einander zu töten wenn wir keine Muslime töten, den einen König unterstützen oder auch den anderen. Unser jetziger König ist Aldefonsus, Sohn des Ordonius. Ordonius war ein guter König aber er starb kürzlich. Ich hoffe, sein Sohn ist ein würdiger Nachfolger.
str_npc7_home_recap|Ich wurde in Dun Taruo geboren, im Königreich Alban.
str_npc8_home_recap|Ich bin in Friesland geboren und hätte nie gedacht, das ich es je verlassen würde. Mein Vater war ein Friling, ein freier Mann mit einem Stück Land. Ich erbte das Land aber verkaufte es nach dem Tod meiner Familie. Jetzt habe ich nichts außer die Stärke meiner Arme.
str_npc9_home_recap|Ich komme vom Kontinent und meine Leute nennen sich Franken.
str_npc10_home_recap|Ich bin ein Sachse, nicht ein Angel aus Lundenwic.
str_npc11_home_recap|Warum {reg59?my pretty:handsome} ? Ich bin aus Tunsberg in Northvegr.
str_npc12_home_recap|Ich bin der jüngere Sohn eines Hersirs in Odinsve. Ich reiste nach Frankia und Rom auf der Suche nach medizinischem Wissen.
str_npc13_home_recap|Ich bin Svia. Meine Leute sind dazu bestimmt, über den ganzen Osten zu herrschen. Die Dänen werden schnell zerstört werden, falls ihre Könige weiter unser Land begehren.
str_npc14_home_recap|Oh, von der wundervollen Region Mhumhain, im südlichen Teil Hibernias, dem Land der Barden und Götter.
str_npc15_home_recap|Ich komme von Konstantinoupolis, der schönsten und größten Stadt der Welt. Die größten Städte hier sind verglichen mit Konstantinoupolis nur kleine Orte. Verdammt,  eine von Ihnen würde komplett in die Hagia Sophia hinein passen, die dortige Hauptkirche. Du solltest eines Tages dort hin reisen.
str_npc16_home_recap|Ich lebte viele Jahre in Witan Ceaster. Diese Stadt weckt schöne Erinnerungen in mir, aber ich gehöre nicht dahin.
str_npc1_honorific|Kriegsherr
str_npc2_honorific|{reg59?Meine Dame:Herr}
str_npc3_honorific|{reg59?Meine Dame:Herr}
str_npc4_honorific|{reg59?Meine Dame:Herr}
str_npc5_honorific|{reg59?Meine Dame:Herr}
str_npc6_honorific|Dux
str_npc7_honorific|Anführer
str_npc8_honorific|{playername}
str_npc9_honorific|{reg59?Meine noble Fürstin:Mein nobler Fürst}
str_npc10_honorific|Dryhten
str_npc11_honorific|{reg59?Meine Hübsche:Hübscher} -- Ich meine Kriegsherr
str_npc12_honorific|Kriegsherr
str_npc13_honorific|Kriegsherr
str_npc14_honorific|Hauptmann
str_npc15_honorific|Heerführer
str_npc16_honorific|{reg59?Meine Dame:Herr}
str_npc1_kingsupport_1|Das ist ja eine tolle Idee, Kriegsherr. All diese Männer und begüterten Adligen die jetzt herrschen, mit ihren Gefängnissen, Galgen und Schafotten; peitschen, brandmarken und hängen jeden Mann, der getrieben vom weinen seiner Kinder einen Brotlaib stiehlt oder auch ein Pferd. Dieses Land verdient besseres.
str_npc2_kingsupport_1|Nun, Kriegsherr, ich werde Euch unterstützen. Ich denke, Ihr gebt dieser Welt die Art besonnene Herrschaft, die sie lange brauchte.
str_npc3_kingsupport_1|Nun, mein {reg59?lady:lord}, ich würde mich um dich sorgen. Unsere Geschichte lehrt uns, daß Macht dazu neigt, zu verderben; aber schlußendlich bin ich zufrieden mit der Milde und dem Urteil, die du als Herr dieses Schildwalls bewiesen hast.
str_npc4_kingsupport_1|Ich denke, das wird die Art {reg59?queen:king} dem hochgeborene Krieger wie ich stolz in die Schlacht folgen.
str_npc5_kingsupport_1|Eine gute Idee!  Ihr habt gezeigt, daß du weißt, wie man Männer regiert. Bedenke sie gerecht zu regieren, obwohl...
str_npc6_kingsupport_1|Ich kann nicht über deinen legalen Anspruch urteilen. Allerdings denke ich du hast, anders als die anderen Könige hier, die Fähigkeit, dieses Land zu einen. Das würde den endlosen Kriegen Königreich gegen Königreich, Adlige gegen Adlige, und Bruder gegen Bruder ein Ende setzen, die uns Ungnade in den Augen der Götter brachten.
str_npc7_kingsupport_1|Aye, du wirst es gut machen. Du weißt wie man mit Spürhunden, Pikten und Frauen umgeht.
str_npc8_kingsupport_1|Die Saga von Beowulf lehrt uns, daß ein Mann der größere Taten vollbringt als die anderen Männer seiner Zeit einen Thron für sich beanspruchen darf. Ich würde sagen, du kannst diesen Anspruch erheben.
; str_npc9_kingsupport_1|Very good, Dryhten. I'm a Frank by blood, but Dagobert didn't support me when I was cheated of my inheritance. So I don't owe him anything, and I would be more than happy to have you as my {reg59?queen:king}.
; str_npc10_kingsupport_1|Well, warlord, I suppose Englaland really needs a powerful king. The Welsh and Angles are but weaklings and idiots, while the Saxons, incomprehensibly, can't seem to unite to conquer the whole land.
str_npc11_kingsupport_1|Nun, das ist eine gute Idee, {Junge/Mädel}! Ich nehme an, ich muss dann wohl lernen, Euch 'Majestät', oder 'Eure Hoheit' zu nennen ...
str_npc12_kingsupport_1|Ich bin sicher, Ihr werdet einen guten König abgeben, Hauptmann. Ich behaupte gerne von mir, über den menschlichen Charakter wohl urteilen zu können, und Ihr habt ein Talent für Barmherzigkeit an den Tag gelegt, das all diese anderen so genannten Monarchen weit in den Schatten stellt.
str_npc13_kingsupport_1|Das wäre eine feine Sache, {reg59?meine Dame:Herr}! Mannigfaltig sind die Geschichten von Helden, die ihre Eignung zum Tragen einer Krone durch Tapferkeit bewiesen. Vielleicht kennt Ihr das Lied von Antaran, Sohn des Ashdab, der aus ungünstigsten Verhältnissen zum König von Dabarah emporklomm. Eine prächtige Erzählung!
; str_npc14_kingsupport_1|That would be a fine thing, {reg59?my lady:sir}! Many are the tales of kings that proved their worthiness to wear a crown through valor and courage. Perhaps you know the tale of Cu Chulainn, whose bravery and feats of arms are unparalleled in Hibernia and Britannia. A splendid tale!
str_npc15_kingsupport_1|Nun, im Allgemeinen zahlt Ihr Eure Männer pünktlich, wenn Ihr könnt. In meinen Augen ist das die beste Qualifikation für die Krone. Ihr zeigt Respekt für die Rechte anderer.
; str_npc16_kingsupport_1|It seems to me that you hear my words and that your soul stirs before Christ's teachings. Yes, I am sure that God not only approves but is planning your ascension as a rightful king over the sinful people of these lands.
str_npc1_kingsupport_2|Klar doch, Boss. Doch ich will Euch sagen, was noch mehr Leute an Eure Seite bringen würde – besonders arme Leute wie unsereins. Man sagt, dass in alter Zeit jeder neue Kaiser bei seiner Thronbesteigung eine große Amnestie für alle außer den schlimmsten Kerkerinsassen in seinen Verliesen ausrief und so diesen Menschen eine zweite Gelegenheit gab, etwas aus sich zu machen – so wie Ihr mir eine zweite Chance gabt, Boss.
str_npc2_kingsupport_2|Die meisten Adeligen in diesem Land haben keinen Pfennig in ihren Händen, den sie nicht aus Lösegeld oder Raub erworben haben. Du dagegen hast erfahrung in Handel und Wirtschaft, durch das führen deiner Ländereien. Wenn ihr möchtet Herr, wird sich unterstützung für sie in diesem Land finden.
; str_npc3_kingsupport_2|I would, my {reg59?lady:lord}, but I would ask you to establish at least a minimal amount of rights for slaves. They need to be protected from further abuse. You know I was a slave, and we are the most abused people in the land. Slaves really need to be protected by a rightful and fair ruler.
str_npc4_kingsupport_2|Selbstverständlich, {Hauptmann/meine Dame}. Die Schwierigkeit besteht darin, andere dazu zu bringen, Euch zu folgen. Wie Ihr wisst, ist der Stammbaum ein wichtiger Faktor für den Wert eines Menschen. Vielleicht habt Ihr einen lang verschollenen Vorfahren, den Ihr mir gegenüber noch nicht erwähnt habt?
; str_npc5_kingsupport_2|I would, but there is something I should say on behalf of men that have been wronged like I have. There must be a way for feuding nobles to have their disputes resolved without bloodshed. I lost everything I cherished in life because the only honorable option my king had left me was to murder my enemies. There should be some kind of law, some kind of... common law, to settle this kind of feud, or, maybe, any kind of dispute. That law would be based on the uses and customs of the land.
; str_npc6_kingsupport_2|I would. I would tell anyone who listens of your deeds on behalf of the weak and helpless and of your ability to lead men against great odds and triumph. I would tell them that, if you were to become {reg59?queen:king}, there would be one law and one peace -- from the Pictish highlands to the Goidelic woods, from the lowlands to the southern shore. But you must have the goal to go further and reunite what was once a glorious empire, to rival that of Rome.
; str_npc7_kingsupport_2|Yes, warlord, I would. A {reg59?queen:king}'s duty is to adequately respect all men and women that serve under {reg59?her:his} banner. You have proven more than able to do this, for, to you, the hunter and the tracker, the woman and the Pict, are as important as the warrior and the soldier, as the man and the Briton.
; str_npc8_kingsupport_2|I would -- on one condition. You'd be king wherever you want to rule, but after you are installed in your hall and your rule is unchallenged throughout the land, you will help me to free Friese.
; str_npc9_kingsupport_2|I would, warlord, and others would, too. But here's what I think -- you need to show the noble lords that you'll uphold their ancient rights. Right now, these lands are a mess. A lord owns the land, except it's the king who owns the forest, but the city has the right to levy tax at its gates, yet any commoner can use the pastures on odd Tuesdays, except in Pictland, where there is not so much as a notion of order at all. So I say you make things simple, like it was in the old days before even the Romans conquered Britannia. First the {reg59?sovereign:king}, then the lords, then everyone else.
; str_npc10_kingsupport_2|Certainly, dryhten, but I'd ask that you consider an idea of mine. If you became {reg59?queen:king}, then I'd ask you to open your court to Saxon nobility only. The others are weak, fragile and cowardly, and their only place in your kingdom should be as peasants, servants or slaves.
; str_npc11_kingsupport_2|Of course I would! I am sure, by the way you act, command and fight, also by the way you walk, and speak and love... that you are the only person worthy enough to become Brytenwalda.
; str_npc12_kingsupport_2|Of course, warlord, but if I have learned anything in my travels in this land, it is that Vikings, Saxons, Franks, and all else are sticklers for tradition. These traditions vary from one to the other, but they all remember something of the old Roman Empire, especially the Franks, who are said to be its heirs.
; str_npc13_kingsupport_2|I would indeed, {reg59?madame:sir}. I think you can unite this land, and then we'll be able to raise an army such as Englaland has never seen -- Saxons, Angles, Picts, Norse, Goidels and even Britons, all together in one strong and invincible shield wall. We will travel to the continent in strong sea vessels to subdue all the lands of the Franks!
; str_npc14_kingsupport_2|Of course, my {reg59?lady:lord}. Also, when claiming a throne, it does not hurt to be the subject of an epic poem, recited around camp and hearth fires, describing one's heroic deeds. As you no doubt know, I fancy myself a fair crafter of couplets. You could be as famous as Cu Chulainn, if only you let me sing of your deeds.
str_npc15_kingsupport_2|Das würde ich. Die Leute mögen vielleicht sagen, dass kein königliches Blut durch Eure Adern strömt. Doch meiner Erfahrung nach macht königliches Blut knickerig. Könige und Adlige nehmen Anleihen auf oder geben Bauprojekte in Auftrag, ohne einen Gedanken daran zu verschwenden, wie sie jemals all das gemeine Volk entschädigen sollen, das nach getanem Tagwerk eine anständige Mahlzeit erwartet. Wenn Ihr mich fragt, macht Ehrlichkeit einen Monarchen aus, nicht ein edler Stammbaum.
; str_npc16_kingsupport_2|Of course! I know that you plan to search out and burn any remnant of heresy and paganism in these lands. I know that you will only rest when there is no trace of the Devil in the hearts of your subjects, when every man, woman and child will have only the Holy Bible as their guide, as properly interpreted by a priest. Is your soul so pure as to do as I say?
str_npc1_kingsupport_2a|Bitte, fahrt fort...
str_npc2_kingsupport_2a|Bitte, fahrt fort...
str_npc3_kingsupport_2a|Ich würde es gerne hören...
str_npc4_kingsupport_2a|Natürlich! Lasst mich über ihn erzählen...
str_npc5_kingsupport_2a|Bitte, fahrt fort...
str_npc6_kingsupport_2a|Hervorragend! Das war genau das, woran ich gedacht habe.
str_npc7_kingsupport_2a|Nun ja, ich versuche zu jedem fair zu sein.
str_npc8_kingsupport_2a|In Ordnung.
str_npc9_kingsupport_2a|Das scheint empfindlich genug zu sein...
str_npc10_kingsupport_2a|Natürlich! Jeder weiß, daß nur Sachsen Edelleute sein können.
str_npc11_kingsupport_2a|Erzählt mir mehr.
str_npc12_kingsupport_2a|Interessant. Bitte, fahrt fort...
str_npc13_kingsupport_2a|Bitte, fahrt fort...
str_npc14_kingsupport_2a|Sehr gut, Hauptmann.
str_npc15_kingsupport_2a|Gut gesprochen, Stratege!
str_npc16_kingsupport_2a|Natürlich bin Ich das. Wir sind nichts anderes als Werkzeuge Gottes.
str_npc1_kingsupport_2b|Vergiss es.
str_npc2_kingsupport_2b|Ich frage Sie nicht um Unterstützung, weil Sie ohne Zweifel Profit aus dieser Sache ziehen würden.
str_npc3_kingsupport_2b|Ich habe nicht die Absicht, weiteren Sklaven zu helfen, tut mir leid.
str_npc4_kingsupport_2b|Ich habe keine, unglücklicherweise.
str_npc5_kingsupport_2b|Nein, Ich glaube Lords sollten ihre Streitigkeiten mit Blut austragen, und nur mit Blut. Gesetze nützen nur den Schwachen.
str_npc6_kingsupport_2b|Tut mir leid, aber mein zukünftiges Königreich wir sich nicht in Angelegenheiten des Kontinents einmischen.
str_npc7_kingsupport_2b|Verzeihung. Ich respektiere dich wegen deiner Fähigkeiten, aber Krieger, Männer und Bretonen sind verdienstvoller als andere.
str_npc8_kingsupport_2b|Das ist aber eine sehr große Bedingung. Wenn Ich erst {reg59?queen:king} bin, wird Friesland sich möglicherweise selbst von den Dänen befreit haben.
str_npc9_kingsupport_2b|Ich bin nicht überzeugt, dass die Ausführung Eurer Idee so einfach sein wird
str_npc10_kingsupport_2b|Hmmh. Lasst es mich überdenken.
str_npc11_kingsupport_2b|Ich will kein Brytenwalda sein. Vergesst es.
str_npc12_kingsupport_2b|Genug, Herr. Ich werde Euch nicht unsere Traditionen verspotten lassen
str_npc13_kingsupport_2b|Hmmh. Ich bin davon nicht so überzeugt.
str_npc14_kingsupport_2b|Eigentlich hatte ich mich auf ein bisschen Freizeit nach der Thronbesteigung gefreut ...
str_npc15_kingsupport_2b|{Königin:König} der Schreiberlinge vielleicht ... Genug von diesem Gerede!
str_npc16_kingsupport_2b|Nichts für ungut, aber ich glaube nicht, dass ich so vorgehen würde
; str_npc1_kingsupport_3|If I could go about this land for a few weeks, I'd tell the common folk that you would give amnesty to their kinfolk like the Roman -- um, consuls, I think -- of old. Well, soon they would start talking of you as a rightful king, and that would pave your way to the throne. Shall I do that, warlord?
str_npc2_kingsupport_3|Wenn ihr wollt Herr kann ich einige Wochen herumreisen und meine Kontakte besuchen. Ich werde ihnen sagen das sie in euch einen {reg59?ruler:king} finden werden, der sich um die habgierigen Adeligen kümmern wird, die mit ihren Zöllen und Steuern den Handel zum erliegen gebracht haben um sich selbst zu bereichern.
; str_npc3_kingsupport_3|If you were to protect the poor slaves, even slave girls, I am sure most of the common people would see you as a kind and just {reg59?queen:king}. So, if you can give me a few weeks, I will travel the countryside, telling every poor man and woman that fears enslavement due to debt or war that, under your rule, they would still have protection and rights.
; str_npc4_kingsupport_3|I shall travel about the villages and forts over the next several weeks and spread word of your rights. Of course, I hope that you will remember your faithful subject when it comes to distributing lands after you are a crowned and powerful monarch.
; str_npc5_kingsupport_3|Anyway, {reg59?lady:lord}, if I could take a few weeks, I'd let men know that, when you are {reg59?queen:king}, you will institute a common law, based on tradition and customs, to resolve the disputes within the realm, be they about nobles or commoners. I am pretty sure they will all be more than happy to support your claim, since you will bring justice consistently to all the lands under your rule.
str_npc6_kingsupport_3|Sehr wohl. Obwohl ich nun meiner Familie ein Fremder bin, so habe ich doch in Eurem Tross die Hallen so manch eines Adligen betreten, und ich denke, ich werde wieder willkommen sein. Ich werde über dieses Land ziehen und den Adligen mitteilen, dass Ihr als {König/Königin} Euer Bestes tun werdet, um die Schwachen zu beschützen und Zwist beizulegen, so dass niemand seine Hand straflos gegen den anderen erheben kann und eines Tages vielleicht die Sünde Brudermord eine Sache der Vergangenheit sein wird.
; str_npc7_kingsupport_3|I'll tell you what, warlord. Give me a few weeks and I'll go to some of the villages -- stinking hovels that they are, but, anyway, I'll tell the people there that once you unify this land, every man and woman, of every profession and business, will be equally treated and respected when in your service. This way, all will reckon you as a {reg59?woman:man} whose claim to the throne is supported by fairness and justice.
; str_npc8_kingsupport_3|Good! Then give me a few weeks. I'll go about the courts of this land, letting it be known that you're like the legendary warriors of old, and that your strength, courage, prowess and ability alone are more than enough to back up your claim to the throne. Everyone shall speak of you as the new Beowulf, the successor of Arthur himself, the only one capable of bringing peace to this troubled land.
str_npc9_kingsupport_3|Das ist nur vernünftig, {reg59?meine Dame:Herr} -- und wir werden diese verfluchten Erlasse und Bürgerpetitionen und Schriftrollen endlich los sein, die meine und Eure gesamte Zeit in Anspruch nehmen, während wir beide eigentlich für den Ruhm Eures Königreich kämpfen sollten. Stellt mich frei, und ich werde unter den edlen Fürsten dieses Landes die Kunde verbreiten, dass Ihr Euch die Wiederherstellung der alten Sitten auf die Fahnen geschrieben habt, und ich wette, dass es genügend gibt, die Euch in den Kampf folgen werden.
; str_npc10_kingsupport_3|Well then, Dryhten, give me leave for a few weeks, and I can go about this land to let every Saxon noble know that Englaland will belong to them, and to them only, when you are their king. I am certain many of them will be more than happy to join your cause, to support a man with such good judgment of people and nobility.
; str_npc11_kingsupport_3|Then, even though it will hurt me more than anything else, let me be apart from you for a little while. I will travel the land singing of your great conquests, both in war and in love. I will tell how you are like Thor himself, and no one else than you deserves to be Brytenwalda. There's many where I come from who are waiting for a worthy ruler, and I can give the rest a little taste of my spear. Give me a few weeks -- even though it will hurt you too, I know -- and I'll have quite a few expecting you to be their next {reg59?queen:king}.
; str_npc12_kingsupport_3|The crown should go to the one most fit to govern -- which would be you, naturally. Give me a couple of weeks, and I'll write a tract that will prove it. Then I'll find a copyist to post a version in every mead hall in the land. What do you say to that idea, warlord?
; str_npc13_kingsupport_3|Give me leave for a few weeks, {reg59?madame:sir}, and I will let all the worthy men of this land know that you are the one to unite not just Englaland but all the world. For, according to my thinking, no one should be {reg59?king or queen:king} here unless they have the capacity to rule the entire world, and you alone have demonstrated such a capacity, {reg59?madame:sir}.
; str_npc14_kingsupport_3|Allow me to leave you for a few weeks, oh gallant one, and I will spin such a tale as would stir even the dullest heart. It will inspire admiration for your virtues, compassion for your hardships, and indignation at those who would stand in your way. I will show that you are a new Cu Chulainn, ready to make the whole world bend to your will. I assume, of course, that I would be able to take a certain amount of poetic license with the details, like when you single handedly defeated that lost Fomorian army the other day?
str_npc15_kingsupport_3|Ich bin froh, dass Ihr so denkt. Ich schlage das Folgende vor: Ich kenne Männer in den Gilden hier, Männer wie mich, die betrogen und gefleddert wurden, bis sie es nicht mehr ertrugen. Und ich werde ihnen sagen, dass Ihr ehrlich seid. Ihr respektiert die Bürger. Ihr zahlt Eure Schulden. Ihr werdet Eure Untertanen nicht anbetteln.
; str_npc16_kingsupport_3|Give me leave for a few weeks, and I'll do a little tour of every church, abbey and monastery in these lands. The whole Church will know that you plan to exterminate, once and for all, the darkness that still lingers around, outside the light of Christianity. Every man that truly fears God, every good Christian, will then support you as God's legitimately appointed ruler. What do you say to that?
; str_npc1_kingsupport_objection|Warlord, have you given leave to someone else to go tell the nobles that they will have rights over pasture, market, and forest? I can't say I like that. Give him his way, and he'll set up gibbets in every village in the land. On every one of them will dangle some poor sod like me who thought he might pick up a bow, head to the woods and put a bit of meat on his table.
; str_npc2_kingsupport_objection|Hmm, warlord. I believe you told someone else that, after you are king, you will help him with something he has in mind. I don't think that his is a good idea at all. He isn't a good man. I do not trust men who drink alone and in silence. They obviously seek to hide what the honesty of mead would reveal.
; str_npc3_kingsupport_objection|Warlord, that dump has set off on some sort of expedition that he says you approved. He says that he will go about the villages of this land and tell the poor villagers that once you are {reg59?queen:king}, you will treat every man and woman, of any profession, as equals. I was happy for the sake of slaves, but when he heard me, he said that slaves are not equal to anyone but deserve nothing more than whippings and beatings. I really hope you did not say that to him, did you?
; str_npc4_kingsupport_objection|I have the feeling that you are playing with me! Why else would you send someone else on the same king support issue, no less than that lunatic?
; str_npc5_kingsupport_objection|Warlord, I overhead what you told, but I think, if you give too many rights and protections to slaves, no one will want to own them any more. Of course, it is possible to live without one, but most rich people really enjoy having one or two slaves to help with the housework and prestige. Nobles also have many, many uses for slaves -- especially the girls. So, you had better not expect rich people and nobles to support you in this matter. It is an inconvenient position for someone that would be {reg59?queen:king}, in my opinion.
; str_npc6_kingsupport_objection|I understand that you have dispatched Egil to fabricate a claim of royal descent. I have to tell you, I do not think that the Heavens will smile on such an attempt to take the throne by fraud, even if it is with good intentions.
; str_npc7_kingsupport_objection|I have heard what you told someone else about this issue. I was especially unhappy to hear the part where he said that Picts are only good as peasants or slaves. This is ridiculous. Pictish warriors will tear your kingdom apart in days if you refuse to share land with them. I really hope you have not agreed with this.
; str_npc8_kingsupport_objection|Warlord, you said that, once you are Brytenwalda, your first war will be against your enemies. This is not right. You should first help me liberate Friese from the Danish. Then both peoples could march against your enemy and share the spoils of the war. Our priority should be Friese.
; str_npc9_kingsupport_objection|{reg59?Madame:Sir}, it is with great regret that I have learned that you have told another that you plan to institute some kind of common law to govern disputes in your kingdom-to-be. This makes no sense at all, since any enlightened ruler will recognize the perfection of Roman imperial law. Even weak Dagobert I, king of the Franks, tries to impose the Roman law whenever and wherever possible. You should follow his example.
; str_npc10_kingsupport_objection|I hear that you've told Agathinos that, once you are {reg59?queen:king}, you will assemble an army composed of warriors from every nation and attempt to recreate the old Roman Empire. This is complete nonsense! Just as only ethnic Romans filled the legions, only a true and pure Saxon army has any chance of recovering their glory. No army with Britonnic rabble in its ranks will ever be able to get off the island, much less conquer the continent. Don't expect me to help your wars if you sabotage yourself by putting Saxons and Britons side by side.
; str_npc11_kingsupport_objection|I hear that another party member is off to sing and spin tales of your glory and fame. I think you're confusing that person with me, because I am plainly the one who sings best among all who are with you. My voice, along with my fame as a skjaldmo, would open halls that most others could only dream of entering.
; str_npc12_kingsupport_objection|Warlord, I hear that you've gone and made that monk, of all people, some sort of ambassador. This two-bit preacher is nothing more than a crazy man, a fanatic. He has already informed me that, once your kingdom is established, any kind of medical research will be forbidden. He claims that his scriptures contain all that one needs to know. If you follow his advice, the world will surely fall into a dark age of ignorance and fear. Enough! I have said my piece.
; str_npc13_kingsupport_objection|I understand that you've sent someone to proclaim that you intend to free all the miscreants of this land upon your accession to the throne. What a foul idea... Men must be governed with whips and chains -- and the noose, if necessary. You'll find that out the hard way if you become {reg59?queen:king}, I'll warrant.
; str_npc14_kingsupport_objection|I hear that you have given that pretty Norse sing-song girl leave to compose ditties that will offend everything the people of this land hold dear. They accuse the old emperors of murder and usurpation. Captain, I know, as a bard, that people must have heroes to emulate, and a golden age to restore. Will you create a kingdom in which cynics and scholars tell us what we must believe? If you teach them not to respect the great rulers of the past, what makes you think they will respect you?
; str_npc15_kingsupport_objection|I understand that you've given leave to another to spread some nonsense about you being the new 'Penteyrnedd yr Ynys hon.' I just want to say that, as an educated man, I find it disturbing that you would resort to legends and superstitions to back your claim. Village men and women will believe one thing one day, another thing the next. Now a horoscope, properly cast by an astrologer with a reputation to uphold, might tell you something worth knowing, but those are hard to find in our age of fear and ignorance.
; str_npc16_kingsupport_objection|I hear that Asbjorn's gone off to sing a pretty song to his people of how you'll hand them Englaland on a silver platter for them to feast upon, smack their lips, and suck the marrow from the bones. I hope that's just a tale you're telling. Asbjorn is a pagan and something of a witch. It seems suspicious how he cures the sick. To associate with him can only make everyone think you're a witch, too.
str_npc1_intel_mission|Nun, Boss, es trifft sich zufällig, dass ich ein paar Vettern in {s17} habe, und im Gegensatz zu manchen anderen in meiner Familie können sie meinen Anblick noch ertragen. Sie handeln mit Pferden --- ich habe sie in der Vergangenheit sogar manchmal damit beliefert -- und daher schnappen sie so manches Gerücht auf, das in den Burgen und großen Hallen der {s18} umgeht. Ich könnte sie für ein paar Tage besuchen und Euch dann berichten, was ich herausgefunden habe.
str_npc2_intel_mission|{reg59? Meine Dame: Herr}, wenn Sie über Aktivitäten in {s18} informiert sein möchtet, kann ich meine alten Freunde in {s17} kontaktieren. Sie sind in der Regel gut informiert über politische Ereignisse.
str_npc3_intel_mission|Hauptmann, obwohl ich nicht zum Hause meines Vaters in {s17} zurückkehren kann, so kann ich doch immer noch Kontakt mit meiner Schwester aufnehmen. Sie kennt sich mit den Räten der großen Handelshäuser aus und kann uns viel über den Zustand der {s18} mitteilen.
str_npc4_intel_mission|Hauptmann, wenn Ihr mich ein paar Tage entbehren könntet, so würde ich gerne einen alten Waffenbruder in {s17} besuchen, der von Zeit zu Zeit einen kleinen Trupp im Sold der {s18} geführt hat. Er ist ein guter Mann, einer von der Sorte, die wenig redet und viel zuhört. Bei einem Bier oder auch zwei würde er uns bestimmt wissen lassen, woher der politische Wind in diesen Regionen weht.
str_npc5_intel_mission|Wenn Ihr wollt, {playername} Bahadur, könnte ich mir ein paar Tage freinehmen und die Leute der Schwester meiner Mutter besuchen. Sie arbeiten in einer Karawanserei in {s17} und bekommen dort die Neuigkeiten aus ganz {s18} zu Gehör. Sie könnten einige Gerüchte über die Fehden und Rivalitäten der großen Fürsten auf Lager haben, die für Euch interessant sind.
str_npc6_intel_mission|Hauptmann – ich bin zwar in {s17} nicht unbedingt willkommen, aber ich könnte ehemalige Pächter eines meiner Grundbesitze in der Nähe kontaktieren. Ich habe ihnen das Grundstück nach meiner überstürzten Abreise überlassen, weshalb sie nun gesellschaftlich gut dastehen, und weniger dazu tendieren, mir mein Verbrechen nachzutragen. Wenn Ihr mir ein paar Tage Zeit gebt, könnte ich wahrscheinlich einige interessante Informationen über die {s18} sammeln.
str_npc7_intel_mission|Hauptmann – als ich meine ehemalige Heimat in {s17} verließ, versprach ich mir, nie wieder zurückzukehren, außer um an jenen Rache zu üben, die mir Unrecht taten. Vielleicht war das überstürzt, denn manchmal frage ich mich, wie es meiner Familie wohl ergehen mag. Ich könnte ihnen doch einige Geschenke bringen, damit sie sehen, was ich aus mir gemacht habe! Unter allen Umständen sind sie ein liederliches Pack, aber so wie jeder unterwürfige Hund seine Ohren nach dem Wind dreht, so tun auch sie es. Vielleicht haben sie nützliche Informationen über die {s18}, sofern Ihr mir denn ein paar Tage geben wollt, um sie zu besuchen.
str_npc8_intel_mission|Solltet Ihr Interesse an den Vorgängen in {s18} haben – ein früherer Schildgenosse von mir hat sich auf einer Farm nahe {s17} zur Ruhe gesetzt. Er hält noch Kontakt mit einer Reihe anderer alter Krieger. Ich könnte ihn für ein paar Tage besuchen und mehr darüber herausfinden, was dort vor sich geht.
