str_yes|Да.
; str_npc2_personalityclash_speech|{reg59?Madame:Sir}, as you recall, I was living in Ribe. I respect men who like mead and girls, but not men so strict and unbearable. I am talking about {s11}.
; str_npc3_personalityclash_speech|Warlord, in my opinion, {s11} is a terrible man. He has tried to seduce me into his bed many times, and I have already seen him following me during the night, when I am alone. I tell you, I am pretty scared of him.
; str_npc4_personalityclash_speech|{s11} openly shows me disrespect. If things continue along this path, I'll kill him. Be warned, in case you want to take some action beforehand.
; str_npc5_personalityclash_speech|A moment of your time, warlord. {s11} seems to think I'm a common bandit, just because I have rewarded myself in the past to the legitimate spoils of war from caravans passing through my family's lands.
; str_npc6_personalityclash_speech|Your pardon, {playername}, but I cannot keep my tongue still any longer. That harlot, {s11} -- every time she sees me, she points the five fingers of her hand at me -- a peasant's sign to ward off evil.
; str_npc7_personalityclash_speech|Warlord, I have done my best to put up with your followers' rude talk and filthy habits, but that one who calls himself {s11} is beyond tolerance.
; str_npc8_personalityclash_speech|Just so you know, I cannot abide that insolent {s11}, who likes to call himself a 'philosopher.' That southern rat loves to speak in that awful gibberish he calls 'Latin' and laugh at me behind my back because I do not understand what he is saying.
; str_npc9_personalityclash_speech|{reg59?Madame:Sir}, {s11} is a base braggart, a man with as much respect for the bravery of other men as a Svia. I am tired of hearing how he and his fellow warriors could defeat anyone in the battlefield, just because he is a master of military discipline.
; str_npc10_personalityclash_speech|Excuse me, warlord. I hate to trouble you with such things, but I just wanted to let you know that I can't abide that fellow {s11}. He likes to say he is some sort of squire to kings or something.
; str_npc11_personalityclash_speech|Begging your pardon, but I can't keep silent. Not to you, {reg59?my pretty:handsome}. That man, {s11} -- he is stupid, arrogant and fat. He loves battle with bloodthirsty passion, without understanding the honor or poetry of war, despite trying to imitate the bards. He has also made unwelcome advances...
; str_npc12_personalityclash_speech|My {reg59?lady:lord}, that ignoramus, {s11}, has been spreading lies that I am nothing more than a cowardly rascal, unfit for the battlefield.
; str_npc13_personalityclash_speech|Excuse me, warlord. I am very close to killing with my bare hands that insect that calls himself {s11}. That joke of a warrior does not understand how bravery without discipline can only result in defeat and shame.
; str_npc14_personalityclash_speech|Captain, you must be aware that the ugly girl known as {s11} is a disruptive influence to our men. She complains that I have been trying to seduce her. Nothing is farther from the truth, for I cannot stand even her smell.
; str_npc15_personalityclash_speech|Excuse me. I hope you don't mind me telling you, but, in my opinion, {s11} is a danger to the party. He only cares about religion and Hell and is disrespectful of authority and the basic principles of the military art.
; str_npc16_personalityclash_speech|Just so you know, there's something demonic about {s11}. He scrawls strange things in the dirt and mutters to himself the entire time before battle.
; str_npc1_personalityclash_speech_b|She's not somebody special, and she has no right to tell me to keep my distance from her, as she did just now.
; str_npc2_personalityclash_speech_b|I don't much care to hear {s11} gloat about the righteousness of the chaste and pure life. I am a warrior who aspires to Walhalla, not one of {s11}'s saints.
; str_npc3_personalityclash_speech_b|I know that an army is usually a man's place, but I believe I deserve some respect as well. I am no one's whore. I hope you do not mind me saying so.
; str_npc4_personalityclash_speech_b|This Saxon, {s11}, is looking for death. That is all.
; str_npc5_personalityclash_speech_b|I told him that if the warrior's way bothers him so much, he should become a priest or a beggar so as not to have to worry about such things. I hope you do not mind that I say such things.
; str_npc6_personalityclash_speech_b|I know I'm not the best of men, but I am seeking repentance, and I deserve better than to be the object of some witch's superstition. I think she has some devil's blood in her possession. I just thought you should know.
; str_npc7_personalityclash_speech_b|I do not care for how he stares at me around the camp fire after a meal, picking his teeth and slurping his slimy beer. What I cannot accept is how he keeps saying that he is a much better tracker than I am, which is obviously false. He is base, ignorant, and a completely idiotic youth. He could never compare to me in tracking, nor in anything else. I do not care to travel with such people.
; str_npc8_personalityclash_speech_b|It is true I do not know how to read and write, nor how to speak Latin, but I know much more of life and battle than {s11}. A great warrior like me should not be mocked by some weak-minded schoolboy. It was only out of respect for you that I refrained from cutting his throat when I overheard his jokes about me. I thought it only fitting that I should warn you.
; str_npc9_personalityclash_speech_b|So I asked him, if he and his men were so much more disciplined than even the Franks, how did he fail to conquer his Danish enemies and instead ran to hide among the Saxons, a people that he despises? He gave me no reply; his face just turned red. Then he cursed me and all of my ancestors and almost challenged me to a duel. He says he is so disciplined, but I think maybe you should discipline him a little more.
; str_npc10_personalityclash_speech_b|Everyone knows there is no noble blood among the Welsh; the two things are antithetical. Any Welshman who pretends to be of noble blood is simple, foolish, and intolerable. Anyway, I might have said something that was a bit sharp to him a moment ago - something like 'if he is truly a noble, then his father must really be a Saxon.' He seemed to take offense. Anyway, I just thought you should know.
; str_npc11_personalityclash_speech_b|He'll bring us nothing but misfortune and sorrow, that's for certain. I don't like being around him, and I don't think he should be with us. I have also instructed him that a skjaldmo must be a virgin, but he stupidly keeps speaking of love. I cannot abide him any longer, that's all. Sorry to have to trouble you with this, {reg59?my pretty:handsome}.
; str_npc12_personalityclash_speech_b|It is not my fault that this stupid barbarian is incapable of understanding the beautiful world of medicine, nor that he prefers to die with an infected wound than to be helped by my knowledge of nature and human body. Warlord, I am deeply tired of tolerating such an ungrateful and ignorant lot.
; str_npc13_personalityclash_speech_b|That schit {s11} saw fit to mock the war-like nature of my people, and even suggested that I am in Englaland only because I was defeated in the battlefield fighting against the Danish, which, of course, has never happened. I will not have my methods nor my beliefs questioned in front of the men, and I will not serve any warlord who tolerates such insubordination and stupidity in his shield wall. Thank you for allowing me to speak my piece.
; str_npc14_personalityclash_speech_b|She is the one that has already tried many times to sneak into my tent during the night! She uses every opportunity to be alone with me, trying to provoke me into something I do not dare to say out loud. Please, explain to that impudent girl that I only care for beautiful women and would have no business with the likes of her.
; str_npc15_personalityclash_speech_b|I heard him preaching to the warriors that our preparations before a battle or a siege are completely useless, because victory can only be achieved if it befits God's will. Even though I also believe in Christ, I know for sure that a pure Christian soul alone never guaranteed victory to any army. I think you should tell him to stop this kind of preaching right now.
; str_npc16_personalityclash_speech_b|Fearing witchcraft, I asked {s11} about it, and he told me that I should mind my own business. So I had a look in his baggage and found a heretical Odin amulet. I am sure that this amulet is evil, a thing of the Devil, surely. We should definitely get rid of {s11} for the sake of our immortal souls.
; str_npc1_personalityclash2_speech|Warlord, no offense, but I'm a bit tired of {s11}. He keeps saying that I am a crazy, idiotic youth that is surely doomed to go to Hell.
; str_npc2_personalityclash2_speech|{reg59?Madame:Sir}, if you don't mind, I'd prefer not to be deployed anywhere near {s11}, lest I be tempted to sacrifice him to my gods.
; str_npc3_personalityclash2_speech|{reg59?Madame:Sir}, since I joined your shield wall, I have tried hard to learn how to live like a soldier -- which is much better than being a slave -- and how to honor the warrior's code, but some of your men do not respect me as an equal.
; str_npc4_personalityclash2_speech|I told you I hate Picts, yet you invited {s11} to join us. Well, inform her that when she speaks to me, she should remember that she is nothing more than a Pictish servant, whereas I am a Scot.
; str_npc5_personalityclash2_speech|Warlord, {s11} needs to have her tongue cut out and her back whipped hard.
; str_npc6_personalityclash2_speech|Did you see {s11} during that last battle? He taunts the fallen foe as they lie stricken and helpless on the battlefield, mocking their parentage and their foolishness for having fought us. He is becoming completely depraved and weak, just like all his race are.
; str_npc7_personalityclash2_speech|Warlord, I have grown tired of the insolence of the man that answers to the name of {s11}. He thinks I am less a warrior than he just because I am a tracker and, even more, a woman. Yes, I know it's not common for a woman to leave her home and her husband, but where I come from, among the Picts, women have few options, but definitely more than in other, ignorant lands.
; str_npc8_personalityclash2_speech|Warlord. {s11} is a most insolent girl. I have tried to be polite, even friendly, only to have her rebuff me. The little chit thinks she is a warrior, and not just a camp slave.
; str_npc9_personalityclash2_speech|{reg59?My lady:Sir}, I hope you do not mind me telling you this, but in my opinion {s11}, the bastard, does not know his place. During that last battle, he cut in front of me to engage a foe whom I had marked as my own.
; str_npc10_personalityclash2_speech|Warlord, a question for you. Are you in charge of this shield wall, or is it {s11}?
; str_npc11_personalityclash2_speech|{reg59?My pretty:Handsome}, I do not think we should keep the company of that fellow {s11}. Please, hear what I feel in my heart.
; str_npc12_personalityclash2_speech|Warlord. I can no longer abide the rank ignorance of {s11}. As I was treating the wounded during our last battle, he saw fit to disparage my use of laudanum in relieving the pain while I conducted surgery and of treating wounds with a poultice of honey.
; str_npc13_personalityclash2_speech|I must say that the presence of {s11} offends me. He, a Dane, mocks one of the confrontations between my people and his. We were completely defeated that time, and he knows I fought there.
; str_npc14_personalityclash2_speech|{reg59?Madame:Sir}, {s11} is a terrible companion. He does not deserve the honor of being part of the glorious saga of our shield wall, which shall be sung for generations to come and forever more.
; str_npc15_personalityclash2_speech|Strategos, I must tell you that I question {s11}'s medical credentials. As he was tending to our wounded after that last battle, I saw fit to remind him that the peerless Hippocrates often advocated administering a distillation of beetroot, to restore the humor imbalance brought by loss of sanguinity.
; str_npc16_personalityclash2_speech|If you have any fear of God, pay heed to the warnings I am about to speak. The demon called {s11} must be put to death right now.
; str_npc1_personalityclash2_speech_b|I have no interest in becoming a Christian. In my opinion, this priest only can only bring us bad luck. Maybe we should burn him.
; str_npc2_personalityclash2_speech_b|The enemy was bearing down on us, and he says, 'A great warrior does not drink mead in battle.' Next time I will step aside, and let him take a spear in the gut.
; str_npc3_personalityclash2_speech_b|After our last victory, I was picking through the slain, and that Frisian called Reginhard pushed me aside, saying that looting was not for me, a simple slave girl that has just been permitted to travel with the army. However, I believe that if I battle in the shield wall, I deserve my share of the loot, just like any other warrior. Even though I might be less experienced than the others, I also risked my life.
; str_npc4_personalityclash2_speech_b|Finally, you will have to deal with that northern woman. She must remember her place or be whipped.
; str_npc5_personalityclash2_speech_b|As far as I understand, she is but a woman. Yet, when I ordered her to fetch me a bowl of that fine stew last night, she refused and said that I should get it myself. I was too tired to slap her properly for her impudence, so I let it go, but I will not tolerate such disrespect in the future.
; str_npc6_personalityclash2_speech_b|We should not tolerate that bastard in our shield wall. The battle is no place for mockers; no true warrior insults a fallen foe. Please, let me kill this idiot. Allow me to appease my tortured soul with this sinner's blood.
; str_npc7_personalityclash2_speech_b|He also insists that I should address him as 'my lord,' instead of his ridiculous name. I tell you, one day, when I have my own band of warriors, I will hunt him down and ask him how much better a warrior he is with my axe buried in his skull.
; str_npc8_personalityclash2_speech_b|As we were cleaning our weapons after that last battle, I remarked that I thought her a handsome girl and that I would happily find her a place with one of my renters. I explained to her that, although I, myself, am looking for a wife, I will marry only a free woman. I thought it was a very generous offer, a man and land. An army slave is hardly going to find herself awash in prospects, but rather than thank me, she simply turned her back without a word. It was only out of respect for your leadership that I did not immediately try to teach her some manners. I really think you should discipline your slaves better.
; str_npc9_personalityclash2_speech_b|I appreciate that he is willing to risk his life in battle, but that alone does not make a warrior. He is not of noble birth. He may fight with us as an auxiliary, as a favor, but he should not attempt to steal glory from his betters.
; str_npc10_personalityclash2_speech_b|In that last battle, as always, he kept singing and praising himself as the glorious commander that lead us all to victory, fame, and fortune. I am sorry, but if he is our leader instead of you, I am ready to go find my fortune somewhere else.
; str_npc11_personalityclash2_speech_b|As far as I know, he is an exiled man that will never find peace nor truly be allowed to return to his homeland. All because he was unable to obey his jarl. Well, if he can't obey even his rightful jarl, what says that he shall obey you? Please, don't take me wrong, {reg59?my pretty:handsome}, but I think he is a danger to us all. I think you had best be rid of him.
; str_npc12_personalityclash2_speech_b|Warlord, if that man knew the slightest thing about medical matters, he would know that one should never undermine a patient's confidence in his doctor, particularly not during a complicated operation. He should stick to military matters only. If you would be kind enough to dismiss him from this shield wall, you would be doing all of us a great service.
; str_npc13_personalityclash2_speech_b|He keeps saying that I'd better watch my back, for someday he will stick his spear deep into my dark Svia heart. He has sworn to kill me in the next battle. You had better keep a close eye on this fool.
; str_npc14_personalityclash2_speech_b|In our last battle, while I was singing about the many battles that your leadership, alongside my courage, allowed us to turn into victories, he spat on the ground and told me to keep my 'arrogant yapper' shut. If this man does not understand the legendary nature of our feats, then he should not be allowed to share our future glory and fortune.
; str_npc15_personalityclash2_speech_b|{s11} responded that Hippocrates was an 'antiquated know-nothing,' incomparable to the knowledgeable Galenus. Strategos, no true medic would have such disrespect for the great masters of the past. I do not believe you should employ such an obvious impostor.
; str_npc16_personalityclash2_speech_b|This awful woman has openly declared that she follows the pagan gods Odin and Thor, and that the teachings of Christ are nothing more than the babblings of weak men. She even made an absurd remark suggesting that I, a holy priest, brought us all bad luck with my 'gibberish preaching.' If you have no intention of leading all of your men to Hell, this Norse woman should be immediately sent to her afterlife by fire.
; str_npc1_personalitymatch_speech|Warlord, {s11} didn't do badly in that last fight at all. He's a good egg, that one.
; str_npc2_personalitymatch_speech|{reg59?Madame:Sir}, I just wanted to tell you that {s11} may be a rough sort, and I'll venture a complete drunkard as well, but I'm proud to call him my companion.
; str_npc3_personalitymatch_speech|Hello, {reg59?madame:sir}! I had just wanted to tell you that {s11} is a most gallant and brave warrior. Did you see him in our last battle?
; str_npc4_personalitymatch_speech|I just wanted to say a word in praise of {s11}. He did well in that last battle.
; str_npc5_personalitymatch_speech|That was a fine battle, {playername}! {s11} is a good companion to have by our side in a fight.
; str_npc6_personalitymatch_speech|Sometimes I am troubled by all this bloodshed, but I know that proud warlords must be humbled and cruel bandits tamed if we are to restore peace.
; str_npc7_personalitymatch_speech|Warlord, I was just talking to {s11}. He might be an outspoken man, but he holds no prejudice for me being a woman or a Pict.
; str_npc8_personalitymatch_speech|A fine battle that was, warlord. I have to say, I greatly enjoy the company of {s11}, for he is a fine commander of men.
; str_npc9_personalitymatch_speech|Warlord, {s11} acquitted herself well in that fight back there. A fine, modest maiden she is, if I dare say so myself.
; str_npc10_personalitymatch_speech|Dryhten! I wish you joy in your victory! Say, I really like the company of that Solveig. I see that she is extremely devoted to the safety of our shield wall.
; str_npc11_personalitymatch_speech|Oh {reg59?my pretty:handsome}, I could not praise you more for having women of such quality as {s11} within our shield wall. I do not care that she is a Frisian, supposedly weak and once a slave to the Danish.
; str_npc12_personalitymatch_speech|A bloody business, warlord, a bloody business -- although a necessary one, of course. {s11}, I believe, shares my ambivalence about this constant fighting, at least against non-Visigoths, as he always insists on saying.
; str_npc13_personalitymatch_speech|It is a pleasure going into battle with a fine Frisian noble like {s11} by my side.
; str_npc14_personalitymatch_speech|You have earned your name today, oh valorous one! And {s11}, too! I like that one. He knows the great poems and plays of the ancient Greeks, which appeals to an artistic soul like my own.
; str_npc15_personalitymatch_speech|Strategos. I was just having a word with {s11} after our last battle, and it strikes me that the man has a good head on his shoulders.
; str_npc16_personalitymatch_speech|I must tell you that, even though {s11} behaves in a rough, unmannered way, I can see that, in his heart, he has, maybe unknown to himself, a good Christian soul.
; str_npc1_personalitymatch_speech_b|{s11} is awesome! He is always joking, proud and brave, and knows how to seduce girls, I'll warrant. I'm glad to have him with us.
; str_npc2_personalitymatch_speech_b|Based on how he did in that last fight, I'd say that I'd trust my back to him any day. He also knows how to share tales and legends by the camp fire after a fine battle. I already promised to take him to a Nordic mead hall someday.
; str_npc3_personalitymatch_speech_b|I also confess that I find him a truly delightful companion, a man of both wit and manners. Perhaps, perhaps... Ah, but I say too much. Good day, {reg59?madame:sir}.
; str_npc4_personalitymatch_speech_b|You chose well to enlist him in our shield wall. He knows a thing or two about a fight.
; str_npc5_personalitymatch_speech_b|It is clear from his battle prowess that he is a true descendant of a brave warrior. He honors, in the battlefield, the greatness of his lineage.
; str_npc6_personalitymatch_speech_b|I must say that {s11} is a source of great comfort to me. I told him of my sin, and he said to me that Christ would forgive my transgression, if I repent and truly desire such forgiveness. He is wise, and I am glad that he is with us.
; str_npc7_personalitymatch_speech_b|He preaches to me just like to anyone else, and told me that even if my body is covered by war tattoos, God can still see the good intentions within my heart. I am not sure I completely liked what he said, for I am a warrior, not a simple housemaid, but, still, I feel I can trust that priest and his teachings.
; str_npc8_personalitymatch_speech_b|We are both veterans, and, as such, can both easily perceive the many tactical flaws the warriors of this land commit during battle. Our shield wall is much stronger with him in it.
; str_npc9_personalitymatch_speech_b|Were she not a mere slave, I might ask for her hand. It is a pity that she is not a free, pure woman, but speaking with her is a pleasant way to pass time on the march.
; str_npc10_personalitymatch_speech_b|Actually, I see that she is extremely devoted to you. Please, Dryhten, don't let it embarrass you! A devoted woman like that can be more valuable than a hundred warriors.
; str_npc11_personalitymatch_speech_b|She is clearly a survivor that has profound respect and obedience to you. This, of course, makes me extremely happy. If only all of our people were like her, someone who has overcome a troubled past in the house of the jarl of Kennemer. Those experiences, the difficult ones, are those that bring out the best in people, don't you think?
; str_npc12_personalitymatch_speech_b|It saddens him deeply to take the lives of his fellow men, however just the cause. He and I have talked together of a brighter future, of the need to unite these petty warring kingdoms of Englaland, so that we may bring this time of troubles to an end.
; str_npc13_personalitymatch_speech_b|He has a warrior's heart, even though it requires much more to learn the art of war. Though he may not be as fast on his feet as some, he knows the wisdom of holding together in a disciplined battle-line. You showed good sense in bringing him into this shield wall.
; str_npc14_personalitymatch_speech_b|The tales from his homeland that he likes to recite by the campfire also teach a lot about battles and warfare in general. I especially enjoy the heroic deeds that happened during the war with Troy. Soon, our shield wall will be a legend as glorious and famous as the heroes of Agamemnon's time.
; str_npc15_personalitymatch_speech_b|Even though he seems to be nothing more than a proud leader of men, he understands that war, like any other affair, requires careful planning and preparation and a firm grasp of strategic principals. A fine proof of that is how interested he got in the military aspects of the siege of Troy, as I was telling him that tale the other day.
; str_npc16_personalitymatch_speech_b|{s11} is an intelligent man with great wisdom. I like to listen to him at the camp fire, and he listens to me when I speak of Christ. The truth is that we have very interesting discussions. You should join us someday.
; str_npc1_retirement_speech|I'm a bit tired of marching up and down the land, shedding my blood for someone else's cause. The loot is good, but I think I've got enough of that, now. I'm going to head back to my father's cave, near Hadrian's Wall. Sorry, but this life of adventure and danger is over for me.
; str_npc2_retirement_speech|I'm getting a bit tired of the warrior's life. I'm going to invest my share of our loot in mead and women. I would like to thank you again for taking me on, and wish you the best of luck.
; str_npc3_retirement_speech|I am afraid I have something to tell you. I have decided that the warrior's life, even if better than a slave's one, is not for me. One final time, I thank you for freeing me, but it is time for me to find myself a more peaceful way of life. I think I have enough money to return to my father, Thonkrik, to start a new life as a merchant. I hope you will not be angry, {reg59?madame:sir}.
; str_npc4_retirement_speech|I have fought with you honorably, but I am not altogether satisfied with your leadership. Farewell.
; str_npc5_retirement_speech|{reg59?Madame:Sir}, since I joined your shield wall, I have fought for you fiercely and loyally, but you have not rewarded my service with the kind of leadership position that I deserve. So I will hope that my exile sentence has somehow been revoked and go home.
; str_npc6_retirement_speech|I joined this shield wall in the hope that you would lead me out of darkness, and indeed, I have found a measure of peace here, but I have some qualms about your leadership. Mostly, I have begun to suspect that my path to redemption can be found elsewhere.
; str_npc7_retirement_speech|I am tired of this squalid life of endless warfare, seeing weak men debased by fear, greed, lust, and a hundred other faults. I have money in my purse. I am going north, back to Alban, to assemble my own raiding party of Scots and Picts. I shall give rest to neither Briton nor Saxon, but you shall still have my peace.
; str_npc8_retirement_speech|I have fought in your shield wall and done well by it, but your decisions are not always to my liking. Anyway, I have another task. I will take what plunder I have won and raise a shield wall of my own. Then I will sail to Friese, where I shall recover my land. I wish you well.
; str_npc9_retirement_speech|We have fought well together and earned much glory, but I have some reservations about your leadership. At any rate, I have to kill that witch-snake spouse of my father. I will be leaving you. Perhaps we will meet again.
; str_npc10_retirement_speech|I've had enough of tramping up and down the length and breadth of these lands. I've earned enough to buy a small bit of land somewhere far from the hateful Welsh, so I think I'll give that a try. So long, and best of luck to you.
; str_npc11_retirement_speech|You have been very kind to me this whole time, but I... I am unable to endure the pain of {reg59?envy:love}. I beg your pardon, but I can no longer have you in my sight, since I know I forever can be nothing more than a lesser light before you. {reg59?:Moreover, as I am a skjaldmo, I have to preserve my virginity. }So I'll be off, although I don't know to where. Farewell, {reg59?my pretty:handsome}.
; str_npc12_retirement_speech|I've done all right in your shield wall. I've filled my belly, put some silver in my purse, and broadened my knowledge of wounds and injury. I can't complain about that, but I think right now that service in this shield wall is holding me back. I have a duty to share my findings with other doctors, and for that, I need to hire scribes that have an excellent understanding of Latin. These are rare in Englaland, so I will be going to Rome.
; str_npc13_retirement_speech|I would like to inform you that I wish to sever our relationship. I intend to seek alternative employment; perhaps join my fate to that of the Rus.
; str_npc14_retirement_speech|As the lustre of your name grows ever brighter, I fear that my own reputation will pale in comparison, as the moon is outshone by the sun. I have decided to strike out on my own. The very best of luck to you!
; str_npc15_retirement_speech|I appreciate that you took me on, but I'm not altogether happy about how things have worked out. I'm going to head off elsewhere -- maybe go home to Konstantinoupolis, maybe find another job. I haven't quite decided yet.
; str_npc16_retirement_speech|You and your men are a lost cause to the faith. I see that your souls are already taken by the Devil, since many of you uphold the ways of the old false pagan gods. Even my word was unable to change you and your evil ways, so I can only hope that God will have mercy upon you despite your terrible sins. I leave now.
; str_npc1_rehire_speech|Warlord, it's good to see you again. I know we had our differences, but now I recognize that those were some of the best days I've known. And, to tell you the truth, I've had a bit of difficulty finding work. Listen, if you're willing to have me back, I'd be willing to sign up with your shield wall again.
; str_npc2_rehire_speech|{reg59?Madame:Sir}! It's good to see you again! Actually, I confess, I've been looking for you. I spent all my money and need more. I guess I'm just destined to fight for a living. People tell me that you, on the other hand, have done very well for yourself. So tell me, {reg59?madame:sir}, will you have me back?
; str_npc3_rehire_speech|Well, hello {reg59?madame:sir}! It is very good to see you again. I have not fared so well since we parted, I am afraid. My savings from the time we travelled together, which I hoped would give me a start in trading, have not been enough to start a decent business. And, I must say, I fear being turned again into a slave. Perhaps I am better suited to war than to commerce, to share a meal over a campfire with rough fellows than to drink mead. {reg59?Madame:Sir}, I must ask you -- will you take me back?
; str_npc4_rehire_speech|It's been a while. You've done well for yourself, I hear. I know there's been some bad blood between us, but I'd be honored to fight in your ranks once again.
; str_npc5_rehire_speech|{playername}! Your fame grows ever greater -- even as far as my homeland, beyond the mountains. I'd returned there, hoping that my exile would have been forgotten. Well, it hadn't. Even before I set foot in my valley, I received word from my family that there were warriors looking for me in case I crossed the kingdom's border. So I've returned, hoping you might forget any harsh words I may have spoken, to see if I could fight with you once again.
; str_npc6_rehire_speech|It is good to see you, {playername}. Everywhere I go, men are in awe of your deeds. I have not had it so well since I left. Wherever I go, I feel my former demons returning. My soul is in turmoil. For reasons that I cannot fully explain, I had found peace in your company. Will you allow me to serve with you once again?
; str_npc7_rehire_speech|Warlord! It is good to see you. Unfortunately, even with all the money I saved from my share of the loot, the absurd taunt of being a traitor and a woman was still directed at me. No Pictish warrior would consider joining a war band lead by me. Dammit, that's just the way life goes, I guess. Will you have me back?
; str_npc8_rehire_speech|Greetings to you, {playername}. I was wondering if the harsh words between us in the past could be forgotten. I could not find thirty men to crew a ship, and those whom I gathered quickly got bored and wandered off -- not, I will add, before they drank away such silver as I had accumulated. Then I thought back to the battles we fought together. Those were good days, and profitable ones, too.
; str_npc9_rehire_speech|My dear, dear {reg59?lady:man}! It is so good to see you! I sought service with the lords of this land, but was grievously disappointed. Half of them ask me to carry gifts to fellow lords, as if I were a simple errand boy, or to beat down lazy peasants, as if I were a farm overseer. One even asked me to murder one of his rivals! Those are no kind of activities for a brave warrior like me! So I have been seeking you, to see if you might wish me to join you again.
; str_npc10_rehire_speech|Dryhten! It's good to see you again! It turns out I'm not much of a farmer. Too soft on the hired hands, I figure. I let them rob me blind. I guess fighting is what I know best, even if accompanied by Britons and Mercians. So tell me, Dryhten, are you still looking for good men?
; str_npc11_rehire_speech|{reg59?My pretty:Handsome}, I've thought a lot since we parted. Now I know in my heart that, even if sometimes we cannot get what we most desire, it is better to live close by than far away from it. Perhaps there is hope left, after all, that your company will be good for me. So, {reg59?my pretty:handsome}, will you take me back?
; str_npc12_rehire_speech|Warlord! It's a fine thing to see an honest face like yours, for this world is so full of lies! I went Rome to publish my findings, hired some scribes and made a handful of codices. Then I waited for the commissions, but it turns out that the philosophers don't care about real medical knowledge and instead prefer to discuss quasi-magical theories. I'll keep trying, but first need to replenish the money in my bag. Are you looking for a physician?
; str_npc13_rehire_speech|It is so good to see you. When last we parted, I practically swore that I would not serve you again. Perhaps I judged you too harshly. I have tried serving in other jarls' armies. Believe me; what I have seen of them restores my opinion of your leadership. If you will have me in your shield wall, I will fight for you again.
; str_npc14_rehire_speech|Well, hello there, valorous one! I have been hoping to see you again. Everywhere I go, I hear tales and songs of your deeds. I admit that I felt a twinge of regret that we had parted ways and, I'll confess it, a twinge of jealousy as well. I thought that I might once more fight by your side and thus bask in the reflection of your glory. Perhaps we might ride together again for a little while.
; str_npc15_rehire_speech|Why hello, strategos! I can't say I'm displeased to see you again. You see, I could not find a ship to take me to the continent, and so I took on another contract before I left, and, sure enough, when it came time to collect the pay, the lord had nothing but talk and excuses and petty little complaints about my handiwork. I can't say I was always happy in your shield wall, but at least you put silver directly into my purse after every battle. Are you still offering work?
; str_npc16_rehire_speech|I am here to offer another chance to you and your men. An angel came to me in a dream, and told me the future of your immortal soul. The angel said that your only chance of eventually going to Heaven lies entirely upon my work as a preacher. You are my responsibility. So, I beg you to accept me again in your shield wall. Maybe this time you will pay heed to the word of God.
; str_npc1_home_intro|Warlord, perhaps you didn't know this about Hadrian's Wall. Near here is a cave where I was born eighteen years ago. This is a special place that we should stop and visit, for it has long history. Romans, those legendary warriors, dwelt here.
; str_npc2_home_intro|Ribe! That's where I was born twenty years ago. Son of a king and yet a slave, but the best skald in all Danmark.
; str_npc3_home_intro|Can you smell that? It is the smell of evil. It is the smell of Kennemer. How I hate that place! I spent the worst years of my life there. Just being around this site makes me nauseous.
; str_npc4_home_intro|Perhaps you didn't know about Dun Onlaigh, a magnificent Dal Riata fortress.
; str_npc5_home_intro|Oh, perhaps you didn't know this about Din Tagell, one of the mightiest forts of Cornubia. I served in the shield wall of its lord, as a dryhten, long before I was forced into exile.
; str_npc6_home_intro|Perhaps you don't know about Cantwareburh, in the kingdom of West Seaxe. This is the city where the ship, the Woden Ric, should have brought me, but the Viking attack near the coast of Friese changed all that. Changed my fate forever.
; str_npc7_home_intro|Pay attention, and be careful. We are now in Alban, near Dun Taruo. The kingdom of Alban is the most powerful in the north.
; str_npc8_home_intro|We are in the kingdom of Friese, where Dorestad is the main town. Years ago, we Frisians were subjects of the Franks, but later, a Dane became king. Well, really, Frisians do not recognize these kings, but have to accept their power. We prefer to live.
; str_npc9_home_intro|Behold the horizon, for there lies the fortress of Rendlaesham, seat of power of the kings of East Engle.
; str_npc10_home_intro|Look, the trading town of Lundenwic, home to the Saxons of East Seaxna. This beautiful site has a glorious past and, I might bet, a bright future.
; str_npc11_home_intro|That smell is of salt and the sweat of the people that work the sea. It is the warmth of home... Tunsberg.
; str_npc12_home_intro|Perhaps you don't know about Heidabyr, if that interests you.
; str_npc13_home_intro|East, past the land of the Norwegians, are my people, the Sviar, a warlike and strong people. Our destiny is to rule others.
; str_npc14_home_intro|Ah, Caiseal! Such a lovely spot, at the foot of the Eriu. The region of Mhumhain, or Munster, is certainly the most poetic and beautiful part of what Romans called Hibernia.
; str_npc15_home_intro|Do you see that small settlement over there? It is Hordaland.
; str_npc16_home_intro|Oh my God! That is Witan Ceaster. I lived near here, in a village. My parents, travelers, could not take care of me and gave me to the monks of Witan Ceaster.
; str_npc1_home_description|My name, Caio, has passed from generation to generation. The first who had it was an ancestor of mine, descended from a man named Virio, who was the grandson of a man who had served defending the wall.
; str_npc2_home_description|People say that the Danish are a bunch of bloodthirsty men, but they have a good head for trade, if you ask me. People up and down the coast produce pottery, textiles and leather. Ribe is also famous for its women, if you understand what I mean.
; str_npc3_home_description|Kennemer is a Danish fort now, but it was not always so. In fact, before the Danish, the Franks ruled from there. We Frisians did not like the Franks as much. They imposed their religion, Christianity, and their lords are very controlling. So when the Danish first came, we did not mind. These masters are a little more indulgent, allowing use more freedom as long as we pay tribute.
; str_npc4_home_description|You know I do not talk much, but I would say that I am proud to be a Scot of the Dal Riata. You've heard many stories about the Scots, or maybe none. People thought we were just pirates who looted the coast, and cursed us for it. Then came the Norwegians, who are worse.
