
ui_music_volume|Громкость музыки
ui_download_module_question|Этот сервер использует модуль который не установлен на вашем компютере.Желаете посетить сайт для скачивания этого модуля?
ui_download_mb_new_version_question|Этот сервер использует игру версии (%d.%d%d%d) .У вас установлена версия (%d.%d%d%d) .Посетите сайт игры для скачивания патча.
ui_download_mb_old_version_question|Этот сервер использует более старую версию игры (%d.%d%d%d). У вас установлена версия (%d.%d%d%d).
ui_download_module_new_version_question|Этот сервер использует более новую версию модуля (%d.%d%d%d) .Вы используете версию (%d.%d%d%d). Обновите модуль!
ui_download_module_old_version_question|Этот сервер использует более старую версию модуля (%d.%d%d%d). Забейте...
ui_authenticating_with_steam|Авторизация в steam...
ui_validating_serial_number|Проверка серийного номера...
ui_scanning_lan|Сканирование локальной сети...
ui_retrieving_servers|Построение списка серверов...
ui_shield_size2|Размер: %dx%d
ui_click_to_view_notes|Показать заметки
ui_retrieving_server_infos|Обновление информации от серверов (%d)...
ui_connecting_to_server|Подключение к серверу...
ui_requesting_to_join_the_game|Попытка подключения к игре...
ui_loading|Загрузка...
ui_group_value_control|Группа %d!
ui_drop_weapon|Бросить оружие
ui_multiplayer_message_all|Написать всем
ui_multiplayer_message_team|Написать команде
ui_command_line|Командная строка
ui_use_ranged_weapon_as_melee|Переключить режим оружия
ui_send_message_all|Написать всем
ui_send_message_team|Написать команде
ui_select|Выбрать
ui_context_menu|Контекстное меню
ui_round_starts_in_value_seconds|Игра начнется через %d секунд...
ui_watching_value|За %s
ui_capital_spec|НАБЛ
ui_capital_dead|МЕРТВ
ui_instancing_error1|Could not lock Instance Buffer (size: %d), Disabled mesh-instancing (Error Code: %d)
ui_instancing_error2|Could not fit instanced objects, Disabled mesh-instancing
ui_by_keyboard|Использовать кнопки со стрелками
ui_combat_speed_slowest|Минимальная
ui_combat_speed_slower|Низкая
ui_combat_speed_normal|Нормально
ui_combat_speed_faster|Высокая
ui_combat_speed_fastest|Максимальная
ui_module_newer_than_application|Модуль который вы выбрали использует более новую версию игры.
ui_module_older_than_application|Модуль который вы выбрали использует более старую версию игры.
ui_unbalanced|Несбалансировано
ui_can_crush_through_blocks|Бонус против блоков противника
ui_turn_camera_with_horse|Поворот камеры за лошадью от первого лица
ui_widescreen_mode_on|Многоэкранный режим - вкл.
ui_widescreen_mode_off|Многоэкранный режим - выкл.
ui_notification_cant_upgrade|Нехватает денег!
ui_turn_never|Никогда
ui_turn_ranged_only|Только на расстоянии
ui_turn_melee_only|Только при схватке
ui_turn_always|Всегда
ui_general_options|Игра
ui_vac_enabled|Античит включен
ui_campaign_ai|Сложность игры:
ui_downloading_map|Загрузка карты (%d кб)
ui_download_completed|Загрузка завершена.
ui_server_filter|Фильтр
ui_has_players|Количество игроков
ui_is_not_full|Не заполнен
ui_is_password_free|Без пароля
ui_native_only|Только Native
ui_ping_limit|Пинг
ui_filter_info|%d игр и %d игроков отфильтровано
; ui_is_version_compatible|Compatible with version
ui_ttnet_account|Ttnet аккаунт
ui_username|Логин
ui_password|Пароль
ui_error_incorrect_username_or_password|Неправильный логин или пароль...
ui_validating_account|Проверка аккаунта...
ui_plase_enter_your_serial_key|Введите ваш серийный номер
ui_texture_detail2|Детализация текстур:
ui_antialiasing2|Сглаживание:
; ui_troop_upgrades|Troop Tree
; ui_crouch|Crouch
