; qstr_Breaking_camp...|Breaking camp...
qstr_{s16}_and_{s17}|{s16} e {s17}
; qstr_Very_well_I_will_acc|Very well, I will accept you back into my ranks, if you're ready to swear your solemn oath once more.
qstr_A_pardon_will_only_b|Um perdão só será possível se você se dispuser a me ceder {s17}. Concorda com meus termos?
; qstr_No._There_is_no_chan|No. There is no chance of peace between us. I am not interested.
; qstr_I_may_be_able_to_hel|I may be able to help you with such a delicate situation. Do you have {reg7} peningas on you?
; qstr_I_have_heard_of_your|I have heard of your mistreatment of my subjects, {playername}. I'm pretty sure people still remember what you did to them...^^But that's all in the past now, so just hand me the money. Did I hear {reg7} peningas?
; qstr_{playername}_your_tr|{playername}, your treatment of my subjects was atrocious in the past, but such is war. I'm willing to help you in this matter. Hand me that purse with {reg7} peningas, and I'll take care of the business.
; qstr_{playername}_we_all_|{playername}, we all make mistakes in our lives, and while your treatment of my subjects was bad, I don't hold grudges. I will help you to restore people's believe in you as a just ruler. Allow me to take that purse with {reg7} peningas, and I'll take care of the business.
; qstr_Rumor_has_it_that_{s|Rumor has it that {s35} just took the money and didn't even bother talking to people.
; qstr_Rumor_has_it_that_{s3|Rumor has it that {s35} kept the money for himself.
qstr_{s34}|{s34}
; qstr_Your_efforts_to_brib|Your efforts to bribe local population were unsuccessful.
; qstr_Our_marshal_{s1}|Our marshal, {s1}
qstr_We_are_not_at_war_wi|Não estamos em guerra com ninguém.
; qstr_go_on_the_offensive_|go on the offensive now.
; qstr_act_to_defend_our_la|act to defend our lands.
; qstr_take_more_time_to_ga|take more time to gather the army.
; qstr_You_promised_to_help|You promised to help {s13} claim the throne of the {s14}.
; qstr_What_do_you_say_to_e|What do you say to entering the service of the {s9} as a mercenary captain? I have no doubt that you would be up to the task.
; qstr_{s8}_asked_you_to_tr|{s8} asked you to track down a group of masterless men who looted his village, {s9}.
qstr_{s9}_asked_you_to_ta|{s9} lhe pediu para levar uma mensagem a {s13}. {s13} supostamente estava em {s4} quando esta missão foi dada a você.
; qstr_{s9}_asked_you_to_tak|{s9} asked you to take a message to {s13} of the {s15}. {s13} was believed to be at {s4} when you were given this quest.
qstr_{s11}_asked_you_to_e|{s11} lhe pediu para escoltar o Bispo de {s22} para {s14}.
; qstr_{s11}_asked_you_to_r|{s11} asked you to raid a monastery at {s14}, near {s34}, and bring him {reg33} peningas.
; qstr_{s11}_asked_you_to_es|{s11} asked you to escort his {s17} {s13} to {s14}.
; qstr_{s13}_asked_you_to_d|{s13} asked you to deal with the bandits who are occupying the village of {s15} and then report back to him.
; qstr_{s9}_asked_you_to_ra|{s9} asked you to raise {reg1} {s14} and bring them to him.
qstr_{s9}_asked_you_to_co|{s9} lhe pediu para coletar impostos de {s3}. Ele ofereceu deixar você ficar com um quinto de todo o dinheiro arrecadado lá.
; qstr_{s9}_asked_you_to_hu|{s9} asked you to hunt down a fugitive named {s4}. He is currently believed to be in {s3}.
qstr_{s9}_asked_you_to_as|{s9} lhe pediu pra assassinar um mercador local em {s3}.
qstr_{s9}_has_asked_you_t|{s9} lhe pediu para se encontrar com um espião em {s13}.
; qstr_{s11}_asked_you_to_f|{s11} asked you to follow the spy that will leave {s12}. Be careful not to let the spy see you on the way, or he may get suspicious and turn back. Once the spy meets with his accomplice, you are to capture them and bring them back to {s11}.
; qstr_{s11}_asked_you_to_c|{s11} asked you to capture a lord from the {s13}, any lord, and then drag your victim back to {s11} for safekeeping.
; qstr_{s9}_asked_you_to_le|{s9} asked you to lend your companion {s3} to him for a week.
; qstr_{s9}_asked_you_to_col|{s9} asked you to collect the debt of {reg4} peningas {s3} owes to him. {s3} was at {s4} when you were given this quest.
; qstr_{s11}_gave_you_a_fak|{s11} gave you a fake letter to fool {s13} into banishing his vassal {s16}. You are to go near {s14}, give the letter to one of your {s15} and send him into the town as a messenger, believing his orders to be genuine.
qstr_{s9}_has_requested_y|{s9} lhe pediu para trazer {reg1} {s3} como prisioneiros.
; qstr_Lend_your_experience|Lend your experienced surgeon {s3} to {s1}.
; qstr_Oh_Dear!_We_have_bee|Oh, Dear! We have been given a boy!
; qstr_Oh_Dear!_We_have_rec|Oh, Dear! We have received a girl!
; qstr_Oh_Dear!_Twins_are_b|Oh, Dear! Twins are bestowed upon us.
; qstr_Oh_dear_{playername}|Oh dear {playername}, I'm so tired. (She smiles at you). Be patient, for the child must be carried for nine months.
; qstr_I_m_thinking_of_a_na|I'm thinking of a name for the child. If we have a boy, his name will be {playername}, but if we have a girl, her name will be like mine.
; qstr_I_m_fine._I_will_not|I'm fine. I will not pay any attention to the banter of the servants. The child isn't the son of our swineherd.
; qstr_Time_flies_away_from|Time flies away from war, fear and the rigors of travel... In nine months, you will have a child.
; qstr_Then_take_it_with_my|Then take it, with my eternal thanks. You are a noble {reg59?woman:man}. I will never forget that you helped me in my time of need.
qstr_Forgive_me_{playerna|Perdão, {playername}, mas devo insistir que você aceite. O dinheiro significa pouco para mim, e devo tanto a você. Tome, pegue-o, e não falemos mais sobre isso.
; qstr_{playername}_what_a_|{playername}, what a dear {reg59?woman:man} you are, but I will not allow you to refuse this. I owe you far more than I can say, and I am sure you can put this money to far better use than I.
; qstr_I_know_you_re_at_war|I know, you're at war with his kingdom, so you may have a problem giving him my message, or perhaps your bravery would desert you.
; qstr_{s11}_asked_you_to_d|{s11} asked you to deliver a message to {s3}.
; qstr_Oh_{playername}_my_h|Oh, {playername}, my husband is too busy with the affairs of the state. Would you be so kind to bring me {reg25} {reg1?pieces:piece} of {s17}?
; qstr_Oh_{playername}_coul|Oh, {playername}, could you do me a little favor? I saw a trader the other day, selling some novelties out by the gate. Unfortunately, I can't spend money freely. Would you be so kind and bring me {reg25} {reg1?pieces:piece} of {s17}?
; qstr_{s11}_asked_you_to_b|{s11} asked you to bring her {reg25} {reg1?pieces:piece} of {s17}.
; qstr_Oh_{playername}_my_hu|Oh, {playername}, my husband, {s15}, is too busy with the affairs of the state, and I would like to have a surprise party set up in his honor. Would you be so kind as to bring me {reg25} {reg1?bottles:bottle} of {s17} and 2 pieces of cheese?
; qstr_Oh_{playername}_could|Oh, {playername}, could you do me a little favor? I have some of my lady friends here visiting, and I would like to have a small party in their honor. Unfortunately, I can't spend money freely. Would you be so kind and bring me {reg25} {reg1?bottles:bottle} of {s17} and 2 pieces of cheese?
; qstr_{s11}_asked_you_to_br|{s11} asked you to bring her {reg25} {reg1?bottles:bottle} of {s17} and 2 pieces of cheese.
; qstr_{s11}_asked_you_to_re|{s11} asked you to rescue her {s17}, {s13}, from {s14} by switching clothes and taking his place in prison.
; qstr_{s11}_asked_you_to_res|{s11} asked you to rescue her {s17}, {s13}, from {s14}.
; qstr_{s12}_asked_you_to_d|{s12} asked you to deliver a message to {s13}, who is imprisoned at {s14}.
qstr_You_agreed_to_challe|Você concordou em desafiar {s13} para defender a honra de {s11}.
; qstr_{s11}_asked_you_to_di|{s11} asked you to discretely eliminate her 'ghost' ex-lover, who is believed to be in {s33}.
; qstr_{s5}__Persuasion_str|{s5} (Persuasion strength: {reg5})
qstr_Persuasion_Attempt|Tentativa de Persuasão
; qstr_I_think_your_dilemma|I think your dilemma can be solved for {reg22} peningas.
; qstr_Thank_you_for_the_wa|Thank you for the warning. {reg22} peningas will make me forget everything.
; qstr_Pay_{reg22}_peningas|Pay {reg22} peningas for your rudeness or else...
; qstr_{reg22}_peningas_is_|{reg22} peningas is the price of my silence. Otherwise...
; qstr_I_understand_you_wer|I understand you were forced to do it, but I'm entitled to compensation, and I think {reg22} peningas will be acceptable. I would hate to tell on you, but I have no choice either.
; qstr_Prepare_to_die_you_i|Prepare to die, you, insolent crook!
; qstr_Ah_a_duel._Well_if_y|Ah, a duel. Well, if you insist, {playername}, I will oblige.
; qstr_Hmm_are_you_sure?_I_|Hmm, are you sure? I don't think you would want to ruin our relationship completely...
; qstr_Hmm_isn_t_this_all_a|Hmm, isn't this all a bit rash? Perhaps you and I can solve this problem in a more rewarding fashion...
; qstr_I_always_knew_{playe|I always knew, {playername}, that you were of such poor moral fiber. Truly, only the lowest of the low would attempt to besmirch and blackmail someone so clearly superior to {reg59?him:her}. But, alas, however serious this accusation, it is hardly worth my time to answer.
; qstr_{playername}_is_it_w|{playername}, is it worth it to come to blows over this? I admitted that was wrong of me to do such a thing. What else do you want?
; qstr_I_can_pay_you_{reg22|I can pay you {reg22} peningas for your troubles and not a penny more!
; qstr_Given_my_poor_financ|Given my poor finances, I think {reg22} peningas for your troubles would be enough.
; qstr_I_only_have_mere_{re|I only have mere {reg22} peningas. Take them and leave me alone.
; qstr_I_have_no_money_to_p|I have no money to pay you.
; qstr_Bless_you_{playernam|Bless you, {playername}. This is an honorable decision, and I will remember it.
; qstr_This_is_not_only_an_|This is not only an honorable decision but a sign of your political maturity, {playername}.
; qstr_Well_thank_you_{play|Well, thank you, {playername}. I surely appreciate your kindness.
; qstr_Maybe_I_was_wrong_ab|Maybe I was wrong about you, {playername}. Only time will tell.
; qstr_Welcome_to_Maedelste|Welcome to Maedelstede, where foreigners are welcome -- especially if they bring silver.
; qstr_My_mead_hall_is_the_|My mead hall is the biggest in town. You are welcome here.
; qstr_Make_yourselves_comf|Make yourselves comfortable. I will give you drink and accommodation.
; qstr_has_put_together_a_b|has put together a bounty on some bandits who have raided one of his villages.
; qstr_This_is_not_that_sim|This is not that simple, but I can give it a try. I think 300 peningas should suffice. What faction are you talking about?
; qstr_Aha_my_favorite_one.|Aha, my favorite one. I think 150 peningas should suffice. Can you tell me what the lord's faction is?
; qstr_Doable_since_so_many|Doable, since so many lords are only too eager to pull their swords out. Two hundred and fifty peningas will be plenty, I think. What is the first lord's faction?
; qstr_You_get_an_elite_Sax|You get an elite Saxon sword.
; qstr_You_get_a_Long_Seax.|You get a Long Seax.
; qstr_You_get_a_beautiful_|You get a beautiful Long Axe.
; qstr_You_get_a_great_long|You get a great long bow.
; qstr_You_get_an_expensive|You get an expensive mail.
; qstr_You_get_an_expensive_|You get an expensive mail shirt.
; qstr_You_get_an_expensive_h|You get an expensive helmet.
; qstr_A_villager_from_{s7}|A villager from {s7} begged you to save their village from the bandits that took refuge there.
; qstr_Hey_what_do_you_want|Hey, what do you want? We're drinking.
; qstr_Are_you_looking_for_|Are you looking for men who are willing to risk their skin for glory and wealth?
; qstr_There_is_food_and_dr|There is food and drink for all. Do you want to join in?
; qstr_You_chose_well_{reg5|You chose well, {reg59?madam:sir}. My lads know how to keep their word and earn their pay.
; qstr_Well_done_{reg59?mad|Well done, {reg59?madam:sir}. Keep the money and wine coming our way, and there's no foe in the world you need fear.
; qstr_We_are_at_your_servi|We are at your service, {reg59?madam:sir}. Point us in the direction of those who need hurting, and we'll do the rest.
; qstr_Oh..._well..._I_do_n|Oh... well... I do not know ... I'm probably fine. (Phlegmatic)
; qstr_Even_bad_dreams_spea|Even bad dreams speak to us. I like to listen. Perhaps learn something. (Melancholic)
; qstr_Yes_I_had_a_nightmar|Yes, I had a nightmare, but now I'm awake. All that matters is what's ahead. (Choleric)
; qstr_All_is_well._Believe|All is well. Believe me, it was just a stupid nightmare! (Sanguine)
; qstr_No_need_to_get_shy!_|No need to get shy! At any rate, it's good to see you up and about, friend.
; qstr_I_prefer_not_to_drea|I prefer not to dream. They bring too many memories and longings. Well, it's good to see you up and about, friend.
; qstr_Yes_we_are_finally_n|Yes, we are finally near Friese. There, after all these days, we will part, for my journey continues on towards West Seaxe. For now, it's good to see you up and about, friend.
; qstr_I_agree_completely._|I agree completely. Fortunately, I usually do not remember my dreams when I wake. Well, it's good to see you up and about, friend.
; qstr___She_has_aged_sever|--She has aged several years since her illness began. She's so frail that she looks like she would break if you touched her. This is not the woman you know; just a vague memory of her, but she's still your mother.--
; qstr___She_smiles_and_look|--She smiles and looks at you with love--
; qstr___She_looks_past_you|--She looks past you--
; qstr___She_opens_her_eyes|--She opens her eyes, looks at you. Her hands shake--
; qstr___She_shifts_her_gaz|--She shifts her gaze to the sea. She is crying.--
; qstr___He_smiles_and_show|--He smiles and shows you the rudder.--
; qstr___He_stares_at_you_f|--He stares at you for a second, then lets out a chuckle.--
; qstr___He_nods.__|--He nods.--
; qstr___You_notice_his_han|--You notice his hands shaking from nervousness.--
; qstr___Now_he_looks_scare|--Now he looks scared.--
; qstr___He_scratches_his_b|--He scratches his back and then smiles.--
; qstr___He_touches_the_hil|--He touches the hilt of his sword.--
; qstr_After_traveling_for_|After traveling for several days, you came to Douar-an-Enez and met with the Asturians. But while you were trying to convince them to join Ragnar's sons, Bodo took command and ordered an attack on your fleet. You must return to your fleet and fight!
; qstr_After_traveling_for_s|After traveling for several days, you came to Douar-an-Enez and met with the Asturians. You unmasked the traitor, Silo, but it was too late! The Danish are attacking your fleet. You must hurry and save your men!
; qstr_You_are_now_a_Christ|You are now a Christian.
; qstr_The_priest_is_happy_|The priest is happy about donations, but clearly is annoyed that you are trying to buy him off. Perhaps it's time to let it go, for a while.
; qstr_You_are_now_a_pagan_|You are now a pagan, a follower of Odin and other Norse gods.
; qstr_The_priest_is_happy_a|The priest is happy about being paid to talk, but clearly is annoyed that you are trying to buy him off. Perhaps it's time to let it go for a while.
; qstr___The_abbot_looks_yo|--The abbot looks you up and down, unconvinced.--
; qstr_Welcome_then._Listen|Welcome, then. Listen to me: we need your support.
; qstr_In_nomine_pater_the_|In nomine pater, the jarl insults us by sending a pagan. Okay, if that's how he wants to play this... Now, listen.
; qstr_Then_welcome_{player|Then welcome {playername}. I'll explain what's going on.
; qstr___The_abbot_after_ru|--The abbot, after rummaging through his books, draws out a letter to show you.--
; qstr___The_document_seems|--The document seems quite believable, with good penmanship, where a man named Frethwi gives the monastery several parcels of land. It is signed by several witnesses.--^^
; qstr___You_look_at_the_te|--You look at the text. It is all very nice, with the letters nicely aligned, but, without accompanying illustrations, you do not understand anything.--^^
; qstr_Note_1:_You_chose_to|Note 1: You chose to give the land to the monastery near {s3}.
; qstr_Note_1:_You_chose_no|Note 1: You chose not to give the land to the monastery near {s3}.
; qstr___The_abbot_opens_hi|--The abbot opens his eyes wide.--
; qstr_Note:_You_returned__|Note: You returned 'The Cathach of Colum Cille' to Gleann Da Loch.
; qstr_The_abbot_of_Finian_|The abbot of Finian told you that Mael Bresail, his patron, is in {s3} awaiting your news about Flaithbertach's grandchildren.
; qstr_So_you_re_{playernam|So you're {playername}. I've heard about you. Personally, I dislike the reports of your sinfulness, but I wasn't the one making the decision. Here is one thousand peningas. Now listen...
; qstr_So_you_re_{playername|So you're {playername}. I've heard about you. You're someone who loves the people and treats others with kindness. You deserve this one thousand peningas. Now listen, for my patron has a mission for you...
; qstr_So_you_re_{playername}|So you're {playername}. I cannot deny that your reputation precedes you. I have heard of you from many travelers. For better or worse, you seem destined to leave your mark on the world. Here is one thousand peningas. Now listen, for my patron has a mission for you...
; qstr_So_you_re_{playername}.|So you're {playername}. I do not know much about you, and I'm not particularly interested to learn. However, my patron gave me a list, and it included your name. Here is one thousand peningas. Now listen, for my patron has a mission for you...
; qstr_The_abbot_of_Finian_h|The abbot of Finian has asked you travel to {s3} and kill a man called 'The Snake.' Go to the mead hall and meet him.
; qstr_You_are_working_for_|You are working for the anonymous patron of the abbot of Finian.
; qstr_The_abbot_of_Finian_ha|The abbot of Finian has asked you travel to {s3} and learn the whereabouts of Flaithbertach's grandchildren from the mayor called Donngal.
; qstr_The_abbot_of_Finian_has|The abbot of Finian has asked you travel to {s3} and investigate what kind of evil is attacking fishermen. Enter the village and look for a man there called Caliacas.
; qstr_You_have_finished_th|You have finished the missions given to you by the abbot of Finian. It's time to talk with Mael Bresail, his patron, who is awaiting you in {s3}.
; qstr_You_need_to_learn_th|You need to learn the location of Mael Bresail, but the abbot of Finian refuses to give it to you. Maybe you should come back with more silver or increase your powers of persuasion or intimidation.
; qstr_The_abbot_of_Finian_t|The abbot of Finian told you that Mael Bresail hides in Cornubia, on a site built for his mother near {s3}.
; qstr_The_abbot_of_{s3}_as|The abbot of {s3} asked you to bring them {reg33} pallets of timber.
; qstr_Of_course_my_{reg59?|Of course, my {reg59?daughter:son}. We have a big batch of our wine.
; qstr_We_have_some_wine_st|We have some wine still available.
; qstr___A_huge_creature_is|--A huge creature is looking down on you, seemingly unintimidated by your presence or your equipment.--
; qstr___You_see_a_short_th|--You see a short, thin man with a strange face in front of you.--
; qstr___The_Swedish_Viking|--The Swedish Viking looks you up and down, studying you.--
; qstr___The_man_flattening|--The man, flattening the floor with his feet, suddenly turns towards you when you approach him. At first, he seems surprised, but quickly flashes a smile.--
; qstr_I_was_just_leaving._|I was just leaving. (Phlegmatic)
; qstr_I_think_we_are_both_|I think we are both too old for games like this. (Melancholic)
; qstr_Heh_I_ve_played_game|Heh, I've played games with worse odds. Proceed. (Choleric)
; qstr_Very_well_but_if_I_s|Very well, but if I solve your riddle but do not like your answers, I'll take your soul. (Sanguine)
; qstr_When_you_open_your_e|When you open your eyes again, you receive the blessing of the gods and goddesses. Maybe this is just your imagination but you feel more skillful with weapons.
; qstr_When_you_open_your_ey|When you open your eyes again, you receive the blessing of the gods and goddesses. Maybe this is just your imagination but you feel more attractive.
; qstr_When_you_open_your_eye|When you open your eyes again, you receive the blessing of the gods and goddesses. Maybe this is just your imagination but you feel stronger.
; qstr_When_you_open_your_eyes|When you open your eyes again, you receive the blessing of the gods and goddesses. Maybe this is just your imagination but you feel smarter.
; qstr_When_you_open_your_eyes_|When you open your eyes again, you receive the blessing of the gods and goddesses. Maybe this is just your imagination, but you feel more agile.
; qstr_You_open_your_eyes_a|You open your eyes again, but nothing happens. The gods do not accept this sacrifice.
; qstr_An_old_Roman_at_{s3}|An old Roman at {s3} asked you bring him eight sacks of wheat.
; qstr_I_have_a_good_load_o|I have a good load of mineral available.
; qstr_I_have_loads_of_both|I have loads of both mineral and stone available.
; qstr_I_have_a_good_load_of|I have a good load of stone available.
; qstr_I_have_some_soapston|I have some soapstone available.
; qstr_I_have_loads_of_salt|I have loads of salt today.
; qstr_Come_with_me._I_ll_s|Come with me. I'll show you what we've got.
; qstr_I_have_some_salt.|I have some salt.
; qstr_I_have_plenty_of_tim|I have plenty of timber available.
; qstr_I_have_some_timber_a|I have some timber available.
; qstr_I_have_nice_cows_hug|I have nice cows, huge and fat, ready to sell in the town. I'd be happy to sell them right now.
; qstr_I_have_raw_materials|I have raw materials and produce.
; qstr_I_have_a_few_food_it|I have a few food items for sale.
; qstr_I_am_the_reeve_of_th|I am the reeve of the fort of {s9}. I manage the affairs of the fort in your name, my {reg59?lady:lord}
; qstr_I_am_the_reeve_of_the|I am the reeve of the fort of {s9}. I manage the affairs of the castle in my lord's name.
; qstr_Your_highness|Your highness
; qstr_May_I_remind_you_tha|May I remind you that the populace is paying normal taxes to you?
; qstr_May_I_remind_you_that|May I remind you that the populace is paying low taxes to you? They are exceptionally grateful to you.
; qstr_May_I_remind_you_that_|May I remind you that the populace is paying high taxes to you? Your name is being cursed on every corner and at every market stall.
; qstr_Donngal_mayor_of_{s3|Donngal, mayor of {s3}, wants you to improve relations with his town before giving you information about Flaithbertach's grandchildren. You need to raise relations above 10 points.
; qstr_Donngal_told_you_tha|Donngal told you that Flaithbertach's grandchildren are at a farm near {s3}. It's time to return with the news to the abbot and collect your reward.
; qstr_Note_1:_You_chose_to_|Note 1: You chose to kill Flaithbertach's grandchildren.
; qstr_The_children_who_wil|The children who will be at the farm will be slaves. Dongall will hide Flaithbertach's grandchildren elsewhere.
; qstr_Note_1:_You_chose_to_s|Note 1: You chose to save Flaithbertach's grandchildren. You instead sacrificed the lives of other, slave children.
; qstr_Dongall_will_remove_|Dongall will remove Flaithbertach's grandchildren from the farm near Dinas Bran, so when the murderers come, they will not find anyone. It is possible that this will put you at odds with the highest power in Eriu, but you are willing to take that risk.
; qstr_Note_1:_You_chose_to_sa|Note 1: You chose to save Flaithbertach's grandchildren.
; qstr__May_I_remind_you_th| May I remind you that the populace is paying normal taxes to you?
; qstr__May_I_remind_you_tha| May I remind you that the populace is paying low taxes to you? They are exceptionally grateful to you.
; qstr__May_I_remind_you_that| May I remind you that the populace is paying high taxes to you? Your name is being cursed on every corner and at every market stall.
qstr_town|Cidade
qstr_village|Vila
; qstr_The_mayor_of_{s13}_h|The mayor of {s13} has asked you to deal with looters in the surrounding countryside.
; qstr_{s9}_of_{s3}_asked_y|{s9} of {s3} asked you to deliver {reg5} units of {s6} to the mead hall in {s4} in 7 days.
qstr_Escort_the_merchant_|Escolte a Caravana para a cidade de {s8}.
; qstr_Merchant_{s9}_of_{s4|Merchant {s9} of {s4} asked you to hunt down the troublesome bandits in the vicinity of the town.
; qstr_The_mayor_of_{s4}_ga|The mayor of {s4} gave you {reg12} peningas to pay the ransom of a girl kidnapped by bandits. You are to meet the bandits near {s3} and pay them the ransom fee. After that, you are to bring the girl back to {s4}.
; qstr_The_mayor_of_{s4}_pr|The mayor of {s4} promised you {reg12} peningas if you can make sure that {s12} and {s13} no longer pose a threat to a peace settlement between the {s15} and the {s14}. In order to do that, you must either convince them or make sure they fall captive and remain so until a peace agreement is made.
; qstr_The_mayor_of_{s14}_h|The mayor of {s14} has asked you to deal with a group of bandits terrorising the streets of {s14}. They only come out at night, and only attack lone travellers on the streets.
; qstr_The_mayor_of_{s10}_a|The mayor of {s10} asked you to move a cattle herd to {s13}. You will earn {reg8} peningas in return.
; qstr_Yes_{playername}_I_h|Yes, {playername}, I have a delicate task to ask of you. I was in the possession of a wonderful musical instrument, a {s13}, which was made by one of the greatest artisans of yore, {s50} of... well, not really sure where he was from. Regardless, it looks like it was stolen from me by a local guard. He went into hiding, and no one can find him. He's probably hiding in one of the local villages nearby. If you return {s13} to me, I will reward you with {reg33} peningas.
; qstr_{s10}^{s11}|{s10}^{s11}
; qstr_The_{s9}_of_{s3}_ask|The {s9} of {s3} asked you to recover a {s13} stolen from him.^^Look Into:^{s10}
; qstr_Yes_{playername}_one|Yes, {playername}, one of the merchants here is looking to expand, and he needs some stone for that. Unfortunately, with all the fighting around, bandits and all that, he was unable to procure the stone at the acceptable price. Perhaps, you can go to the nearest stone quarry and get {reg33} loads of stone?
; qstr_Yes_{playername}_one_|Yes, {playername}, one of the merchants here had an unusually high demand for salt lately, and he is running low. Unfortunately, with all the fighting around, bandits and all that, his last shipment never arrived, and he was unable to procure the salt at the acceptable price. Perhaps, you can go to the nearest salt mine and get {reg33} loads of salt for him?
; qstr_{s9}_of_{s3}_asked_yo|{s9} of {s3} asked you to bring {reg33} loads of {s33}.
; qstr___His_eyes_widen.__|--His eyes widen.--
; qstr_He_has_killed_many_p|He has killed many people, but he also killed my mother. I need to find him! (Phlegmatic)
; qstr_I_know_but_he_must_d|I know, but he must die! He is my mortal enemy now! Where is Sven, Thonkrik? (Melancholic)
; qstr_Sven_had_the_audacit|Sven had the audacity to attack my ship. He will pay dearly! Where is he? (Choleric)
; qstr_Sven_is_my_goal_now.|Sven is my goal now. Anyone who gets in my way is my enemy! Where is Sven? (Sanguine)
; qstr___He_looks_frightene|--He looks frightened.--
; qstr_Note_1:_Doccinga_fis|Note 1: Doccinga fishermen rescued you from the sea. Looks like you're the only survivor. Sven attacked your ship.
; qstr_{s9}_told_me_that_{s|{s9} told me that {s3}, jarl of {s1}, might know where Sven Bull Neck is.
; qstr___He_rubs_his_hands_|--He rubs his hands nervously.--
; qstr___He_points_to_the_s|--He points to the sea, where you can distinguish three sails.--
; qstr___He_seems_nervous_n|--He seems nervous, not gesturing with hands.--
; qstr_Thonkrik_from_{s3}_t|Thonkrik from {s3} told you that {s9} might be allied with Sven Neck Bull in his attempt to capture the throne of Friese.
; qstr_Note_4:_You_chose_to_|Note 4: You chose to kill the Viking prisoner in {s3}.
; qstr_Note_4:_You_chose_to_s|Note 4: You chose to spare the life the Viking prisoner in {s3}.
; qstr_Note_2:_The_Viking_p|Note 2: The Viking prisoner in {s3} told you there were other survivors of the attack on the Woden Ric. They seem to have been taken to a hideout that Sven Bull Neck has in Danmark.
; qstr_{s11}_told_me_that_I|{s11} told me that I have a boat waiting for me at a beach near to Doccinga. The only condition is to take his daughter with me. It's time to leave Friese.
; qstr__May_I_remind_you_that_| May I remind you that currently we are paying medium taxes to your {reg59?ladyship:lordship}?
; qstr__May_I_remind_you_that_c| May I remind you that currently we are paying low taxes to your {reg59?ladyship:lordship}? We are infinitely grateful for such generosity.
; qstr__May_I_remind_you_that_cu| May I remind you that currently we are paying high taxes to your {reg59?ladyship:lordship}? Many people are cursing you for your greed.
; qstr_Old_gods?_This_is_a_|Old gods? This is a concern. I have never faced any 'god' before. (Phlegmatic)
; qstr_Tell_me_more_about_t|Tell me more about these 'gods' and how are they watching you. (Melancholic)
; qstr_Look_at_me._I_m_here|Look at me. I'm here with you, listening, Caliacas. Tell me more about those 'gods' that watching you. (Choleric)
; qstr_Come_on_man_no_need_|Come on man, no need to be sad. Now I'm here, and I'll take care of this problem. Tell me, who is watching you? (Sanguine)
; qstr_Demons?_This_could_b|Demons? This could be a serious problem, indeed. (Phlegmatic)
; qstr_I_sure_hope_I_am_rea|I sure hope I am ready to face a 'demon.' (Melancholic)
; qstr_Morrigan_is_a_pretty|Morrigan is a pretty name, even for a 'demon.' (Choleric)
; qstr_Tuatha_De_Danann?_I_|Tuatha De Danann? I have no fear of 'demons.' (Sanguine)
; qstr_Caliacas_told_you_th|Caliacas told you that the evil attacking them is an ancient demon called Morrigan, the Raven Goddess, who leads a bunch of beasts. You've discovered that you're not the only hero destined to defeat Morrigan, and have to meet the other two in the burnt hut of the old man who worshiped the old gods.
; qstr_It_seems_that_there_|It seems that there is no problem in the village. It was all a false alarm. Now you just have to wait for the messenger from the two champions.
; qstr_{s40}_s_Levy|{s40}'s Levy
qstr_He_is_not_commanding|Ele não está comandando homens no momento.
; qstr_He_currently_command|He currently commands {reg0} men{reg1?, of which around {reg1} are wounded:}.
; qstr_{s33}_lost_1_point_o|{s33} lost 1 point of leadership
; qstr_{s33}_lost_1_point_of|{s33} lost 1 point of charisma
; qstr_{s33}_didn_t_suffer_|{s33} didn't suffer any injuries
; qstr_I_am_the_leader_of_t|I am the leader of this area. It was smart for you to ask me.
; qstr_Looking_for_men_who_|Looking for men who are willing to risk their skin for glory and wealth, eh?
; qstr_Interesting._You_re_|Interesting. You're looking for men and I, by coincidence, know people in the area.
; qstr_You_don_t_trust_me._I|You don't trust me. I understand. I may be new here, but I am a good person. (Phlegmatic)
; qstr_I_don_t_like_what_yo|I don't like what you say. I came here to recruit. Why waste my time? (Melancholic)
; qstr_Believe_me_I_have_li|Believe me, I have little patience. We can do things the easy way, or the hard way. (Choleric)
; qstr_I_see._Well_you_look|I see. Well, you look like someone reasonable. Let's negotiate... (Sanguine).
; qstr_You_a_good_person?_H|You, a good person? Ha! Your reputation says otherwise. Very much so.
; qstr_I_see_where_you_are_|I see where you are going. Well, I'd rather deal with you now than lose sleep waiting for you to kill me. Your reputation is completely justified.
; qstr_I_understand_for_you|I understand, for your reputation precedes you. I'd rather negotiate than be your enemy.
; qstr_There_is_no_negotiat|There is no negotiation between the cat and the rat.
; qstr_I_see_you_look_like_|I see, you look like a decent person. Let's talk.
; qstr_It_is_you_who_wastes|It is you who wastes my time and patience.
; qstr_You_ll_get_nothing_w|You'll get nothing with threats.
; qstr_Very_well._Let_s_sta|Very well. Let's start the negotiation.
; qstr_I_don_t_trust_you._S|I don't trust you. Stop wasting my time.
; qstr_I_see_where_you_are_g|I see where you are going. Well, I'd rather deal with you now than lose sleep waiting for you to kill me.
; qstr_Yes_yes_I_got_it._Yo|Yes, yes, I got it. Your way or your way.
; qstr_Negotiation?_Ha!_Fin|Negotiation? Ha! Find yourself a friend, for you can't count me as one!
; qstr_I_see_you_look_like_s|I see, you look like someone with a silver tongue. Well, let's talk.
; qstr_Yes_I_must_admit_you|Yes, I must admit you're right.
