qstr_Breaking_camp...|Levantando el campamento...
; qstr___He_spits_to_one_si|--He spits to one side, with apathy, before speaking.--
; qstr___His_face_is_pale._|--His face is pale. He has a moment of life left.--
; qstr___He_has_a_cough_tha|--He has a cough that makes him stoop. You see blood flowing from his side in less quantity, and his eyes begin to fade.--
; qstr_Note_4:_You_chose_th|Note 4: You chose that Olvir White Hair, brother of Sven Bull Neck, would die with his sword in his hands.
; qstr_Here_a_warrior_who_h|Here, a warrior who has fought well deserves Walhalla. Egil, give him his sword. (Justice)
; qstr___Egil_carefully_put|--Egil carefully puts the sword in the hand of Olvir, who looks at you gratefully.--
; qstr_Note_4:_You_chose_tha|Note 4: You chose that Olvir White Hair, brother of Sven Bull Neck, would die without his sword in his hands. You kept the weapon for yourself.
; qstr___He_looks_at_you_with_|--He looks at you with hate when you take his sword in your hand. Olvir's eyes shut, his lips utter a curse that does not reach your ears, and then, Olvir White Hair, brother of Sven Bull Neck, dies.--
; qstr_Sven_s_Bull_Neck_bro|Sven's Bull Neck brother, Olvir White Hair, has died at the Battle of Ulf's Farm. Egil thinks {s9} will use this to report you to the Assembly and demand blood compensation. Your companion has proposed for you go to visit {s11} again.
; qstr___The_prisoner_drink|--The prisoner drinks eagerly. He has an enormous thirst.--
; qstr_You_weakling!|You weakling!
; qstr_You_re_pathetic.|You're pathetic.
; qstr_You_give_me_grief.|You give me grief.
; qstr___He_is_relieved_by_|--He is relieved by your actions.--
; qstr___The_prisoner_looks|--The prisoner looks at you, confused, but he seems more relaxed.--
; qstr___The_prisoner_nods.|--The prisoner nods.--
; qstr___Your_blow_hits_the|--Your blow hits the prisoner's face, who nearly falls.--
; qstr___You_see_the_prison|--You see the prisoner grit his teeth, trying to endure the pain.--
; qstr___He_does_not_answer|--He does not answer, but you're sure he will be more collaborative now.--
; qstr___The_prisoner_screa|--The prisoner screams in pain. Maybe now he will be more cooperative.--
; qstr___The_prisoner_shout|--The prisoner shouts and cries in pain. You're sure he's going to answer your questions.--
; qstr___The_prisoner_s_scr|--The prisoner's screams are terrible. You've never heard a man shout so much.--
; qstr___He_seems_uncomfort|--He seems uncomfortable with the torture that you are subjecting the prisoner to, so rejoices when you ask for help.--
; qstr___The_prisoner_looks_|--The prisoner looks at him thoughtfully, weighing his options. Finally, he nods.--
; qstr___He_unsuccessfully_|--He unsuccessfully tries to say something, but just uses up his remaining energies.--
; qstr___He_grabs_his_club_|--He grabs his club tightly and laughs.--
; qstr___He_makes_a_gesture|--He makes a gesture of disgust.--
; qstr_My_name_is_Olafr_and|My name is Olafr, and I'd like to meet your sister.
; qstr_Sven_Bull_Neck_will_|Sven Bull Neck will kill you!
; qstr_You_re_an_asshole.|You're an asshole.
; qstr___He_looks_with_tire|--He looks with tired eyes.--
; qstr_Sven_Bull_Neck_order|Sven Bull Neck ordered me to disembark in Doccinga with several men and secure the site with a longphort. If all had gone well, our Lord Sigurd 'Snake in the Eye' would be sending another 100 men from Danmark, to help {s11} be crowned king. I know only a bit, but I think the jarl of Kennemer promised to send five hundred men on this summer's expedition in Englaland if he becomes king. However, this is no longer relevant. We failed, and Sigurd 'Snake in the Eye' will not sacrifice more men. He will need to help his brothers in Englaland. You can rest easy.
; qstr_{s3}^^{s4}|{s3}^^{s4}
; qstr_All_plans_of_{s9}_to|All plans of {s9} to be king have been ruined by your intervention. His ally, the Danish lord, {s11} 'Snake in the Eye,' will not send more troops because he is recruiting for reinforcements to Englaland. It seems Friese will be free from Viking attacks for some time, thanks to your effort. The paradox is that you now have to run away from the land that you have just helped save.
; qstr_I_know_nothing!|I know nothing!
; qstr___He_forces_a_smile.|--He forces a smile.--
; qstr_Sven_Bull_Neck_has_t|Sven Bull Neck has things more important to do. Sigurd 'Snake in the Eye' called on him a few days ago from Danmark. If you want to know where he is, go and ask Sigurd himself. But I suggest you ask him more nicely than you asked me.
; qstr_Sigurd__Snake_in_the|Sigurd 'Snake in the Eye' called Sven Bull Neck to Danmark. It looks like the jarl has some new mission for him. It looks it would be good to travel to Danmark and ask for {s11} 'Snake in the Eye.' {s6} could be a nice place to start.
; qstr_I_say_nothing_bastar|I say nothing, bastard!
; qstr___He_twists_his_mout|--He twists his mouth and looks at you with contempt.--
; qstr_Sigurd__Snake_in_the_|Sigurd 'Snake in the Eye' is Sven Bull Neck's jarl, and Sven is my hersir. Both of them are powerful men, great warriors, so stay away from them, or they will send you straight to hell.
; qstr_Sven_Bull_Neck_and_{|Sven Bull Neck and {s11}, 'Snake in the Eye,' are famous warriors in Danmark. You'll have to be careful if you intend to fight them.
; qstr_Scum!|Scum!
; qstr___He_tilts_his_head_|--He tilts his head and stares, pondering the answer.--
; qstr_You_wish_to_know_abo|You wish to know about the great Ragnar Lodbrok, from the Ynglingeaetten clan, descendants of Odin, eh? Well, he was a jarl feared by all Christians. He attacked Englaland and Frankia many times, and he is famous for his huge expeditions. He knew how to unite and lead men.
; qstr___He_looks_directly_|--He looks directly at you with emphatic blue eyes.--
; qstr_Ragnar_was_more_than|Ragnar was more than a man, and his sons, too -- he had many sons with his many wives, especially Lathgertha and Aslaug. Ivar the Boneless, Bjorn Ironside, Halfdan, Sigurd 'Snake in the Eye,' Ubbe, and others... He had more than ten sons and many daughters.^If you are so clever, you will avoid confronting them. You should even ask Sigurd's forgiveness for killing his men in Doccinga.
; qstr___He_spits_to_the_si|--He spits to the side before continuing.--
; qstr_Unfortunately_King_A|Unfortunately, King Aelle of Northhymbre, in Englaland, took Ragnar prisoner and threw him into a pit of poisonous snakes. Now, Ragnar's sons have gone to Northhymbre and killed its kings. Northhymbre is Danish land now, and soon the rest of Englaland will follow. Sigurd 'Snake in the Eye' and Ragnar's other sons are calling to arms many men in Danmark. They will join Ivar and Halfdan Ragnarsson and will advance over rest of Englaland, everyone knows.
; qstr_Note_1:_Ragnar_Lodbr|Note 1: Ragnar Lodbrok, a Viking now dead, had several wives, but the major were Lathgertha and Aslaug, and many children, some of whose names  are: Ivar the Boneless, Bjorn Ironside, Halfdan, Sigurd 'Snake in the Eye,' and Ubbe. Ragnar's sons are attacking Englaland in revenge for the execution of his father by a king now dead, Aelle of Northhymbre.
; qstr___He_thinks_for_a_fe|--He thinks for a few seconds.--
; qstr_Yes_we_attacked_some|Yes, we attacked some ships recently, before Sven Bull Neck went away from us to Northhymbre. I remember the Woden Ric because I liked its name. Woden was an important god in Englaland before all became Christians. I remember once meeting a family that still worshiped Woden in a village we looted. They were the only ones whose lives were spared. Woden, we call Odin.
; qstr_They_were_idiots._Th|They were idiots. They stopped in the wreckage of other ships we had attacked, and it took us just a few hours to catch them. The wind was favorable and we boarded them. There were only a few warriors on board, so it was easy.
; qstr___He_swallows.__|--He swallows.--
; qstr_Very_few_unfortunate|Very few, unfortunately. Usually we try to catch them to sell as slaves.
; qstr___He_raises_his_hand|--He raises his hand before you can answer.--
; qstr_The_port_master_of_{s|The port master of {s3} may know where Sven Bull Neck's hideout is. Talk to him and convince him to give you the information regardless. One often finds him outside, by the docks.
; qstr___One_of_the_captain|--One of the captains laughs loudly.--
; qstr_Hey_hey!_Enough_laug|Hey, hey! Enough laughter at my expense! Let Harald continue with the important things!
; qstr_You_ragr_insult_my_c|You, ragr, insult my children again, and I will slice you open from neck to navel.
; qstr___He_looks_at_you_with_i|--He looks at you with ill-concealed resentment and disgust.--
; qstr___He_spits_overboard|--He spits overboard before fixing his gaze on one of Sven's captains who happens to be at your side.--
; qstr___He_clears_his_thro|--He clears his throat and looks at you one by one.--
; qstr_Note:_Your_mother_is|Note: Your mother is now the wife and seidr of Sven Bull Neck. It seems her disease has reached the point at which she does not remember anything from the days before.
; qstr___Harald_remains_cal|--Harald remains calm, like a man accustomed to action, and begins to give orders.--
; qstr_Sven_Bull_Neck_attac|Sven Bull Neck attacked the part of the fleet led by Harald Haraldsson, killing {s9} and many of his fleet's men. {s9}'s last order was to inform {s11} about the betrayal of Sven Bull Neck. Find and talk to {s11} before Sven or any of his men do it, for giving the first report will give you more credibility.
; qstr___The_farmer_lowers_|--The farmer lowers his head and looks at his foot. His voice denotes sadness.--
; qstr___The_farmer_is_trem|--The farmer is trembling with fear.--
; qstr_My_{reg59?lady:lord}|My {reg59?lady:lord}! Do not kill me! I will give the land to the monks if necessary, but spare my life.
; qstr_You_threaten_me?_Loo|You threaten me? Look, my {reg59?lady:lord}, I just don't want more trouble than I already have.
; qstr___The_farmer_looks_i|--The farmer looks into your eyes. You see that he is crying.--
; qstr_I_know_I_cannot_do_a|I know I cannot do anything! I'll lose my land like others here. The monastery wants more land, and now I see that the jarl supports them. I'm tired of fighting them.
; qstr_I_m_not_a_liar_my_{r|I'm not a liar, my {reg59?lady:lord}!
; qstr_There_is_something_s|There is something strange with this document, don't you think? (Prudence)
; qstr_These_lands_are_impo|These lands are important to you, but without them, his family will starve. (Fortitude)
; qstr_Well_what_more_could|Well, what more could you tell me about this document? (Temperance)
; qstr_You_are_a_monk_a_man|You are a monk, a man dedicated to God. I trust what you say about this document. (Justice)
; qstr___You_watch_him_rub_|--You watch him rub his hands and dodge your look.--
; qstr_I_don_t_know._It_loo|I don't know. It looks correct to me, {reg59?lady:sir}
; qstr_Our_monastery_needs_|Our monastery needs lands for prosperity. We can't move our monastery, but this farmer can try his luck somewhere else, {reg59?lady:sir}.
; qstr_I_m_just_a_scribe_in|I'm just a scribe in the monastery! I copy the ancient Roman texts. While looking for an old useless parchment to scrape and prepare for another document, I found this.
; qstr_Err..._well..._My_I_|Err... well... My, I don't have answer for this.
; qstr___The_monk_is_trembl|--The monk is trembling with fear.--
; qstr_My_God_{reg59?lady:s|My God, {reg59?lady:sir}! Do not kill me! The abbot forced me to falsify the property deed. He wants this land, but please do not say anything.
; qstr_You_would_threaten_a|You would threaten a holy man? For shame!
; qstr___The_monk_lowers_hi|--The monk lowers his head, cowering.--
; qstr_I_ll_go_to_hell_for_|I'll go to hell for perjury! The abbot forced me to falsify the property deed. He wants this land, but please do not say anything.
; qstr_{s2}^^{s3}|{s2}^^{s3}
; qstr_I_m_not_a_liar_{reg5|I'm not a liar, {reg59?lady:sir}. The document is correct.
; qstr_Allt_veit_ek_Odinn_h|Allt veit ek, Odinn, hvar thu auga falt: i inum maera Mimis brunni...^^ Err... sorry.^^ Yes?
; qstr_Many_men_prefer_Thor|Many men prefer Thor to Odin, but I prefer Loki, he is the smartest of all the gods, but please don't tell anyone.
; qstr_Glad_and_Gyllir_Gler|Glad and Gyllir, Gler and Skeidbrimir, Sillfrintopp and Sinir, Gisl and Falhofnir, Gulltopp and Lettfeti. On these horses, the Aesir ride every day, when they go to court at the ashes of Yggdrasil.
; qstr_{s13}_asked_you_to_g|{s13} asked you to gather {reg3} head of cattle and deliver them back to him.
qstr_{s9}_wants_you_to_fo|{s9} quiere que sigáis a su ejército hasta que os indique lo contrario.
; qstr_{s9}_asked_you_to_sc|{s9} asked you to scout {s13}, {s14} and {s15}, and then report back.
; qstr___He_seems_impatient|--He seems impatient, even disappointed.--
; qstr___He_spits_angry.__|--He spits, angry.--
; qstr_It_seems_you_will_no|It seems you will not have the help of the king. You'll have to talk to {s11} 'Snake in the Eye' Ragnarsson directly.
; qstr_{s10}_won_t_support_|{s10} won't support you with Sigurd Ragnarsson.
; qstr_{s11}_supports_you_a|{s11} supports you and promises his protection while you try to get Ragnar's sword for him.
; qstr_It_seems_you_will_ha|It seems you will have the support of the king. It's time to try your luck with {s11} 'Snake in the Eye' Ragnarsson.
; qstr___Bodo_grabs_your_ar|--Bodo grabs your arm to keep you from leaving his side and waits until the king is away before looking into your eyes and speaking.--
; qstr___He_seems_hurt_puts|--He seems hurt, puts a hand over his heart, and looks at your eyes.--
; qstr_Bodo_lied_about_the_|Bodo lied about the sword of King Ragnar. What he was carrying was a letter of alliance for West Seaxe that is now in the hands of {s11}.
; qstr___The_king_seems_imp|--The king seems impatient.--
; qstr___He_remains_thought|--He remains thoughtful a moment.--
; qstr___He_looks_directly_i|--He looks directly into your eyes.--
; qstr___He_sighs.__|--He sighs.--
; qstr___His_hands_move_qui|--His hands move quickly as he explains his thoughts.--
; qstr_{s10}_needs_to_recov|{s10} needs to recover Bodo's letter in order to prevent its use by Sigurd 'Snake in the Eye' to get the Danmark jarls' favor in the Assembly. {s10} told you that a man of Sigurd's called Atli has the letter. However, Atli sailed from {s3} some time ago, and no one knows his fate. You should inquire with {s3} port master about this matter.
; qstr_{s10}_suggested_that|{s10} suggested that you talk to Ulf at his farmstead to convince him not to testify against you at the Assembly. In addition, {s10} said it would be a good idea to have good relations with the jarls of Danmark, so they would speak positively on your behalf at the Assembly (>15 relation points for neutral testimony, >30 for positive).
; qstr___Egil_walks_away_wi|--Egil walks away with King Horik for a moment, and you see them speak quietly. Then King Horik leaves, and Egil comes back to you.--
; qstr_Note_Egil:_You_chose|Note Egil: You chose to ignore that Egil was a spy of {s9} among your men.
; qstr_Reginhard_thinks_that|Reginhard thinks that you are a weak leader for not punishing Egil's betrayal.
; qstr_Your_men_think_that_you_are|Your men think that you are a weak leader for not punishing Egil's betrayal.
; qstr___Brunhild_s_eyes_ar|--Brunhild's eyes are a well of tears.--
; qstr___She_runs_away_from|--She runs away from you.--
; qstr___He_seems_hurt_puts_|--He seems hurt, puts a hand over his heart, and looks in your eyes.--
; qstr_Note_Egil:_You_warn_|Note Egil: You warn Egil that he will have to leave your party after the Assembly, as he was a spy of {s9} among your men.
; qstr_Note_Egil:_You_warn_E|Note Egil: You warn Egil that you will duel him to the death after the Assembly, as he was a spy of {s9} among your men and broke the heart of Brunhild.
; qstr___He_looks_worried._|--He looks worried.--
; qstr_Things_being_as_they|Things being as they are, I cannot do anything. (Phlegmatic)
; qstr_I_see._I_don_t_know_|I see. I don't know what to say. (Melancholic)
; qstr_Guthrum_s_dead_but_w|Guthrum's dead, but we're not. Trust me. I'll help you to get out of this. (Choleric)
; qstr_Nothing_is_lost._We_|Nothing is lost. We have thwarted all Sigurd's plans so far. (Sanguine)
; qstr_Yes_the_Norns_that_s|Yes, the Norns that spin our fates play with us. I hope that their next threads help us.
; qstr_Don_t_worry_about_it|Don't worry about it. I shouldn't try to speak about complex topics with you.
; qstr_I_m_not_so_sure._You|I'm not so sure. Your appearance in Danmark has benefited me in some ways, but in others, not so much.
; qstr_We_ll_see._Sigurd_is|We'll see. Sigurd is the most cunning of all the children of Ragnar.
; qstr___Harald_seems_tense|--Harald seems tense, his features hardened and eyes watchful. He protects his lord as close as his shadow.--
; qstr___Sven_Bull_Neck_app|--Sven Bull Neck appears to be a determined man, confident, and seemingly a born leader. He is tall and strong and possesses a strong voice. At long last, you see him face to face. He looks just as your mind remembers him as he attacked the Woden Ric and kidnapped your mother. Finally, right before you is the man who has so damaged you.--
; qstr___Sven_Bull_Neck_has|--Sven Bull Neck has tears in his eyes as he points with an accusing finger at you.--
; qstr_The_judges_nod_at_th|The judges nod at the words of Sven Bull Neck. This makes your situation more complicated.
; qstr___Egil_whispers.__|--Egil whispers.--
; qstr___One_judge_near_the|--One judge, near the big rock, looks first at Sven and Jarl Sigurd, then at you and King Horik. Then he speaks.--
; qstr_The_judges_nod_at_yo|The judges nod at your words. Your situation seems to improve before your eyes.
; qstr___Sven_Bull_Neck_smi|--Sven Bull Neck smiles.--
; qstr___Egil_comes_forward|--Egil comes forward before the judges.--
; qstr___The_judges_confer_|--The judges confer among themselves for a moment, and then the spokesman speaks.--
; qstr_The_judges_nod_at_the|The judges nod at the words of Egil. This makes your situation improve before your eyes.
; qstr_The_judges_shake_the|The judges shake their heads. This makes your situation improve before your eyes.
; qstr_I_know_{playername}_|I know {playername}, I would put my hand in the fire for {reg59?her:his} innocence.
; qstr_The_judges_nod_at_hi|The judges nod at his words. This makes your situation improve very much before your eyes.
; qstr_In_my_opinion_{playe|In my opinion, {playername} is innocent.
; qstr_The_judges_nod_at_his|The judges nod at his words. This makes your situation improve before your eyes.
; qstr_I_do_not_have_enough|I do not have enough information to assess for or against.
; qstr_In_my_opinion_{player|In my opinion, {playername} is guilty of murdering Olvir White Hair.
; qstr_The_judges_nod_at_his_|The judges nod at his words. This makes your situation more complicated.
; qstr___The_judges_confer_a|--The judges confer among themselves for a long time, and then the spokesman speaks.--
; qstr___Sigurd_steps_forwa|--Sigurd steps forward, attracting everyone's attention. He is a respected and feared man, and the shadow left by his father is still long.--
; qstr___While_Sigurd_conti|--While Sigurd continues his speech, Harald approaches King Horik, his face tense and his voice soft.--
; qstr___Egil_moves_his_han|--Egil moves his hands nervously, his forehead beaded with sweat.--
; qstr_Your_men_think_that_you_are_|Your men think that you are a weak leader for accepting being a scapegoat.
; qstr_Do_not_rush_to_actio|Do not rush to action, King Horik. Sigurd has nothing; Atli is dead. (Wisdom)
; qstr_We_will_be_allowed_t|We will be allowed to reply to Sigurd and can trust in the Assembly. (Fortitude)
; qstr_Egil_this_is_the_tim|Egil, this is the time to show your father the strength of your nerve. (Temperance)
; qstr_I_would_accept_my_pu|I would accept my punishment without hesitation if I were guilty, but I am not. (Justice)
; qstr_You_speak_wisely._I_|You speak wisely. I approve and agree with your words. We must not do anything that would cost us the respect of the Assembly. The balance of power is very delicate, and here the jarls are very important. We need to see what Sigurd has against us.
; qstr_The_Assembly_s_decis|The Assembly's decision will rest on the position of power between parties. Hence, we must not do anything that would cost us the respect of the Assembly. The balance of power is very delicate, and here the jarls are very important. We need to see what Sigurd has against us.
; qstr_Egil_listen_to_{play|Egil, listen to {playername} and learn. We must not do anything that would cost us the respect of the Assembly. The balance of power is very delicate, and here the jarls are very important. We need to see what Sigurd has against us.
; qstr_You_are_right._Moreo|You are right. Moreover, we must not do anything that would cost us the respect of the Assembly. The balance of power is very delicate, and here the jarls are very important. We need to see what Sigurd has against us.
; qstr___Sigurd_s_face_seem|--Sigurd's face seems imperturbable. Even the movements of his body are fully controlled even as he releases a speech that is able to dethrone a king.--
; qstr___Everyone_starts_ta|--Everyone starts talking at the words of Sigurd. A lot of tension fills the air. Finally, the judges ask for calm.--
; qstr___King_Horik_s_face_|--King Horik's face is livid.--
; qstr___Reginhard_seems_un|--Reginhard seems uncomfortable when all eyes turn to him. He especially tries to avoid your eyes.--
; qstr___Egil_suffers_a_ner|--Egil suffers a nervous attack and shouts.--
; qstr___Reginhard_looks_sa|--Reginhard looks sad.--
; qstr_The_judges_nod_at_the_|The judges nod at the words of Reginhard. This makes your situation very complicated.
; qstr___Reginhard_looks_do|--Reginhard looks down and speaks quietly.--
; qstr_I_have_always_treate|I have always treated you well. I do not understand what has happened. (Phlegmatic)
; qstr_You_know_that_I_had_|You know that I had no choice with Thiaderd, Olvir or anyone else. (Melancholic)
; qstr_Wherever_you_may_hid|Wherever you may hide from now on, I will find you and kill you. (Choleric)
; qstr_You_betrayed_Thiader|You betrayed Thiaderd, and now you are betraying me. You are a curse, Reginhard. (Sanguine)
; qstr_What_happened_is_tha|What happened is that Thiaderd is dead, and I have to live with that. Now at least I know he will be avenged.
; qstr_I_m..._sorry._I_do_w|I'm... sorry. I do what I have to do.
; qstr_I_do_not_think_so._W|I do not think so. We will never see one another again. I'll have my farm, my wife and the protection of a jarl. You'll be dead or an outlaw.
; qstr_I_am_damned..._For_t|I am damned... For this reason, I need to begin a new life far away from you or Friese.
; qstr___King_Horik_clears_|--King Horik clears his throat.--
; qstr___For_a_few_seconds_|--For a few seconds, Sigurd loses composure.--
; qstr_The_judges_nod_at_you|The judges nod at your words. This makes your situation improve before your eyes.
; qstr_The_judges_seem_anno|The judges seem annoyed.
; qstr___Sigurd_Ragnarsson_|--Sigurd Ragnarsson pushes Sven back and takes the floor.--
; qstr_Your_men_think_that_you_are_a|Your men think that you are a poor leader to need them to pay your wergild.
; qstr_The_Assembly_has_dec|The Assembly has decreed a duel to the death to decide whether Reginhard is guilty of lying or not. You've decided to take on Reginhard in order to punish him for his betrayal and for tarnishing the names of you and the king.
; qstr_The_Assembly_has_decr|The Assembly has decreed a duel to the death to decide whether Reginhard is guilty of lying or not. You've decided to take on Reginhard to punish him for his betrayal and for tarnishing your name and that of the king.
; qstr_The_Assembly_has_decre|The Assembly has decreed a duel to the death to decide whether Reginhard is guilty of lying or not. You've decided to defend Reginhard and fight against Egil.
; qstr_Your_men_think_that_you_are_a_|Your men think that you are a weak leader to let Reginhard live and defend him despite his betrayal.
; qstr___He_clears_his_throa|--He clears his throat.--
; qstr_The_Assembly_has_decree|The Assembly has decreed that you join the fleet that Danmark will send to Englaland in support of Ragnar's sons. As soon as the holmgang is over, assuming you are the winner, you must meet Asbjorn in the mead hall of {s3}.
; qstr___Another_judge_take|--Another judge takes the floor. He shifts his gaze from one party to the next until his eyes rest on you.--
; qstr___King_Horik_quickly|--King Horik quickly accepts more control over the actions of Jarl Sigurd.--
; qstr___Sigurd_Ragnarsson_s|--Sigurd Ragnarsson shows no sign of either satisfaction or dissatisfaction.--
; qstr___Aelfred_of_West_Se|--Aelfred of West Seaxe is a small man, bony, with straight hair and a prominent jaw. He doesn't stand out as much as other men, but there is something remarkable in his appearance.--
; qstr___He_takes_the_letter|--He takes the letter and reads it slowly. He looks at you when he finishes.--
; qstr_Your_men_think_that_you_r|Your men think that you relay information to the Saxons, in disrespect to your agreement with Bjorn.
; qstr_Your_men_think_that_you_h|Your men think that you have acted boldly with respect to your promise to Bjorn.
; qstr___His_face_tired_and|--His face, tired and dirty, shines at the news, as if he'd received a little joy.--
; qstr_The_morale_of_the_de|The morale of the defenders improves at your words.
; qstr___His_face_thin_and_|--His face, thin and dirty after so long a siege, looks even more tired.--
; qstr_The_morale_of_the_def|The morale of the defenders falls at your words.
; qstr___His_face_shows_ala|--His face shows alarm.--
; qstr___Three_men_well_arm|--Three men, well-armed warriors, have approached while you were talking.--
; qstr___Ivar_looks_at_you_|--Ivar looks at you with intelligent eyes, studying you, trying to measure the utility or risk you represent.--
; qstr___Ivar_looks_at_you_w|--Ivar looks at you with eyes cold as ice, weighing whether your words are a joke. His mouth twists into a cruel grin, and his sharp face muscles tighten. He looks like he will say something, but then he shuts up. You do not know if that's good or if he just added you to a private list of enemies.--
; qstr___Ivar_looks_at_you_wi|--Ivar looks at you with eyes cold as ice, examining you and evaluating you.--
; qstr___Ivar_smiles_but_th|--Ivar smiles, but the smile has little that is friendly in it. His thin lips simply curve up, conveying contempt and threat at the same time.--
; qstr_Return_to_{s11}_and_|Return to {s11} and tell him that his brothers accepted meeting with the Saxons.
; qstr___He_takes_you_aside|--He takes you aside, his lips curved down, his face is deep red, and he looks at you with fury.--
; qstr___He_looks_carefully|--He looks carefully at you for a few seconds, watching you with an eye surrounded by a serpent.--
; qstr___He_looks_suspiciou|--He looks suspiciously at you.--
; qstr_Collect_more_than_tw|Collect more than two hundred men for Sigurd Ragnarsson.
; qstr_Collect_two_hundred_|Collect two hundred men for {s11}.
; qstr___He_looks_surprised|--He looks surprised.--
; qstr_You_don_t_trust_me!_|You don't trust me! I understand, but it is very important for me to see my mother. Sven Bull Neck attacked the ship on which I was traveling and kidnapped my mother. He had mistaken the person because of an object she was carrying. (Phlegmatic)
; qstr_I_think_you_misunder|I think you misunderstood me. I'm not leaving here without my mother. Sven Bull Neck attacked the ship on which I was traveling and kidnapped my mother. He had mistaken the person because of an object she was carrying. (Melancholic)
; qstr_I_m_not_an_ordinary_|I'm not an ordinary {reg59?woman:man} either. Let me see Sven Bull Neck and my mother, or I will become your worst enemy. Sven Bull Neck attacked the ship on which I was traveling and kidnapped my mother. He had mistaken the person because of an object she was carrying. Where is she? (Choleric)
; qstr_I_think_that_we_have|I think that we have started on the wrong foot. Tell me where Sven Bull Neck is, and I will not bother you further. I just want to find my mother. Sven Bull Neck attacked the ship on which I was traveling and kidnapped my mother. He had mistaken the person because of an object she was carrying. (Sanguine)
; qstr_Your_mother_is_the_w|Your mother is the woman touched by the gods? Yes, Sven brought her to me, as I had asked. She was carrying an object, a letter from overseas that had to be intercepted. I talked to her, yes... She spoke about a man called Bodo, who had given her the letter on a ship called the Woden Ric. Do you recognize that name?
; qstr_You_destroy_my_plans|You destroy my plans in Doccinga and now threaten me? You're either a complete idiot or as crazy as your mother. You're lucky I'm still interested in your answers. Yes, Sven brought a woman touched for the gods to me, as I had asked. She was carrying an object, a letter from overseas that had to be intercepted. I talked to her, yes... She spoke about a man called Bodo, who had given her the letter on a ship called the Woden Ric. Do you recognize that name?
; qstr_Your_mother_is_the_wo|Your mother is the woman touched by the gods? Yes, Sven brought her to me, as I had asked. She was carrying an object, a letter from overseas that had to be intercepted. I talked to her, yes... She spoke about a man called Bodo Vimaraniz, who had given her the letter on a ship called the Woden Ric. Do you recognize that name?
; qstr___He_looks_at_you._H|--He looks at you. His eyes, his hard features, and even the wrinkles on his face communicate extreme seriousness.--
; qstr_{s9}_accepted_your_d|{s9} accepted your deal. You gave Bodo to him, and he told you he would send Sven Bull Neck and your mother to a farm near {s3}.
; qstr_{s9}_has_proposed_a_|{s9} has proposed a deal: to exchange Bodo for Sven Bull Neck and you mother at a farm near {s3}.
; qstr_Note_Bodo:_you_chose|Note Bodo: you chose to deliver Bodo to {s11} in exchange for your mother.
; qstr_Note_Bodo:_you_chose_|Note Bodo: you chose to be loyal to Bodo and not deliver him to {s11} at the exchange at the farm.
; qstr_Sven_is_my_goal_too.|Sven is my goal too. I want to join the hunt. (Phlegmatic)
; qstr_Sven_is_mine!_I_want|Sven is mine! I want him dead! I need to join the hunt. (Melancholic)
; qstr_No_you_listen_to_me!|No, you listen to me! I want to make Sven pay for what he did. Give me the men! (Choleric)
; qstr_Yes!_Those_are_just_|Yes! Those are just the words I wanted to hear. Attack him at sea! (Sanguine)
; qstr_Your_goal?_Who_are_y|Your goal? Who are you? Do you have ships and men?
; qstr_Yours?_Sven_is_a_mur|Yours? Sven is a murderer, but he isn't an idiot. He will be waiting for us, and his men are veteran Vikings. If you want to attack him, go ahead, but I hope you have many men and ships.
; qstr_Beware!_You_may_be_i|Beware! You may be in my house, but the hospitality you enjoy has a limit. Watch your words!^^Now, you'll have to find your own men and boats to undertake such an expedition.
; qstr_Your_enthusiasm_glad|Your enthusiasm gladdens me. I wish my men thought alike, but they are too afraid of Sven. How many men and ships can you bring to the hunt?
; qstr___He_looks_into_your|--He looks into your eyes, taken by surprise.--
; qstr_This_hunt_is_my_life|This hunt is my life now, sir. I can be very persistent. (Phlegmatic)
; qstr_Sir_I_have_lost_ever|Sir, I have lost everything... I have only revenge to live for now... (Melancholic)
; qstr_I_shall_not_leave_un|I shall not leave until you give me a chance. I'll sit in your door until you do. (Choleric)
; qstr_You_just_cannot_see_|You just cannot see it now, but you need me, sir. I'm not afraid of Sven! (Sanguine)
; qstr_Alright!_Alright!_I_|Alright! Alright! I see... Well I have an idea. Listen to me.
; qstr_Oh_by_Thor!_This_isn|Oh, by Thor! This isn't necessary, is it, {reg59?woman:man}? Alright, I will give you one opportunity.
; qstr_Yes_yes_you_are_very|Yes, yes, you are very serious. Well, I have an idea.
; qstr_Someone_who_is_not_a|Someone who is not afraid of Sven is a fool, but maybe I should give you a chance to prove your worth.
; qstr_You_have_offered_you|You have offered your services to {s11}, in exchange for allowing you join the hunt for Sven Bull Neck. {s11} has asked you to prove your worth.
; qstr___He_makes_the_sign_|--He makes the sign of Odin to ward off bad luck.--
; qstr_{s11}_wants_the_prob|{s11} wants the problem of land property solved at a nearby monastery. Talk to the abbot of Willibrord Monastery, near {s3}.
; qstr_Note:_The_jarl_has_a|Note: The jarl has asked you to solve this issue in his best interests, by which he meant not to upset the monks.
; qstr_{s9}_sent_you_to_rec|{s9} sent you to recruit fifteen men in Friese villages and towns. As soon as you have raised this force, return to talk to him.
; qstr_{s11}_wants_Thiaderd|{s11} wants Thiaderd dead. You need to talk to Reginhard at {s3}'s mead hall. He knows where Thiaderd is hiding.
