
ui_music_volume|Głośność muzyki:
ui_switch_to_module_question|Na tym serwerze działa na innym module niż Twoja gra. Czy chcesz żeby Mount&Blade przełączyło na odpowiedni moduł?
; ui_download_module_question|This server is running a module that is not installed on your computer. Would you like to visit the download site for this module now?
; ui_download_mb_new_version_question|This server is running a newer version (%d.%d%d%d) of Mount&Blade than the one you are currently running (%d.%d%d%d). Would you like to visit TaleWorlds download site now?
; ui_download_mb_old_version_question|This server is running an older version (%d.%d%d%d) of Mount&Blade and than the one you are currently running (%d.%d%d%d).
; ui_download_module_new_version_question|This server is running a newer version (%d.%d%d%d) of the current module than the one you are running (%d.%d%d%d). Would you like to visit the download site for this module now?
; ui_download_module_old_version_question|This server is running an older version (%d.%d%d%d) of the current module than the one you are running (%d.%d%d%d).
; ui_authenticating_with_steam|Authenticating with Steam...
; ui_validating_serial_number|Validating serial number...
; ui_scanning_lan|Scanning local area network...
; ui_retrieving_servers|Retrieving server list...
; ui_shield_size2|Size: %dx%d
; ui_click_to_view_notes|Click to view notes
; ui_retrieving_server_infos|Retrieving information from servers (%d)...
; ui_connecting_to_server|Connecting to server...
; ui_requesting_to_join_the_game|Requesting to join the game...
; ui_loading|Loading...
; ui_group_value_control|Group %d!
; ui_drop_weapon|Drop Weapon
; ui_multiplayer_message_all|Send Message to Everyone
; ui_multiplayer_message_team|Send Message to Team
; ui_command_line|Command Line
; ui_use_ranged_weapon_as_melee|Toggle Weapon Mode
; ui_send_message_all|Send Message to Everyone
; ui_send_message_team|Send Message to Team
; ui_select|Select
; ui_context_menu|Context Menu
; ui_round_starts_in_value_seconds|Round starts in %d seconds...
; ui_watching_value|Following %s
; ui_capital_spec|SPEC
; ui_capital_dead|DEAD
; ui_instancing_error1|Could not lock Instance Buffer (size: %d), Disabled mesh-instancing (Error Code: %d)
; ui_instancing_error2|Could not fit instanced objects, Disabled mesh-instancing
; ui_by_keyboard|By movement keys
; ui_combat_speed_slowest|Slowest
ui_combat_speed_slower|Wolniej
ui_combat_speed_normal|Normalny
ui_combat_speed_faster|Szybciej
; ui_combat_speed_fastest|Fastest
; ui_module_newer_than_application|The module you have selected requires a newer version of the game.
; ui_module_older_than_application|The module you have selected requires an older version of the game.
; ui_unbalanced|Unbalanced
; ui_can_crush_through_blocks|Can crush through blocks
; ui_turn_camera_with_horse|Turn Camera with Horse in First Person:
; ui_widescreen_mode_on|Multiple Screen Mode Enabled
; ui_widescreen_mode_off|Multiple Screen Mode Disabled
; ui_notification_cant_upgrade|(Can't upgrade: not enough money)
; ui_turn_never|Never
; ui_turn_ranged_only|Ranged only
; ui_turn_melee_only|Melee only
; ui_turn_always|Always
; ui_general_options|General Options
; ui_vac_enabled|Valve Anti Cheat Enabled
; ui_campaign_ai|Campaign AI:
; ui_downloading_map|Downloading map (%d KB)
; ui_download_completed|Download completed.
; ui_server_filter|Server filter
; ui_has_players|Has players
; ui_is_not_full|Not full
; ui_is_password_free|No password
; ui_native_only|Native only
; ui_ping_limit|Ping limit
; ui_filter_info|%d games and %d players filtered
; ui_is_version_compatible|Compatible with version
ui_ttnet_account|Konto TTNET Oyun
ui_username|Nazwa użytkownika
ui_password|Hasło
ui_error_incorrect_username_or_password|Niewłaściwa nazwa użytkownika lub hasło
ui_validating_account|Sprawdzanie konta
ui_plase_enter_your_serial_key|Proszę podać numer seryjny
ui_texture_detail2|Jakość tekstur:
ui_antialiasing2|Antialiasing:
; ui_troop_upgrades|Troop Tree
; ui_crouch|Crouch
