str_yes|Si.
; str_npc15_kingsupport_1|Well, you pay your men on time, when you can, generally speaking. That's the best qualification for kingship there is, in my book. You also show some respect for the rights of others.
; str_npc16_kingsupport_1|It seems to me that you hear my words and that your soul stirs before Christ's teachings. Yes, I am sure that God not only approves but is planning your ascension as a rightful king over the sinful people of these lands.
; str_npc1_kingsupport_2|Sure would, warlord, but let me tell you what might bring others to your cause -- particularly us poor folk. They tell us that in the old days, the great Roman lords -- they were called governors, or maybe senators, I can't remember -- would, upon ascending to power, issue amnesty for all but the worst prisoners in the land's dungeons, giving people a second chance to make something of themselves.
; str_npc2_kingsupport_2|Most of the lords of this land, well, let's just say that they never held a pening that they didn't keep as rent or loot. You, on the other hand, have some experience of commerce and trade, due to acting as warlord and managing your domains. If you like, warlord, I reckon I could find some support for you among the men of this realm.
; str_npc3_kingsupport_2|I would, my {reg59?lady:lord}, but I would ask you to establish at least a minimal amount of rights for slaves. They need to be protected from further abuse. You know I was a slave, and we are the most abused people in the land. Slaves really need to be protected by a rightful and fair ruler.
; str_npc4_kingsupport_2|Of course, warlord. The trick is now to get others to follow you. As you know, one's lineage is a great determinant of one's worthiness. Perhaps you have a long-lost ancestor of whom you have not told me...
; str_npc5_kingsupport_2|I would, but there is something I should say on behalf of men that have been wronged like I have. There must be a way for feuding nobles to have their disputes resolved without bloodshed. I lost everything I cherished in life because the only honorable option my king had left me was to murder my enemies. There should be some kind of law, some kind of... common law, to settle this kind of feud, or, maybe, any kind of dispute. That law would be based on the uses and customs of the land.
; str_npc6_kingsupport_2|I would. I would tell anyone who listens of your deeds on behalf of the weak and helpless and of your ability to lead men against great odds and triumph. I would tell them that, if you were to become {reg59?queen:king}, there would be one law and one peace -- from the Pictish highlands to the Goidelic woods, from the lowlands to the southern shore. But you must have the goal to go further and reunite what was once a glorious empire, to rival that of Rome.
; str_npc7_kingsupport_2|Yes, warlord, I would. A {reg59?queen:king}'s duty is to adequately respect all men and women that serve under {reg59?her:his} banner. You have proven more than able to do this, for, to you, the hunter and the tracker, the woman and the Pict, are as important as the warrior and the soldier, as the man and the Briton.
; str_npc8_kingsupport_2|I would -- on one condition. You'd be king wherever you want to rule, but after you are installed in your hall and your rule is unchallenged throughout the land, you will help me to free Friese.
; str_npc9_kingsupport_2|I would, warlord, and others would, too. But here's what I think -- you need to show the noble lords that you'll uphold their ancient rights. Right now, these lands are a mess. A lord owns the land, except it's the king who owns the forest, but the city has the right to levy tax at its gates, yet any commoner can use the pastures on odd Tuesdays, except in Pictland, where there is not so much as a notion of order at all. So I say you make things simple, like it was in the old days before even the Romans conquered Britannia. First the {reg59?sovereign:king}, then the lords, then everyone else.
; str_npc10_kingsupport_2|Certainly, dryhten, but I'd ask that you consider an idea of mine. If you became {reg59?queen:king}, then I'd ask you to open your court to Saxon nobility only. The others are weak, fragile and cowardly, and their only place in your kingdom should be as peasants, servants or slaves.
; str_npc11_kingsupport_2|Of course I would! I am sure, by the way you act, command and fight, also by the way you walk, and speak and love... that you are the only person worthy enough to become Brytenwalda.
; str_npc12_kingsupport_2|Of course, warlord, but if I have learned anything in my travels in this land, it is that Vikings, Saxons, Franks, and all else are sticklers for tradition. These traditions vary from one to the other, but they all remember something of the old Roman Empire, especially the Franks, who are said to be its heirs.
; str_npc13_kingsupport_2|I would indeed, {reg59?madame:sir}. I think you can unite this land, and then we'll be able to raise an army such as Englaland has never seen -- Saxons, Angles, Picts, Norse, Goidels and even Britons, all together in one strong and invincible shield wall. We will travel to the continent in strong sea vessels to subdue all the lands of the Franks!
; str_npc14_kingsupport_2|Of course, my {reg59?lady:lord}. Also, when claiming a throne, it does not hurt to be the subject of an epic poem, recited around camp and hearth fires, describing one's heroic deeds. As you no doubt know, I fancy myself a fair crafter of couplets. You could be as famous as Cu Chulainn, if only you let me sing of your deeds.
; str_npc15_kingsupport_2|I would. People might say that perhaps you don't have royal blood in your veins, but from what I've seen, royal blood makes one essentially a beggar. Kings and nobles take out loans or commission building projects without half a thought to how they're ever going to pay back all those commoners who expect little more than to eat after an honest day's work. If you ask me, an honest tongue makes a {reg59?woman:man} a {reg59?queen:king}, not a fancy pedigree.
; str_npc16_kingsupport_2|Of course! I know that you plan to search out and burn any remnant of heresy and paganism in these lands. I know that you will only rest when there is no trace of the Devil in the hearts of your subjects, when every man, woman and child will have only the Holy Bible as their guide, as properly interpreted by a priest. Is your soul so pure as to do as I say?
str_npc1_kingsupport_2a|Prego andate avanti...
str_npc2_kingsupport_2a|Prego, continuate...
; str_npc3_kingsupport_2a|I'm interested in hearing it...
; str_npc4_kingsupport_2a|Of course! Let me tell you all about him...
str_npc5_kingsupport_2a|Prego andate avanti...
; str_npc6_kingsupport_2a|Splendid! That was exactly what I was thinking.
; str_npc7_kingsupport_2a|Well, yes, I try to be fair to everyone...
; str_npc8_kingsupport_2a|Fair enough.
str_npc9_kingsupport_2a|Sembra abbastanza sensato...
; str_npc10_kingsupport_2a|Of course! Everyone knows only Saxons are fit to be nobles.
str_npc11_kingsupport_2a|Dimmi di più.
str_npc12_kingsupport_2a|Interessante. Prego andate avanti...
str_npc13_kingsupport_2a|Prego andate avanti...
; str_npc14_kingsupport_2a|Very good, captain.
; str_npc15_kingsupport_2a|Well spoken, Strategos!
; str_npc16_kingsupport_2a|Of course I am. We are nothing but instruments of God.
str_npc1_kingsupport_2b|Lascia stare.
str_npc2_kingsupport_2b|Non chiedo il loro supporto, come se non volessero approfittarne.
; str_npc3_kingsupport_2b|I have no intention of helping any more slaves, sorry.
; str_npc4_kingsupport_2b|I don't have any, unfortunately.
; str_npc5_kingsupport_2b|No, I believe the lords should resolve their disputes by blood, and blood only. Laws are only useful to the weak.
; str_npc6_kingsupport_2b|I am sorry, but my future kingdom will not meddle with continental affairs.
; str_npc7_kingsupport_2b|Sorry. I respect you for your abilities, but warriors, men, and Britons are much more deserving than others.
; str_npc8_kingsupport_2b|That's a pretty tall condition. By the time I am {reg59?queen:king}, Friese will probably have freed itself from the Danish.
str_npc9_kingsupport_2b|Non sono sicuro che realizzare la vostra idea sia così semplice come pensate 
; str_npc10_kingsupport_2b|You are out of your mind. There are valorous and noble men from every nation.
; str_npc11_kingsupport_2b|I do not want to be a Brytenwalda. Forget it.
; str_npc12_kingsupport_2b|Enough, sir. I will not have you mock our traditions.
; str_npc13_kingsupport_2b|Actually, I was looking forward to a bit of rest after becoming king. I want nothing to do with the rest of Europe!
; str_npc14_kingsupport_2b|Hmm. I'm not sure about that. Cu Chulainn had a tragic and early death. I don't want to be linked to him.
; str_npc15_kingsupport_2b|{reg59?Queen:King} of the weak and the poor, maybe. Enough of such talk.
; str_npc16_kingsupport_2b|No disrespect, but I'm not as sure that's what I'd do. Perhaps God would not like that at all.
; str_npc1_kingsupport_3|If I could go about this land for a few weeks, I'd tell the common folk that you would give amnesty to their kinfolk like the Roman -- um, consuls, I think -- of old. Well, soon they would start talking of you as a rightful king, and that would pave your way to the throne. Shall I do that, warlord?
; str_npc2_kingsupport_3|If you like, warlord, I can take a few weeks to visit the areas where I have contacts. I'll explain to them that, in you, they will have a {reg59?ruler:king} who will check the rapacious nobles, who, with their tariffs and taxes, strangle commerce for the sake of a few extra peningas to spend on their wars and their feasts. What do you say to that, warlord?
; str_npc3_kingsupport_3|If you were to protect the poor slaves, even slave girls, I am sure most of the common people would see you as a kind and just {reg59?queen:king}. So, if you can give me a few weeks, I will travel the countryside, telling every poor man and woman that fears enslavement due to debt or war that, under your rule, they would still have protection and rights.
; str_npc4_kingsupport_3|I shall travel about the villages and forts over the next several weeks and spread word of your rights. Of course, I hope that you will remember your faithful subject when it comes to distributing lands after you are a crowned and powerful monarch.
; str_npc5_kingsupport_3|Anyway, {reg59?lady:lord}, if I could take a few weeks, I'd let men know that, when you are {reg59?queen:king}, you will institute a common law, based on tradition and customs, to resolve the disputes within the realm, be they about nobles or commoners. I am pretty sure they will all be more than happy to support your claim, since you will bring justice consistently to all the lands under your rule.
; str_npc6_kingsupport_3|Very well. Although I am now a stranger to my family, I have entered many a noble's hall in your train, and I reckon I would be welcome again. I shall go about this land and tell the nobles that, when you are {reg59?queen:king}, you will strive your hardest to protect the weak and crush discord, so that no man will raise his hand against another with impunity, and one day, perhaps, Britannia will rule over all the world.
; str_npc7_kingsupport_3|I'll tell you what, warlord. Give me a few weeks and I'll go to some of the villages -- stinking hovels that they are, but, anyway, I'll tell the people there that once you unify this land, every man and woman, of every profession and business, will be equally treated and respected when in your service. This way, all will reckon you as a {reg59?woman:man} whose claim to the throne is supported by fairness and justice.
; str_npc8_kingsupport_3|Good! Then give me a few weeks. I'll go about the courts of this land, letting it be known that you're like the legendary warriors of old, and that your strength, courage, prowess and ability alone are more than enough to back up your claim to the throne. Everyone shall speak of you as the new Beowulf, the successor of Arthur himself, the only one capable of bringing peace to this troubled land.
; str_npc9_kingsupport_3|It's perfectly sensible, {reg59?madame:sir}. We'll be free of those cursed merchants' audiences and petitions and scrolls that take up all of my time and yours, when we should both be out fighting for the glory of your kingdom. Give me leave, and I shall spread word among the noble lords of this land that you're here to restore the old ways. I bet, after that, there will plenty who will follow you into battle.
; str_npc10_kingsupport_3|Well then, Dryhten, give me leave for a few weeks, and I can go about this land to let every Saxon noble know that Englaland will belong to them, and to them only, when you are their king. I am certain many of them will be more than happy to join your cause, to support a man with such good judgment of people and nobility.
; str_npc11_kingsupport_3|Then, even though it will hurt me more than anything else, let me be apart from you for a little while. I will travel the land singing of your great conquests, both in war and in love. I will tell how you are like Thor himself, and no one else than you deserves to be Brytenwalda. There's many where I come from who are waiting for a worthy ruler, and I can give the rest a little taste of my spear. Give me a few weeks -- even though it will hurt you too, I know -- and I'll have quite a few expecting you to be their next {reg59?queen:king}.
; str_npc12_kingsupport_3|The crown should go to the one most fit to govern -- which would be you, naturally. Give me a couple of weeks, and I'll write a tract that will prove it. Then I'll find a copyist to post a version in every mead hall in the land. What do you say to that idea, warlord?
; str_npc13_kingsupport_3|Give me leave for a few weeks, {reg59?madame:sir}, and I will let all the worthy men of this land know that you are the one to unite not just Englaland but all the world. For, according to my thinking, no one should be {reg59?king or queen:king} here unless they have the capacity to rule the entire world, and you alone have demonstrated such a capacity, {reg59?madame:sir}.
; str_npc14_kingsupport_3|Allow me to leave you for a few weeks, oh gallant one, and I will spin such a tale as would stir even the dullest heart. It will inspire admiration for your virtues, compassion for your hardships, and indignation at those who would stand in your way. I will show that you are a new Cu Chulainn, ready to make the whole world bend to your will. I assume, of course, that I would be able to take a certain amount of poetic license with the details, like when you single handedly defeated that lost Fomorian army the other day?
; str_npc15_kingsupport_3|I'm glad you think so. Here's what I suggest. I know men that depend on their silver, men like me, who've been picked up and shaken down until they can't take it anymore. Here's what I'll tell them -- you're honest. You respect the merchants. You'll pay your debts. You won't beggar your subjects.
; str_npc16_kingsupport_3|Give me leave for a few weeks, and I'll do a little tour of every church, abbey and monastery in these lands. The whole Church will know that you plan to exterminate, once and for all, the darkness that still lingers around, outside the light of Christianity. Every man that truly fears God, every good Christian, will then support you as God's legitimately appointed ruler. What do you say to that?
; str_npc1_kingsupport_objection|Warlord, have you given leave to someone else to go tell the nobles that they will have rights over pasture, market, and forest? I can't say I like that. Give him his way, and he'll set up gibbets in every village in the land. On every one of them will dangle some poor sod like me who thought he might pick up a bow, head to the woods and put a bit of meat on his table.
; str_npc2_kingsupport_objection|Hmm, warlord. I believe you told someone else that, after you are king, you will help him with something he has in mind. I don't think that his is a good idea at all. He isn't a good man. I do not trust men who drink alone and in silence. They obviously seek to hide what the honesty of mead would reveal.
; str_npc3_kingsupport_objection|Warlord, Reginhard has set off on some sort of expedition that he says you approved. He says that he will go about the villages of this land and tell the poor villagers that once you are {reg59?queen:king}, you will treat every man and woman, of any profession, as equals. I was happy for the sake of slaves, but when he heard me, he said that slaves are not equal to anyone but deserve nothing more than whippings and beatings. I really hope you did not say that to him, did you?
; str_npc4_kingsupport_objection|I have the feeling that you are playing with me! Why else would you send someone else on the same king support issue, no less than that Greek lunatic?
; str_npc5_kingsupport_objection|Warlord, I overhead what you told Brunhild, but I think, if you give too many rights and protections to slaves, no one will want to own them any more. Of course, it is possible to live without one, but most rich people really enjoy having one or two slaves to help with the housework and prestige. Nobles also have many, many uses for slaves -- especially the girls. So, you had better not expect rich people and nobles to support you in this matter. It is an inconvenient position for someone that would be {reg59?queen:king}, in my opinion.
; str_npc6_kingsupport_objection|I understand that you have dispatched Reginhard to fabricate a claim of royal descent. I have to tell you, I do not think that the Heavens will smile on such an attempt to take the throne by fraud, even if it is with good intentions.
; str_npc7_kingsupport_objection|I have heard what you told someone else about this issue. I was especially unhappy to hear the part where he said that Picts are only good as peasants or slaves. This is ridiculous. Pictish warriors will tear your kingdom apart in days if you refuse to share land with them. I really hope you have not agreed with this.
; str_npc8_kingsupport_objection|Warlord, you said that, once you are Brytenwalda, your first war will be against your enemies. This is not right. You should first help me liberate Friese from the Danish. Then both peoples could march against your enemy and share the spoils of the war. Our priority should be Friese.
; str_npc9_kingsupport_objection|{reg59?Madame:Sir}, it is with great regret that I have learned that you have told another that you plan to institute some kind of common law to govern disputes in your kingdom-to-be. This makes no sense at all, since any enlightened ruler will recognize the perfection of Roman imperial law. Even weak Dagobert I, king of the Franks, tries to impose the Roman law whenever and wherever possible. You should follow his example.
; str_npc10_kingsupport_objection|I hear that you've told Helgi that, once you are {reg59?queen:king}, you will assemble an army composed of warriors from every nation and attempt to recreate the old Roman Empire. This is complete nonsense! Just as only ethnic Romans filled the legions, only a true and pure Saxon army has any chance of recovering their glory. No army with Britonnic rabble in its ranks will ever be able to get off the island, much less conquer the continent. Don't expect me to help your wars if you sabotage yourself by putting Saxons and Britons side by side.
; str_npc11_kingsupport_objection|I hear that another party member is off to sing and spin tales of your glory and fame. I think you're confusing that person with me, because I am plainly the one who sings best among all who are with you. My voice, along with my fame as a skjaldmo, would open halls that most others could only dream of entering.
; str_npc12_kingsupport_objection|Warlord, I hear that you've gone and made that monk, of all people, some sort of ambassador. This two-bit preacher is nothing more than a crazy man, a fanatic. He has already informed me that, once your kingdom is established, any kind of medical research will be forbidden. He claims that his scriptures contain all that one needs to know. If you follow his advice, the world will surely fall into a dark age of ignorance and fear. Enough! I have said my piece.
; str_npc13_kingsupport_objection|I understand that you've sent someone to proclaim that you intend to free all the miscreants of this land upon your accession to the throne. What a foul idea... Men must be governed with whips and chains -- and the noose, if necessary. You'll find that out the hard way if you become {reg59?queen:king}, I'll warrant.
; str_npc14_kingsupport_objection|I hear that you have given that pretty Norse sing-song girl leave to compose ditties that will offend everything the people of this land hold dear. They accuse the old emperors of murder and usurpation. Captain, I know, as a bard, that people must have heroes to emulate, and a golden age to restore. Will you create a kingdom in which cynics and scholars tell us what we must believe? If you teach them not to respect the great rulers of the past, what makes you think they will respect you?
; str_npc15_kingsupport_objection|I understand that you've given leave to another to spread some nonsense about you being the new 'Penteyrnedd yr Ynys hon.' I just want to say that, as an educated man, I find it disturbing that you would resort to legends and superstitions to back your claim. Village men and women will believe one thing one day, another thing the next. Now a horoscope, properly cast by an astrologer with a reputation to uphold, might tell you something worth knowing, but those are hard to find in our age of fear and ignorance.
; str_npc16_kingsupport_objection|I hear that Asbjorn's gone off to sing a pretty song to his people of how you'll hand them Englaland on a silver platter for them to feast upon, smack their lips, and suck the marrow from the bones. I hope that's just a tale you're telling. Asbjorn is a pagan and something of a witch. It seems suspicious how he cures the sick. To associate with him can only make everyone think you're a witch, too.
; str_npc1_intel_mission|Well, warlord, as it happens, I have a few cousins over in {s17}. Unlike others in my family, they can still stand the sight of me. They deal in furs --- I've even been able to supply them with stock from time to time -- and so they get to pick up a bit of the gossip round the great halls of the {s18}. I could go over there for a few days and tell you what I find out.
; str_npc2_intel_mission|{reg59?My lady:Sir}, if you're interested in events in the {s18}, I can make contact with my old friends in {s17}. They're usually well informed about political events.
; str_npc3_intel_mission|Warlord, although it has been a long time since I lived in the countryside of {s17} with my father, I still might be able to make contact with some of its older and wiser residents, who enjoyed my father's advice. They are retired merchants, rich farmers, and owners of big herds, the kind of well-to-do people that have some knowledge of politics and affairs. That may tell us much about the state of the {s18}.
; str_npc4_intel_mission|If you could spare me for a few days, I would like to look up an old comrade-in-arms in {s17}, who has from time to time led a small shield wall in the pay of the {s18}. He is a good man, the kind who speaks little and listens much. I'm sure, over a drink or two, he might let me know which way the political winds are blowing in those parts.
; str_npc5_intel_mission|If you like, warlord, I can try to contact some of my family members on the border of the {s18}. My own kin will not betray me and denounce me to the king, so I might be able to gather from them news from all across the {s18}. They may have some gossip about the feuds and rivalries of the great lords, if that is of interest to you.
; str_npc6_intel_mission|On the occasion of the preparations for my trip to West Seaxe, letters were sent to important people of {s17}. If you give me a few days, I may be able to collect some interesting information about the {s18} from those people, who are well aware of the political affairs of the realm.
; str_npc7_intel_mission|Warlord, when I left my former home in {s17}, I promised myself that I would not return except to take vengeance on those who have wronged me. Even though rage burns within my heart, I am occasionally curious as to how my family is getting along. Perhaps I can bring them some gifts, to let them know that I have been successful despite them! Any rate, they are wretched people, but just as a cringing dog keeps its ear to the wind, so do they. They may have useful information about the {s18}, if you would give me a few days to pay them a visit.
; str_npc8_intel_mission|If you have any interest in the events in the {s18}, a former shield-companion of mine retired and keeps a farm near {s17}. He stays in touch with a number of other old warriors. I could visit him for a few days and learn more about what is going on there.
; str_npc9_intel_mission|{reg59?My lady:Sir}, it has been some time since I sampled the delights of {s17}, where gentlefolk such as I are wont to partake of the hospitality of its most puissant and generous lord. If you wish, I could perhaps go there to learn something of the concerns that weigh on the minds of the great peers of the {s18}.
; str_npc10_intel_mission|Dryhten -- I was thinking that some of my old mates in the garrison at {s17} would be glad to see me. They are good lads that would never betray the city, but, like me, they are true Saxon warriors. They may be willing to slip a little political gossip about the incompetence of our lords in finally exterminating the Welsh. The gentry are always falling out over one little thing or the other instead of killing Britons, but the lads might know if there's real dissent brewing.
; str_npc11_intel_mission|{reg59?My pretty:Handsome}, I was thinking that it's been a while since I visited my kin in {s17}. They were among the few that supported me over the years, so I'd like to share with them some of my newfound fortune and news of our love. Then they will surely spill a few tidbits about events in the {s18}, if that would interest you.
; str_npc12_intel_mission|If you wish, Warlord, I would not mind taking the time to pay a visit to a pupil of mine, now employed by the jarl of {s17}. I had great hopes for him, but I have heard that he has lately endorsed the use of muskmelon for the treatment of palsy, on the grounds that its cold essence offsets an abundance of yellow bile. This is a travesty of medicine, and I must journey there to correct him. While I am there, if you wish, I could question him on the latest trends within the {s18}, a topic which may interest you.
; str_npc13_intel_mission|As you may know, I helped train the garrison of {s17}. One of their numbers has lately been in touch with me, suggesting that if I were to visit, he could pass on to me information on events within the {s18}. I am willing to do this, if you can spare me. While it is a great disgrace to be a traitor, there is no dishonor in making use of one.
; str_npc14_intel_mission|With your permission, I was thinking that I might pay a visit to the dales near {s17}. I try not to revisit old pastures, but I must confess a certain curiosity as to how a comely young shepherdess of my former acquaintance is getting along. On the way, I may attempt to stop in at the castle. I suspect that it would not be terribly difficult for me to charm my way into the lord's hall, and I may be able to provide you with the latest news from the {s18}. The lord's wife has a big mouth, and she will surely tell me everything.
; str_npc15_intel_mission|Strategos, as you may know, I have for some time harbored a wish to go to {s17} to study woodworking. As it happens, one of my colleagues is currently engaged there doing repair work on the defenses. While his sense of professional obligation, I think, should prevent him from disclosing to me any weaknesses, I suspect that he would not be averse to offering up his opinion on the general state of the {s18}, if that is of interest to you.
; str_npc16_intel_mission|I may pay a visit to the monastery close to {s17}, where I know some very wise monks and priests. As the defenders of a stronghold of the Church and exponents of God's will in the region, my brothers are well versed in the political situation within the {s18}. I am sure they will keep no secret from me, if that will help us spread the teachings of the Holy Bible throughout these lands.
; str_npc1_fief_acceptance|You make me lord of {s17}, warlord? Well, that will be the kindest thing that anyone has done for me in a long time. Heh, I'll make the most of it. You can count on that! I have to say, though -- I'm not sure how the other lords of this realm will react when they find young Caio in their high company.
; str_npc2_fief_acceptance|{s17} as a fief? Well, I've always thought in terms of mead and women, not in terms of governing anything. But now that you mention it, I bet I could make that place turn a fair bit of revenue. I thank you, {reg59?my lady:my lord}! This is a very kind turn that you have done me.
; str_npc3_fief_acceptance|My {reg59?Lady:Lord}, it is most generous of you to offer me {s17}. Me, an ex-slave! I will be pleased to hold it and will dedicate myself to the moral and material uplifting of its inhabitants. And I will not tolerate any kind of slavery in my fief!
; str_npc4_fief_acceptance|It is good of you to grant me {s17} as a fief -- and most appropriate.
; str_npc5_fief_acceptance|Warlord -- I will be most pleased to hold {s17}. I will send word to Cornubia, to my family, kinsmen, and former servants, and let them know that there is honorable silver and prestige to be earned serving under me in your armies. They will come flocking to fight for you rather than fleeing into Brittany!
; str_npc6_fief_acceptance|I am surprised that you find me worthy to govern men, as I am just beginning to learn to govern myself. But if you indeed wish it, I would be most honored to hold {s17} in your name. I hereby dedicate myself to the protection of those who live there.
; str_npc7_fief_acceptance|Aye, I'll hold {s17} -- and prove to all that Picts are more than capable of ruling and governing land and men, as we did ages ago. Thank you, my {reg59?Lady:Lord}, for this opportunity.
; str_npc8_fief_acceptance|You'd make me a jarl? Well, I suppose that I can postpone other things for a little while longer and make my great hall at {s17}. Someday, I may travel over the seas to fulfill my destiny, but until then, I will be pleased to raise a shield wall of battle-hardened warriors to fight under your banner.
; str_npc9_fief_acceptance|My {reg59?Lady:Lord}, I was cheated of my inheritance, but now, with this offer of an estate, you make right what was wrong. It would give me the greatest honor to serve you, to fight for you, and to hold this land in fief to you.
; str_npc10_fief_acceptance|You'd make me a lord? Well, I think you are right. Saxon warriors are destined to rule all of Britannia. If our current lords are unable to defeat the other nations, then it is natural that truly powerful warriors like I must replace them.
; str_npc11_fief_acceptance|My! You'd grant me a title? There can be no greater sign of your love, can there? My, the strange turns life takes! Fancy this much-maligned virgin finding love and becoming a great peer of a realm. I am nobody's 'old maid' now!
; str_npc12_fief_acceptance|Well, my {reg59?Lady:Lord}, I have to remind you that I don't believe in the holding of land in fief to the king. Farmers and landholders should govern their own affairs under the protection of a distant sovereign. That being said, Englaland has seen far too much bloodshed for us to turn the social order on its head right now. Give me that land, and I'll endeavor to prepare it for a brighter future -- if not in this generation, than perhaps in the next.
; str_npc13_fief_acceptance|You do me a great honor. I will serve faithfully under your banner and shall dedicate every day of my life to raise an organized army and to instill some discipline in our soldiers. Soon, with that army, we shall together submit all of world to your rule.
; str_npc14_fief_acceptance|How generous and kind of you, my {reg59?Lady:Lord}. Allow me to express the utmost reverence for your wisdom in selecting me. Truly, your perspicacity exceeds that of King Solomon, who could read the entire nature of a man from a single hair of his head. Your judgment surpasses that of the emperor, Marcus Aurelius, to whom even the most prominent patricians submitted their disputes. Anyway, I accept.
; str_npc15_fief_acceptance|You do me a great honor, strategos. In Konstantinoupolis, a youngest son such as I am has no opportunity to possess a fief of his own, but here, there is still the chance for a man to win with his sword what was denied him by his birth! I shall hold {s17} as your vassal and build a corps of engineers to build your fortresses, palaces, and empire.
; str_npc16_fief_acceptance|You truly fear God and respect his will. This is good. {s17} will become a center of faith and truth. It will be a powerful beacon against the shadows of paganism and heresy that still haunt this land. May the peace of God be with you.
; str_npc3_woman_to_woman|My lady, if you don't mind my saying, I think by now you have proven yourself to be one of the great warriors of this realm. Yet strangely, no king has come forward to offer you a fief. Perhaps it is because you are a woman. No matter -- I personally believe that you will take your place among the great lords of this realm, even if you have to fight twice as long and twice as hard to receive your due!
; str_npc7_woman_to_woman|Warlord, if you don't mind my saying, you have fought long and hard against every kind of warrior in the world. With their defeat, you brought great honor to yourself. You well deserve of a fief of your own. I suspect that if you were not a woman, a king would have offered you one by now. That is the way of the men in this sorry land: they let us stand in the front of the battle line to take the enemy's blows, but when it comes to a division of the spoils, they expect us to head to the rear.
; str_npc11_woman_to_woman|My Pretty, I just can't help thinking to myself -- you've made quite a name for yourself, haven't you? Fighting and marching up and down the length of the land. Why, I suspect if you were a man, some king would have offered you a fief by now. Well, you may still get what you deserve! You'll just have to prove yourself a bit more, and I shall stay at your side to help you do it!
; str_npc1_turn_against|I'm sorry that we meet like this, warlord. There's no question that I owe my rise in life to you. You doubtless think me ungrateful. However, one has to follow one's destiny... Isn't that correct?
; str_npc2_turn_against|This is a sad day. I never thought that I might meet my old warlord on the field of battle. Even if I triumph, it will bring me no joy.
; str_npc3_turn_against|Oh {playername}! What a tragic turn our lives have taken! I can only hope that the strange tides that have currently made us enemies will one day allow us to be friends once more.
; str_npc4_turn_against|Aye, well.... I'm not sure what to say. Let's get this fight over with.
; str_npc5_turn_against|{playername}! It is a shame that we must now battle after so many glorious victories together. Anyway, today I come against you with my sword raised, but I hope that, one day, we instead will raise a glass together, to a friendship renewed.
; str_npc6_turn_against|It grieves me, more than anything I can say, to meet you like this, {playername}. I shall not dwell on the circumstances that have led us to this point. I can only hope that we may one day be reconciled.
; str_npc7_turn_against|Well, old leader. You made of me a great lady, and for that, I am grateful. However, you can never own me, and now the circumstances have caused our interests to clash. I meet you in battle with a clear conscience. Still, I hope someday that circumstances may change again. Even though you will now suffer defeat, I hope we may meet as friends again.
; str_npc8_turn_against|So, we meet now as enemies and may shortly face each other over the rims of our shields. A grim day this is. The spinners of fate have a dark sense of humor.
; str_npc9_turn_against|I will not accept fault for the circumstances that have led us to become enemies. I want you to know that my conscience is clear, although my heart is heavy.
; str_npc10_turn_against|Well, it looks like the tides of fate have led me to make war on my old dryhten. Maybe things started to go wrong when you became my liege. I suppose I was never much suited to vassalage. Anyway, here we are now. Prepare to be defeated.
; str_npc11_turn_against|Great Thor, my heart is now officially broken. So it looks like you and I are enemies. Didn't I always sing how life and love takes us on some very strange turns? The Norns play with us -- to turn love into hate so easily. Nevertheless, keep up your defenses, {reg59?my pretty:handsome}. I will not go easy on you, for all I will try not to mar that face of yours overly much!
; str_npc12_turn_against|So, it seems we must fight. I would have you know, {reg59?my lady:sir}, that I have not betrayed you. I had never served you as a man, but served the principles that I believed you upheld. As you no longer uphold them, I must do my best to thwart you, but I bear you no ill will. I hope that you will change again, so that we can meet again someday as friends.
; str_npc13_turn_against|Well, {playername}. We meet as enemies. I confess that I have mixed feelings. It grieves me to make war on you, but if we meet in battle and I prevail, I will have defeated the worthiest foe. Then I will know that my mastery of the military art is complete!
; str_npc14_turn_against|It is sad to meet you as my enemy. On the other hand, to meet such a titan of the battlefield as you in combat is a rare privilege. Truly, the news of our contest today shall keep the bards and poets of these lands in mead and silver for months to come, don't you think?
; str_npc15_turn_against|Ah... I have not been looking forward to this day. I just want to say that, in my view, if you'd kept your faith in me, things would never have come to this. But no doubt you see it differently.
; str_npc16_turn_against|I now see that, for the whole time we travelled together, you intended only to use and deceive me. Your soul belongs to the Devil, and the darkness of passion for the old gods lingers within your heart. For the cause of Christ, I must now defeat you in the field. Do not doubt that God is by my side today. Nothing but defeat is prepared for you right now.
; str_comment_intro_liege_affiliated|I am told that you are pledged to one of the pretenders who dispute my claim to the crown, but we may still talk.
str_comment_intro_famous_liege|La vostra fama vi precede! Forse è tempo che cerchiate un possedimento degno del vostro valore.
str_comment_intro_famous_martial|La vostra fama viene prima di voi! Forse dovremo testare il nostro valore in un torneo, o sul campo di battaglia!
str_comment_intro_famous_badtempered|Ho sentito di voi. Bene, non sono in vena di scambiare opinioni, quindi se avete qualcosa da dire, non ditelo.
str_comment_intro_famous_pitiless|Conosco il vostro nome. Esso incute paura nel cuore degli uomini. Questo è buono. Credo che dovremmo parlare noi due, un giorno.
; str_comment_intro_famous_cunning|Ah, yes. At last we meet. You sound like a good {reg59?woman:man} to know. Let us speak together, from time to time.
str_comment_intro_famous_sadistic|Conosco il vostro nome, e dal quel che ho sentito, vi garantisco che è lo stesso anche per molte vedove in lutto. Ma questo non è un mio problema.
str_comment_intro_famous_goodnatured|Ho sentito di voi! Sono contento di fare finalmente la vostra conoscenza.
