qstr_Breaking_camp...|Stai smantellando l'accampamento...
qstr_No_you_listen_to_me!|No, ascoltami! Voglio che Sven paghi per quello che ha fatto. Dammi gli uomini! (Irascibile)
qstr_Yes!_Those_are_just_|Sì! Queste sono solo le parole che volevo sentire. Attachiamolo in mare! (Sanguigno)
qstr_Your_goal?_Who_are_y|Il tuo obiettivo? Chi sei? Avete navi e uomini?
; qstr_Yours?_Sven_is_a_mur|Yours? Sven is a murderer, but he isn't an idiot. He will be waiting for us, and his men are veteran Vikings. If you want to attack him, go ahead, but I hope you have many men and ships.
; qstr_Beware!_You_may_be_i|Beware! You may be in my house, but the hospitality you enjoy has a limit. Watch your words!^^Now, you'll have to find your own men and boats to undertake such an expedition.
; qstr_Your_enthusiasm_glad|Your enthusiasm gladdens me. I wish my men thought alike, but they are too afraid of Sven. How many men and ships can you bring to the hunt?
qstr___He_looks_into_your|--Ti guarda negli occhi, sorpreso.--
qstr_This_hunt_is_my_life|Questa caccia è la mia vita, signore. Non mi arrenderò. (Flemmatico)
qstr_Sir_I_have_lost_ever|Signore, ho perso tutto... Vivo solo per la vendetta... (Malinconico)
qstr_I_shall_not_leave_un|Non me ne andò da qui finchè non mi darai una possibilità. Non mi muoverò dalla porta. (Irascibile)
qstr_You_just_cannot_see_|Non lo sai ancora, ma hai bisogno di me, signore. Io non ho paura di Sven! (Sanguigno)
qstr_Alright!_Alright!_I_|Va bene! Va bene! Vedo... Beh io ho un'idea. Ascoltami.
; qstr_Oh_by_Thor!_This_isn|Oh, by Thor! This isn't necessary, is it, {reg59?woman:man}? Alright, I will give you one opportunity.
; qstr_Yes_yes_you_are_very|Yes, yes, you are very serious. Well, I have an idea.
qstr_Someone_who_is_not_a|Chi non teme Sven è un folle, ma forse dovrei darti la possibilità di dimostrare il tuo valore.
; qstr_You_have_offered_you|You have offered your services to {s11}, in exchange for allowing you join the hunt for Sven Bull Neck. {s11} has asked you to prove your worth.
qstr___He_makes_the_sign_|--Si fa il segno di Odino per scacciare la fortuna.--
qstr_{s11}_wants_the_prob|{s11} vuole che il problema della proprietà fondiaria sia risolto al vicino monastero. Parlate con l'abate del monastero Willibrord, vicino a  {s3}.
qstr_Note:_The_jarl_has_a|Nota: Lo Jarl ti ha chiesto di risolvere il problema nel suo interesse, ovvero senza turbare i monaci.
qstr_{s9}_sent_you_to_rec|{S9} ti ha inviato a reclutare quindici uomini nei villaggi dei Friese e nelle città. Non appena avrai arruolato questa forza, torna a parlare con lui.
qstr_{s11}_wants_Thiaderd|{s11} vuole Thiaderd morto. Hai bisogno di parlare con Reginhard nella sala dell'idromele a {s3}. Lui sa dove  si nasconde Thiaderd.
; qstr___His_eyes_show_joy_|--His eyes show joy, and he pats your back with confidence.--
qstr_{s11}_told_me_that_S|{s11} mi ha detto che Sven Bull Neck è vassallo di Sigurd 'Serpente nell'occhio' Ragnarsson. Dovresti parlare con {s9} se mai viaggiare a Danmark.
; qstr_Your_king_has_not_wr|Your king has not wronged me, but you do. It seems you can't help me hunt Sven. (Phlegmatic)
qstr_Every_time_I_finish_|Ogni volta che porto a termine una missione, ne inventi una nuova! Intanto Sven vive. (Malinconico)
qstr_Jarl?_You_promise_mu|Jarl? Tu mi hai promesso molto, ma il tuo re mi darebbe lo stesso queste informazioni. (Irascibile)
qstr__Jarl?__I_like_that_|'Jarl?' Mi piace, ma visto che faccio io tutto il lavoro sporco, 're' sarebbe meglio! (Sanguigno)
; qstr_I_can_only_help_you_|I can only help you if you help me. It's so easy, but if I am not king, I won't have an army or resources to hunt Sven. You decide.
qstr_The_difference_is_th|La differenza è che ora hai guadagnato la mia fiducia, ti chiedo una sola cosa: uccidi il re e Sven sarà tuo.
; qstr_The_king_will_not_be|The king will not believe you, for you are a stranger to him. If you ever say something, I will tell him you're a liar, and he will order you killed.
; qstr_I_admire_your_ambiti|I admire your ambition, but here there can only be one king, and the Danish in Friese will only accept someone like me, who is known and trusted.
; qstr_{s11}_wants_me_to_ki|{s11} wants me to kill his king, {s9}, his own uncle, in order to ascend to the throne of {s3} and give me men and resources to hunt Sven.
; qstr_{s11}_wants_me_to_kil|{s11} wants me to kill his king, {s9}, his own uncle, in order to have free access to the throne of {s3} and give me men and resources to hunt Sven.
; qstr_Note_3:_You_have_cho|Note 3: You have chosen to become an enemy of {s9} for his betrayal and alliance with {s11}, Sven Bull Neck's patron. You know he will send assassins after your head.
qstr_I_did_not_know_your_|Non sapevo dei vostri piani. Doccinga mi ha chiesto aiuto e io ho fatto il possibile. (Flemmatico)
qstr_Calm_down_and_tell_me|Calmati e dimmi qual è il problema. Siamo persone civili. (Malinconico)
qstr_There_is_only_one_tr|C'è solo un traditore qui e quello sei tu. Cane, Dannato! Ti costerà caro. (irascibile)
qstr_These_Vikings_were_f|Questi vichinghi erano pochi e deboli. Sei stato uno sciocco a pensare che ti avrebbero aiutato. (Sanguigno)
; qstr_Note_3:_You_chose_no|Note 3: You chose not to become an open enemy of {s9} for his betrayal and alliance with {s11}, Sven Bull Neck's patron.
; qstr_Note_3:_You_chose_to_b|Note 3: You chose to become an enemy of {s9} for his betrayal and alliance with {s11}, Sven Bull Neck's patron. You know he will send assassins for your head.
; qstr_Note_3:_You_chose_not|Note 3: You chose not to openly become the enemy of {s9} for his betrayal and alliance with {s11}, Sven Bull Neck's patron.
; qstr_Leave_Friese:_Your_r|Leave Friese: Your relationship with the jarl has ended badly. You are now enemies. He will send assassins after you, and he will not have compassion if he finds you in his way.
; qstr_Leave_Friese._Your_r|Leave Friese. Your relationship with the jarl has ended badly. He accused you of ruining his plans to take the throne. It is best not to cross paths with him again for a long time -- or until you are able to regain his friendship.
; qstr_You_were_wrong._Thes|You were wrong. These men were going to take and fortify the village, then wait for more troops from Danmark. Now that's impossible. You've ended my dreams. Sigurd 'Snake in the Eye' will think I'm a traitor and will want my head because of you. Go away! You're no longer welcome here. If we meet again, I do not know if I will be able to control myself and not kill you.^^I recommend you leave Friese.
; qstr_There_s_nothing_to_t|There's nothing to talk about. These men were going to take and fortify the village, then wait for more troops from Danmark. Now that's impossible. You've ended my dreams. Sigurd 'Snake in the Eye' will think I'm a traitor and will want my head because of you. Go away! You're no longer welcome here. If we meet again, I do not know if I will be able to control myself and not kill you.^^I recommend you leave Friese.
; qstr_Leave_Friese._Your_re|Leave Friese. Your relationship with the jarl has ended badly. He accuses you of ruining his plans to take the throne. It is best not to cross paths with him again for a long time -- or until you are able to regain his friendship.
; qstr_You_are_bold_rat_to_|You are bold, rat, to talk to me like that after what you've done. To honor services provided, I will give you a few days head start. Then you will have assassins after you, for I will put a price on your head. You'll have to sleep with one eye open and a knife under your pillow.^If you do not leave Friese or we meet in person, I will kill you with my bare hands.
; qstr_Leave_Friese._Your_rel|Leave Friese. Your relationship with the jarl has ended badly. You are now enemies. He will send assassins after you, and he will not have compassion if he finds you in his way.
; qstr_No_you_are_a_fool._T|No, you are a fool. These men were going to take and fortify the village, then wait for more troops from Danmark. Now that's impossible. You've ended my dreams. Sigurd 'Snake in the Eye' will think I'm a traitor and he will want my head because of you. To honor services provided, I will give you a few days head start. Then you will have assassins after you, for I will put a price on your head. You'll have to sleep with one eye open and a knife under your pillow.^If you do not leave Friese or we meet in person, I will kill you with my bare hands.
qstr_Investigate_events_i|Indaga sugli eventi a {s3}.
qstr_Help_defend_{s3}.|Aiuta a difendere {s3}.
qstr_The_king_does_not_be|Il re non ti crederà. Hai bisogno di prove per convincerlo. Forse Thonkrik a {s3} ti può aiutare.
qstr_It_seems_you_will_not|Sembra non avrai l'aiuto del re. Dovrai parlare con {s11} 'Occhi di Serpente' direttamente.
qstr_{s10}_won_t_support_y|{s10} non ti supporterà contro {s9}.
qstr_I_did_not_want_to_ki|Non volevo uccidere Atli, ma non avevo alternative. (Flemmatico)
qstr_I_am_aware_of_the_se|Sono consapevole della gravità del pericolo. Non c'è bisogno di ricordarlo. (Malinconico)
qstr_I_did_this_for_you._|L'ho fatto per te. Senza di me, la lettera sarebbe in mano a Sigurd, che prenderebbe il trono. (Irascibile)
qstr_Come_on_sire_I_left_|Andiamo, Sire, non ho lasciato testimoni. L'assemblea può incolparmi di nulla. (Sanguigno)
qstr_I_see._Well_it_is_yo|Vedo. Beh, è il vostro collo.
; qstr_Well_if_Ulf_doesn_t_|Well, if Ulf doesn't testify against you and some jarls support you, you might have a chance.
; qstr_Mark_my_words_{reg59|Mark my words, {reg59?woman:man}. If Sigurd gets this throne, your life won't be worth anything. Do not tell me what you do for me when you are in fact protecting only your interests.
; qstr_Remember_that_I_am_t|Remember that I am the king when you address me.
; qstr_It_seems_that_everyt|It seems that everything is ready for your trial. {s10} will send a messenger to warn you as soon as your presence is required by the Assembly.
qstr_{s9}_wants_you_back_|{s9} ti rivuole con {s11}.
qstr_{s9}_wants_you_to_me|{s9} vuole che incontri {s11} del West Seaxe a {s3} e gli consegni la lettere del tradimento.
qstr___You_perceive_that_|--Percepisci che la notizia lo turba profondamente.--
qstr_I_guess_you_ve_weigh|Credo che tu abbia soppesato tutte le opzioni prima di prendere una decisione. (Flemmatico)
qstr_So_all_is_not_lost!_|Non tutto è perduto! (Malinconico)
qstr_Retreat_is_dishonora|La ritirata è disonorevole. Se fossi arruolato in questo esercito, punterei alla vittoria. (irascibile)
qstr_Come_come._Retreat?_|Vieni, vieni. Ritirarsi? Sei un vigliacco? (Sanguigno)
qstr_We_must_be_realistic|Dobbiamo essere realisti. In caso contrario, potremmo perdere tutto quello che abbiamo.
qstr_You_need_not_be_so_d|Non è necessario essere così drammatico. Nulla è stato ancora perso, dannazione! Sto solo pensando alla strategia più logica.
qstr_Well_I_happen_to_lik|Beh, mi piacciono le persone coraggiose. Ascolta attentamente, perché penso che questo possa interesarti.
; qstr_No_I_d_rather_be_a_c|No, I'd rather be a clever man than a dead one. And watch your words! Remember that you're talking to one of the sons of Ragnar. If all of Northhymbre could not answer for insulting our family, what chance do you think you would have?
qstr_{s9}_wants_you_hunt_|{s9} vuole che cacci e distruggi la pattuglia di foraggiatori del West Seaxe nei pressi di {s3}.
; qstr_{s9}_wants_you_deliv|{s9} wants you deliver a message to his brothers in {s3}, advising them that no reinforcements from Danmark are coming and that Bjorn will request a meeting with the Saxons for a truce and retreat from Mierce.
qstr___You_perceive_your_|--Percepisci che la notizia lo turba profondamente. Sbuffa come un toro prima di rispondere.--
qstr___He_looks_into_your_|--Ti Guarda negli occhi con profonda preoccupazione e chiama un servo perfargli leggere la lettera a voce alta fino alla fine. Poi Rathbarth ti guarda e sorride.--
qstr___He_bites_his_lower|--Si morde il labbro inferiore per alcuni secondi, sta pensando.--
qstr_Note_1:_You_gave_the|Nota 1: hai dato la lettera ai figli di Ragnar. {S9} ti ha ringraziato e ora lo stai aiutando.
qstr___He_rests_a_hand_on|--Ti poggia una mano sulla spalla.--
qstr___He_laughs_loudly._|--Ride di gusto.--
qstr_{s9}_wants_you_find_|{s9} vuole che trovi {s3} del {s4} e parlagli per porgere i tuoi omaggi e prestare giuramento. Poi, dovrai tornare da lui per un incarico da compiere.
; qstr_As_he_rejoins_his_br|As he rejoins his brothers to decide what to do about the letter of Bodo, {s11} has asked you to go to the Kingdom of Alban, conquer {s3} and keep it twenty days to weaken the Picts and secure the rear of the Danish in Northhymbre.
qstr___He_takes_a_deep_bre|--Fa un respiro profondo.--
qstr___He_smiles_pleased.|--Sorride, compiaciuto.--
; qstr_The_time_to_meet_wit|The time to meet with the troops from the Kingdom of Asturias has arrived. Bodo's letter indicates that they will dock at {s3}, and {s11} wants you go there and meet with them. There is a traitor. Use him to gain favor with the Asturian troops and bring them to the side of the sons of Ragnar. But if you fail to convince them, {s11} wants them destroyed.^^But before you leave Englaland, you must go to {s3} and talk to the old captain at the port, as {s11} has gathered men and ships to help you in Douar-an-Enez.
qstr_The_king_wants_no_le|Il re non vuole nessuna lettera. Sei stato mandato a parlare con suo fratello, {s11}.
; qstr___He_takes_the_letter_|--He takes the letter from your hands, and you see his fingers are stained with ink. Aelfred reads the letter slowly, absorbing with interest all that it contains. After reading it, without saying anything, Aelfred calls Bodo and takes him aside a few meters, where they talk a long time. --
qstr_Note_1:_You_gave_the_|Nota 1: hai dato la lettera al west Seaxe. {S9} ti ha ringraziato e ora lo stai aiutando.
qstr___For_a_moment_he_sh|--Per un momento, mostra sorpresa.--
qstr___He_studies_you_slo|--Ti studia lentamente, come se esaminasse un cavallo.--
qstr_{s9}_wants_you_to_fi|{s9} vuole che trovi {s3} del {s4}, parlagli per porgegli i tuoi omaggi e prestare giuramento. Poi, dovrai tornare da lui per un incarico da compiere.
qstr_{s11}_has_asked_you_|{s11} ti ha chiesto di andare Nelle terre dei Gallesi. Devi conquistare {s3}  e difenderlo per venti giorni.
; qstr_The_time_to_meet_with|The time to meet with the troops from the Kingdom of Asturias has arrived. Bodo's letter indicates that they will dock at {s3}, and {s11} wants you go there and meet with them. There is a traitor. You have to expose him and destroy him diplomatically, without breaking relations with the Asturians.^^{s11} has gathered men and ships to help you in Douar-an-Enez. You must go to {s3} and talk to the old captain at the port.
qstr___He_snaps_his_finge|--Schiocca le dita.--
; qstr_You_must_enter_the_s|You must enter the service of {s11}, ready for the battle ahead.
qstr___He_looks_at_you_co|--Ti guarda con sufficienza.--
; qstr___He_scratches_his_c|--He scratches his chin thoughtfully. He is a very thin young man of only twenty years, but already commands respect.--
qstr_{s13}_asked_you_to_ga|{s13} ti ha chiesto di procurarti {reg3} capi di bestiame e di portarli a Aescesdun. Poi, torna da lui.
qstr_{s13}_asked_you_to_gat|{s13} ti ha chiesto di procurarti {reg3} capi di bestiame e di portarli a Aescesdun. Poi, torna da lui.
qstr___He_puts_his_hand_on_|--Ti mette una mano sulla spalla e ti guarda negli occhi.--
qstr_You_ve_joined_your_a|Hai unito la tua armata a quella di {s11}, che attende l'arrivo del grande esercito Danese. Sembra che il destino del West Seaxe sarà deciso a breve.
; qstr___He_pats_your_back.|--He pats your back.--
; qstr_You_must_enter_the_se|You must enter the service of {s11} and prepare for the battle ahead.
qstr___Halfdan_laughs_lou|--Halfdan ride di gusto.--
; qstr___He_confidently_tou|--He confidently tousles your hair.--
qstr_{s13}_asked_you_to_gath|{s13} ti ha chiesto di procurarti {reg3} capi di bestiame e di portarli a Readingum. Poi, torna da lui.
qstr___He_hugs_you_tightl|--Ti abbraccia stretto, come un orso.--
qstr_You_ve_joined_your_ar|Hai unito la tua armata a quella di {s11}, che si muove verso i Sassoni a Ascesdun. Sembra che il destino del West Seaxe sarà deciso a breve.
; qstr_{s9}_told_you_that_S|{s9} told you that Sven Bull Neck has gone to Readingum, where he has taken over. It's time to finish what started on the Woden Ric. Sven Bull Neck cannot escape again. Go to Readingum.
; qstr_You_already_have_my_|You already have my permission to do this. Please do not keep bothering me with the same matter.
qstr_You_are_an_enemy_of_|Sei un nemico del mio regno.
qstr_You_must_earn_my_tru|Devi prima guadagnarti la mia fiducia se vuoi reclutare uomini nelle mie terre. Ora, i nostri rapporti sono pessimi.
; qstr_I_don_t_know_if_I_tr|I don't know if I trust you enough to take men from my land and lead them into battle. Prove yourself first, then come back and ask again.^^(150 or more Renown)
qstr_No._I_do_not_know_wh|No. Non ti conosco. Devi guadagnare la mia fiducia se vuoi reclutare uomini nella mia terra. ^^(150 o più di Fama e 5 o più di relazione positiva necessaria)
qstr_Well_I_ve_come_to_kn|Bene, ora che vi ho conosciuto è un piacere consentirlo. Pertanto, vi avviso che, se un uomo vuole unirsi a voi, egli sarà libero di farlo, purché, come sempre, che sia libero da impegni verso un altro signore.
qstr_you|voi
qstr_You_are_challenging_|Mi avete sfidato a duello? Che buffone! Come volete, {playername}, sarà un bell'esercizio spaccarvi la testa!
qstr_{s16}_and_{s17}|{s16} e {s17}
qstr_Very_well_I_will_acc|Benissimo, vi riaccoglierò tra mie fila, se vorrete rinnovare il vostro giuramento.
qstr_A_pardon_will_only_b|Il perdono sarà possibile solo se vorrete cedermi {s17} denari. Accettate le mie condizioni?
qstr_No._There_is_no_chan|No. Non c'è possibilità di pace tra noi. Non ne voglio sapere.
qstr_I_may_be_able_to_hel|Posso essere in grado di aiutarvi in questa situazione così delicata. Avete {reg7} denari con voi?
; qstr_I_have_heard_of_your|I have heard of your mistreatment of my subjects, {playername}. I'm pretty sure people still remember what you did to them...^^But that's all in the past now, so just hand me the money. Did I hear {reg7} peningas?
; qstr_{playername}_your_tr|{playername}, your treatment of my subjects was atrocious in the past, but such is war. I'm willing to help you in this matter. Hand me that purse with {reg7} peningas, and I'll take care of the business.
; qstr_{playername}_we_all_|{playername}, we all make mistakes in our lives, and while your treatment of my subjects was bad, I don't hold grudges. I will help you to restore people's believe in you as a just ruler. Allow me to take that purse with {reg7} peningas, and I'll take care of the business.
qstr_Rumor_has_it_that_{s|Si dice che {s35} ha preso i soldi e non ha voluto nemmeno parlare con la gente.
qstr_Rumor_has_it_that_{s3|Si dice che {s35} ha preso i soldi e li abbia tenuti per se.
qstr_{s34}|{s34}
qstr_Your_efforts_to_brib|I tuoi sforzi per corrompere popolazione locale non hanno avuto successo.
qstr_Our_marshal_{s1}|Il nostro Comandante in Capo, {s1}
qstr_We_are_not_at_war_wi|Non siamo in guerra con nessuno.
qstr_go_on_the_offensive_| andare all'offensiva adesso.
qstr_act_to_defend_our_la|agire per difendere le nostre terre.
qstr_take_more_time_to_ga|richiedere più tempo per riunire l'esercito.
qstr_You_promised_to_help|Hai promesso di aiutare {s13} a reclamare il trono del {s14}.
qstr_What_do_you_say_to_e|Cosa ne pensate di entrare al servizio di {s9} come capitano mercenario? Non ho dubbi che sareste all'altezza del compito.
qstr_{s8}_asked_you_to_tr|{s8} ti ha chiesto di dare la caccia ad un gruppo di disertori che hanno razziato il suo villaggio, {s9}.
qstr_{s9}_asked_you_to_ta|{s9} ti ha chiesto di portare il messaggio a {s13}. Si ritiene che {s13} fosse a {s4} quando ti è stata affidata la missione.
qstr_{s9}_asked_you_to_tak|{s9} ti ha chiesto di portare il messaggio a {s13} del {s15}. {s13} era a {s4} quando ti è stata affidata la missione.
qstr_{s11}_asked_you_to_e|{s11} ti ha chiesto di scortare il Vescovo da {s22} a {s14}.
qstr_{s11}_asked_you_to_r|{s11} ti ha chiesto di razziare il Monastero a {s14}, vicino {s34}, e di portargli {reg33} denari.
qstr_{s11}_asked_you_to_es|{s11} ti ha chiesto di scortare la {s17} {s13} a {s14}.
qstr_{s13}_asked_you_to_d|{s13} ti ha chiesto di occuparti dei banditi che stanno occupando il villaggio di {s15} e poi di fare rapporto.
qstr_{s9}_asked_you_to_ra|{s9} ti ha chiesto di aumentare {reg1} {s14} e portarglieli.
qstr_{s9}_asked_you_to_co|{s9} ti ha chiesto di raccogliere le tasse da {s3}. Ti ha offerto un quinto dei denari che raccoglierai.
qstr_{s9}_asked_you_to_hu|{s9} ti ha chiesto di inseguire un fuggitivo chiamato {s4}. Questi era a {s3}.
qstr_{s9}_asked_you_to_as|{s9} ti ha chiesto di assassinare un mercante locale a {s3}.
qstr_{s9}_has_asked_you_t|{s9} ti ha chiesto di parlare con una spia a {s13}.
qstr_{s11}_asked_you_to_f|{s11} ti ha chiesto di seguire la spia che lascerà {s12}. Fa attenzione a non permettere che la spia ti veda durante il viaggio, o potrebbe insospettirsi e tornare indietro. Una volta che la spia si sarà incontrata con il suo complice, dovrai catturarli e riportarli a {s11}.
qstr_{s11}_asked_you_to_c|{s11} ti ha chiesto di catturare un signore del {s13}, un signore qualsiasi, e di portare la vittima a {s11} per essere posta sotto custodia.
qstr_{s9}_asked_you_to_le|{s9} ti ha chiesto di prestargli il tuo compagno {s3} per una settimana.
qstr_{s9}_asked_you_to_col|{s9} ti ha chiesto di riscuotere il debito di {reg4} denari {s3} dovuti a lui. {s3} era a {s4} quando la missione ti è stata affidata.
qstr_{s11}_gave_you_a_fak|{s11} ti ha dato una lettera falsa per ingannare {s13} bandendo il suo vassallo {s16}. Devi andare vicino {s14}, dare la lettera a uno dei tuoi {s15} e mandarlo nella città come un messaggero, facendo in modo che creda veri i suoi ordini perché sia convincente.
qstr_{s9}_has_requested_y|{s9}  ti ha chiesto di portargli {reg1} {s3} prigioniero.
qstr_Lend_your_experience|Concedi il tuo esperto cerusico {s3} a {s1}.
qstr_Oh_Dear!_We_have_bee|Oh caro! Abbiamo avuto un maschio!
qstr_Oh_Dear!_We_have_rec|Oh caro! Abbiamo avuto una femmina!
qstr_Oh_Dear!_Twins_are_b|Oh caro! Abbiamo avuto una coppia di gemelli!
; qstr_Oh_dear_{playername}|Oh dear {playername}, I'm so tired. (She smiles at you). Be patient, for the child must be carried for nine months.
qstr_I_m_thinking_of_a_na|Sto pensando a un nome per il bambino. Seavremo un maschio, il suo nome sarà {playername}, ma se avremo una femmina, la chiameremo come me.
; qstr_I_m_fine._I_will_not|I'm fine. I will not pay any attention to the banter of the servants. The child isn't the son of our swineherd.
; qstr_Time_flies_away_from|Time flies away from war, fear and the rigors of travel... In nine months, you will have a child.
qstr_Then_take_it_with_my|Allora prendetelo, con i miei eterni ringraziamenti. Voi siete {reg59?una donna:un uomo} nobile. Non dimenticherò mai che mi avete aiutato nel momento del bisogno.
qstr_Forgive_me_{playerna|Perdonami, {playername}, ma devo insistere perché accettiate. Le ricchezze significano poco per me, e vi devo molto. Ecco, prendete, e non parliamone più.
qstr_{playername}_what_a_|{playername}, siete {reg59?una cara donna:un caro uomo} ma non vi permetterò di rifiutare questo. Vi devo molto più di quanto possa ricordare, e sono sicuro che potrete fare miglior uso di me di questo denaro.
; qstr_I_know_you_re_at_war|I know, you're at war with his kingdom, so you may have a problem giving him my message, or perhaps your bravery would desert you.
qstr_{s11}_asked_you_to_d|{s11} ti ha chiesto di portare un messaggio a {s3}.
qstr_Oh_{playername}_my_h|Oh, {playername}, mio marito è troppo occupato con gli affari dello stato. Saresti così gentile da portrmi {reg25} reg1?pezzi:pezzo} di {s17}?
; qstr_Oh_{playername}_coul|Oh, {playername}, could you do me a little favor? I saw a trader the other day, selling some novelties out by the gate. Unfortunately, I can't spend money freely. Would you be so kind and bring me {reg25} {reg1?pieces:piece} of {s17}?
qstr_{s11}_asked_you_to_b|{s11} ti ha chiesto di portarle {reg25} {reg1?pezzi:pezzo} di {s17}
; qstr_Oh_{playername}_my_hu|Oh, {playername}, my husband, {s15}, is too busy with the affairs of the state, and I would like to have a surprise party set up in his honor. Would you be so kind as to bring me {reg25} {reg1?bottles:bottle} of {s17} and 2 pieces of cheese?
; qstr_Oh_{playername}_could|Oh, {playername}, could you do me a little favor? I have some of my lady friends here visiting, and I would like to have a small party in their honor. Unfortunately, I can't spend money freely. Would you be so kind and bring me {reg25} {reg1?bottles:bottle} of {s17} and 2 pieces of cheese?
qstr_{s11}_asked_you_to_br|{s11} ti ha chiesto di portarle {reg25} {reg1?bottiglie:bottiglia} di {s17} e 2 forme di formaggio.
qstr_{s11}_asked_you_to_re|{s11} ti ha chiesto di salvare sua {s17}, {s13}, da {s14} dandogli una lezione e mettendolo al suo posto: in prigione.
qstr_{s11}_asked_you_to_res|{s11} ti ha chiesto di riscattare sua {s17}, {s13}, da {s14}.
; qstr_{s12}_asked_you_to_d|{s12} asked you to deliver a message to {s13}, who is imprisoned at {s14}.
qstr_You_agreed_to_challe|Sei d'accordo sullo sfidare {s13} per difendere l'onore di {s11}.
qstr_{s11}_asked_you_to_di|{s11} ti ha chiesto di eliminare con discrezione il suo ex-amante 'fantasma', si pensa che si trovi in {s33}.
qstr_{s5}__Persuasion_str|{s5} (Forza di persuasione: {reg5})
qstr_Persuasion_Attempt|Tentativo di Persuasione
qstr_I_think_your_dilemma|Penso che il tuo dilemma può essere risolto per {reg22} denari.
qstr_Thank_you_for_the_wa|Grazie per l'avvertimento. {reg22} denari mi faranno dimenticare tutto.
; qstr_Pay_{reg22}_peningas|Pay {reg22} peningas for your rudeness or else...
qstr_{reg22}_peningas_is_|{reg22} denari è il prezzo del mio silenzio. Altrimenti...
; qstr_I_understand_you_wer|I understand you were forced to do it, but I'm entitled to compensation, and I think {reg22} peningas will be acceptable. I would hate to tell on you, but I have no choice either.
qstr_Prepare_to_die_you_i|Preparati a morire, truffatore insolente!
qstr_Ah_a_duel._Well_if_y|Ah, un duello. Beh, se proprio insisti, {playername}, non  ho scelta.
qstr_Hmm_are_you_sure?_I_|Hmm, sei sicuro? Non credo dovremmo completamente rovinare la nostra relazione...
qstr_Hmm_isn_t_this_all_a|Hmm, tutto questo non è un pò avventato? Forse possiamo risolvere questo problema in un modo più gratificante...
; qstr_I_always_knew_{playe|I always knew, {playername}, that you were of such poor moral fiber. Truly, only the lowest of the low would attempt to besmirch and blackmail someone so clearly superior to {reg59?him:her}. But, alas, however serious this accusation, it is hardly worth my time to answer.
qstr_{playername}_is_it_w|{playername}, vale la pena di venire alle mani per questo? Ho ammesso che ho sbagliato a fare una cosa del genere. Cos'altro vuoi?
qstr_I_can_pay_you_{reg22|Posso pagarti {reg22} denari per risolvere il problema e non una moneta di più!
qstr_Given_my_poor_financ|Date le mi povere finanze, credo che  {reg22} denari siano sufficenti.
qstr_I_only_have_mere_{re|Ho solo {reg22} denari. Prendeteli e lasciatemi in pace.
qstr_I_have_no_money_to_p|Non ho soldi da darti.
qstr_Bless_you_{playernam|Dio vi benedica, {playername}. Questa è una decisione onorevole, me ne ricorderò.
qstr_This_is_not_only_an_|Questo non è solo una decisione onorevole, ma segno della tua maturità politica, {playername}.
qstr_Well_thank_you_{play|Beh, grazie, {playername}. Apprezzo la tua gentilezza.
qstr_Maybe_I_was_wrong_ab|Forse mi sono sbagliato sul tuo conto, {playername}. Solo icol tempo lo scopriremo.
qstr_Welcome_to_Maedelste|Benvenuto a Maedelstede, dove gli stranieri sono i benvenuti - soprattutto se portano argento.
qstr_My_mead_hall_is_the_|La mia sala dell'idromele è il più grande della città. Sei il benvenuto qui.
qstr_Make_yourselves_comf|Mettetevi comodi. Vi  porterò da bere e vi ristorerò.
qstr_has_put_together_a_b|ha messo insieme una taglia su alcuni banditi che hanno attaccato uno dei suoi villaggi.
qstr_This_is_not_that_sim|Questo non è un compito semplice, ma posso fare un tentativo. Penso che 300 deanari dovrebbero essere sufficienti. di quale fazione state parlando?
qstr_Aha_my_favorite_one.|Ah, la mia preferita. Penso che 150 denari dovrebbero essere sufficienti. Potete dirmi a quale fazione appartiene questo singore?
qstr_Doable_since_so_many|Fattibile, dal momento che così tanti signori sono fin troppo ansiosi di tirare fuori le loro spade. Duecentocinquanta denari saranno sufficenti, credo. Qual'è il primo signore della fazione?
qstr_You_get_an_elite_Sax|Ottieni una spada Sassone d'elite.
qstr_You_get_a_Long_Seax.|Ottieni una Scramasax Lunga.
qstr_You_get_a_beautiful_|Ottieni una meravigliosa Ascia Lunga.
qstr_You_get_a_great_long|Ottieni una ottimo arco lungo.
qstr_You_get_an_expensive|Ottieni una costosa maglia.
qstr_You_get_an_expensive_|Ottieni una costosa cotta di maglia.
qstr_You_get_an_expensive_h|Ottieni un costoso elmo.
qstr_A_villager_from_{s7}|Un abitante di {s7} ti ha supplicato di salvare il suo villaggio dai banditi che hanno trovato rifugio lì.
qstr_Hey_what_do_you_want|Ehi, cosa vuoi? Stiamo bevendo.
qstr_Are_you_looking_for_|Siete alla ricerca di uomini che sono disposti a rischiare la pelle per la gloria e la ricchezza?
qstr_There_is_food_and_dr|C'è cibo e bere per tutti. Ti vuoi unire?
qstr_You_chose_well_{reg5|Avete scelto bene, {reg59?signora:signore}.  I miei ragazzi sanno mantenere la parola e guadagnarsi la paga.
qstr_Well_done_{reg59?mad|Ben fatto, {reg59?signora:signore}.  Conservate i soldi e il vino senza paura durante il viaggio, non c'è nemico in queste terre che dobbiate temere.
