
ui_music_volume|Volume Musica:
ui_hdr_mode|Modalità HDR:
ui_autoexpore|Esposizione automatica
ui_choose_profile|Scegli il profilo
ui_create|Crea
ui_edit|Modifica
ui_join_game|Unisciti a una partita
ui_host_game|Ospita una partita
ui_custom|Custom
ui_medium|Medio
ui_male|Maschio
ui_female|Femmina
ui_gender|Scegli il genere:
ui_edit_profile|Modifica il profilo
ui_new_profile|Nuovo profilo
ui_enter_username|Inserisci il nome utente:
ui_invalid_username|I nomi utente possono contenere solo lettere, numeri o il carattere '_'.
ui_confirmation|Sei sicuro?
ui_multiplayer|Multiplayer
ui_server_name|Server
ui_module_name|Modulo
ui_game_type|Tipo di partita
ui_map_name|Mappa
ui_ping|Ping
ui_dedicated|Dedicato
ui_number_of_players|Giocatori
ui_password_protected|Password
ui_connect|Connettiti
ui_local_area_network|Local Area Network
ui_internet|Internet
ui_favorites|Favoriti
ui_source|Fonte:
ui_server_password|Server Password:
ui_refresh|Aggiorna
ui_start_search|Inizia Ricerca
ui_add_to_favorites|Aggiungi ai Preferiti
ui_remove_from_favorites|Rimuovi dai Preferiti
ui_use_speedtree|Usa Speedtree
ui_use_instancing|Usa Instancing
ui_error|Errore
ui_error_server_full|Server pieno.
ui_error_server_full_for_non_private|Il server è pieno per i giocatori senza una password privata.
ui_error_server_password_incorrect|Password errata.
ui_error_incorrect_serial|Numero seriale errato.
ui_error_incorrect_authorization_key|Chiave di autorizzazione non corretta.
ui_error_banned_from_server|Sei stato bannato da questo server.
ui_error_username_taken|Il tuo nome profilo è usato da un altro giocatore.
ui_error_authentication_failed|Autenticazione fallita.
ui_unable_to_connect_to_server|Impossibile connettersi al server.
ui_connection_to_server_is_lost|Connessione al server persa.
ui_kicked_from_server|Sei stato cacciato dal server.
ui_switch_to_module_question|Questo server esegue un modulo diverso da quello che stai usando tu. Desideri che Mount&Blade cambi in questo modulo?
ui_download_module_question|Questo server esegue un modulo che non risulta installato sul tuo computer. Desideri visitare il sito da cui scaricare questo modulo?
ui_download_mb_new_version_question|Questo server sta eseguendo una versione più aggiornata (%d.%d%d%d) di Mount&Blade rispetto a quella installata sul tuo computer (%d.%d%d%d). Desideri visitare il sito TaleWorlds alla sezione download adesso?
ui_download_mb_old_version_question|Questo server esegue una versione più vecchia (%d.%d%d%d) di Mount&Blade rispetto a quella installata sul tuo computer (%d.%d%d%d).
ui_download_module_new_version_question|Questo server esegue una versione più recente (%d.%d%d%d) del modulo che hai selezionato e lanciato (%d.%d%d%d). Desideri visitare la sezione download del modulo adesso?
ui_download_module_old_version_question|Questo server esegue una versione meno recente (%d.%d%d%d) del modulo che hai selezionato e lanciato (%d.%d%d%d).
ui_authenticating_with_steam|Autenticazione con Steam...
ui_validating_serial_number|Validazione del numero seriale...
ui_scanning_lan|Scansione rete locale...
ui_retrieving_servers|Recupero lista dei server...
ui_shield_size2|Dimensione: %dx%d
ui_click_to_view_notes|Cliccare per visualizzare le note
ui_retrieving_server_infos|Recupero delle informazioni dai server (%d)...
ui_connecting_to_server|Collegamento al server...
ui_requesting_to_join_the_game|Richiesta di unirsi alla partita...
ui_loading|Caricamento...
ui_group_value_control|Gruppo %d!
ui_drop_weapon|Lascia l'arma
ui_multiplayer_message_all|Manda un Messaggio a tutti
ui_multiplayer_message_team|Manda un Messaggio al team
ui_command_line|Linea dei comandi
ui_use_ranged_weapon_as_melee|Cambio uso arma
ui_send_message_all|Manda un Messaggio a tutti
ui_send_message_team|Manda un Messaggio al team
ui_select|Seleziona
ui_context_menu|Menu contestuale
ui_round_starts_in_value_seconds|Inizio round tra %d secondi...
ui_watching_value|Seguendo %s
ui_capital_spec|SPET
ui_capital_dead|MORTO
ui_instancing_error1|Could not lock Instance Buffer (size: %d), Disabled mesh-instancing (Error Code: %d)
ui_instancing_error2|Could not fit instanced objects, Disabled mesh-instancing
ui_by_keyboard|Dai tasti direzionali
ui_combat_speed_slowest|Molto lenta
ui_combat_speed_slower|Lenta
ui_combat_speed_normal|Normale
ui_combat_speed_faster|Veloce
ui_combat_speed_fastest|Molto veloce
ui_module_newer_than_application|Il modulo che hai selezionato richiede una versione più aggiornata del gioco.
ui_module_older_than_application|Il modulo che hai selezionato richiede una versione più vecchia del gioco.
ui_unbalanced|Sbilanciamento
ui_can_crush_through_blocks|Può fare breccia nei blocchi
ui_turn_camera_with_horse|Visuale in Prima Persona a Cavallo:
ui_widescreen_mode_on|Modalità Schermo Multiplo abilitata.
ui_widescreen_mode_off|Modalità Schermo Multiplo disabilitata.
ui_notification_cant_upgrade|(miglioramento impossibile: denaro insufficiente)
ui_turn_never|Mai
ui_turn_ranged_only|Solo attacchi a distanza
ui_turn_melee_only|Solo attacchi in mischia
ui_turn_always|Sempre
ui_general_options|Opzioni generali
ui_vac_enabled|Valve Anti Cheat Abilitato
ui_campaign_ai|IA Campagna:
ui_downloading_map|Download mappa (%d KB)
ui_download_completed|Download completato.
ui_server_filter|Filtro server
ui_has_players|Con giocatori
ui_is_not_full|Non pieno
ui_is_password_free|Senza password
ui_native_only|Solo Native
ui_ping_limit|Limite di Ping 
ui_filter_info|%d partite e %d giocatori filtrati
ui_is_version_compatible|Compatibile con la versione
ui_ttnet_account|TTNET Oyun account
ui_username|Username
ui_password|Password
ui_error_incorrect_username_or_password|Username o password non corretti
ui_validating_account|Verifica account...
ui_plase_enter_your_serial_key|Inserisci il tuo codice seriale
ui_texture_detail2|Dettagli texture:
ui_antialiasing2|Antialiasing:
ui_troop_upgrades|Albero delle truppe
ui_crouch|Accovacciarsi
